title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
Dance of the Happy Shades,Alice Munro,"January 1, 1968",4.07,4751,240,532,"Short Stories, Fiction, Canada, Literature, Canadian Literature, Literary Fiction, Nobel Prize"
Sleeping Murder,Agatha Christie,"October 1, 1976",4.00,53640,242,3653,"Mystery, Agatha Christie, Fiction, Crime, Classics, Mystery Thriller, Audiobook"
The Shadow-Line,Joseph Conrad,"January 1, 1916",3.67,7110,192,588,"Fiction, Classics, English Literature, Historical Fiction, Literature, Adventure, Audiobook"
The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,"April 12, 1977",4.19,21605,271,1079,"Science, Nonfiction, Philosophy, Psychology, Evolution, Biology, History"
Les Malheurs de Sophie,Comtesse de Ségur,"January 1, 1857",3.90,5750,187,294,"Classics, France, Childrens, Fiction, French Literature, Novels, Middle Grade"
Profits of Religion,Upton Sinclair,"January 1, 1917",3.89,243,315,24,"Religion, Politics, Nonfiction, Philosophy, Classics, History, Economics"
The Enchanted Castle,E. Nesbit,"January 1, 1907",3.81,9402,291,829,"Fantasy, Classics, Childrens, Fiction, Middle Grade, Young Adult, Audiobook"
Rock Stars Are a Trope,Kelly D. Smith,"February 14, 2017",3.50,2,119,0,
Mrs. 'Arris Goes to New York,Paul Gallico,"March 17, 1960",3.70,1768,192,259,"Fiction, Audiobook, Historical Fiction, Humor, Classics, British Literature, Novels"
Wild Seed,Octavia E. Butler,"January 1, 1980",4.20,40362,279,3860,"Fantasy, Science Fiction, Fiction, Historical Fiction, Audiobook, Science Fiction Fantasy, Speculative Fiction"
Village Evenings Near Dikanka and Mirgorod,Nikolai Gogol,"January 1, 1832",4.19,15032,496,310,"Classics, Russia, Fiction, Russian Literature, Short Stories, Fantasy, Ukraine"
The Moneychangers,Upton Sinclair,"January 1, 1908",3.78,567,180,69,"Fiction, Classics, Historical Fiction, Politics, Literature, Economics, Business"
Prince Caspian,C.S. Lewis,"October 15, 1951",3.98,489874,240,15432,"Fantasy, Classics, Fiction, Young Adult, Childrens, Middle Grade, Christian"
At the Earth's Core,Edgar Rice Burroughs,"April 1, 1914",3.76,5040,180,429,"Science Fiction, Fantasy, Fiction, Adventure, Classics, Pulp, Science Fiction Fantasy"
Mockingbird,Walter Tevis,"January 1, 1980",4.16,12760,247,1718,"Science Fiction, Fiction, Dystopia, Post Apocalyptic, Audiobook, Speculative Fiction, Robots"
Prayers & Poetry,Rashawn Johnson,"June 27, 2013",4.80,5,30,0,
Mrs. Harris Goes to Paris & Mrs Harris Goes to New York,Paul Gallico,"January 1, 1963",3.89,9015,305,1108,"Fiction, Historical Fiction, Book Club, Classics, Audiobook, Humor, France"
The Education of Henry Adams,Henry Adams,"January 1, 1918",3.63,4976,517,481,"History, Biography, Nonfiction, Classics, Memoir, Autobiography, American History"
The Kindly Ones,Jonathan Littell,"August 21, 2006",4.03,15288,984,1623,"Fiction, Historical Fiction, War, World War II, France, Historical, Holocaust"
The Headless Horseman,Thomas Mayne Reid,"January 1, 1865",4.15,10227,372,208,"Classics, Fiction, Adventure, Mystery, American, Historical Fiction, Childrens"
The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,"January 1, 1910",3.92,10073,237,855,"Fiction, Classics, German Literature, Poetry, Literature, Novels, Philosophy"
Fairies and Chimneys,Rose Fyleman,"January 1, 1918",3.50,16,48,7,"Poetry, Classics"
Rosemary’s Baby,Ira Levin,"March 12, 1967",4.06,161434,308,9584,"Horror, Fiction, Classics, Thriller, Mystery, Fantasy, Paranormal"
Blue Blue Sea Finds His Cape,Miranda N. Prather,"October 18, 2015",5.00,4,32,0,
El señor Presidente,Miguel Ángel Asturias,"January 1, 1946",3.97,6901,420,778,"Fiction, Classics, Nobel Prize, Spanish Literature, Latin American, Magical Realism, Historical Fiction"
Mrs. 'Arris Goes to Paris,Paul Gallico,"November 20, 1958",3.93,5633,157,883,"Fiction, Classics, Humor, France, Historical Fiction, Romance, Book Club"
The Life of Charlotte Brontë,Elizabeth Gaskell,"January 1, 1857",3.85,9058,587,406,"Biography, Classics, Nonfiction, History, Victorian, 19th Century, Biography Memoir"
"The World's Best Fairy Tales, Volume 2",Belle Becker Sideman,"January 1, 1970",4.42,112,448,16,"Childrens, Fiction, Fairy Tales, Fantasy, Folklore, Short Stories"
The Famished Road,Ben Okri,"January 1, 1991",3.73,13668,512,1151,"Fiction, Africa, Magical Realism, Fantasy, Nigeria, Literary Fiction, African Literature"
Love and Werewolves,Cate Farren,"December 18, 2017",3.92,25,194,6,Paranormal
The Seventh Sinner,Elizabeth Peters,"January 1, 1972",3.73,4314,288,320,"Mystery, Fiction, Audiobook, Mystery Thriller, Cozy Mystery, Italy, Historical Fiction"
"Six Poets of the Great War: Wilfred Owen, Siegfried Sassoon, Isaac Rosenberg, Richard Aldington, Edmund Blunden, Edward Thomas, Rupert Brooke and Many Others",Adrian Barlow,"May 25, 1995",4.06,86,162,5,"Poetry, Classics, World War I, Anthologies"
The Snow Leopard,Peter Matthiessen,"August 1, 1978",4.06,20916,338,1735,"Travel, Nonfiction, Nature, Memoir, Adventure, Philosophy, Classics"
The Monastery,Walter  Scott,"January 1, 1820",3.45,512,443,45,"Classics, Fiction, Historical Fiction, Scotland, British Literature, Gothic, Adventure"
Awesome Alex's Big Book of Spanish Puzzles for Kids - Volume 3 (Languages with Awesome Alex),Siskia Lagomarsino,"February 10, 2018",5.00,1,160,0,
The Night in Lisbon,Erich Maria Remarque,"January 1, 1961",4.33,25274,272,1667,"Fiction, Classics, Historical Fiction, War, German Literature, Germany, Novels"
"Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business",Esphyr Slobodkina,"January 1, 1940",4.17,94989,48,1794,"Picture Books, Childrens, Fiction, Classics, Animals, Storytime, Humor"
My Brother Michael,Mary  Stewart,"January 1, 1959",4.04,6631,404,482,"Mystery, Romance, Fiction, Romantic Suspense, Suspense, Gothic, Greece"
The Deptford Trilogy,Robertson Davies,"January 1, 1975",4.33,8258,825,432,"Fiction, Fantasy, Canada, Novels, Classics, Literature, Mystery"
The Land That Time Forgot,Edgar Rice Burroughs,"January 1, 1918",3.71,4909,148,409,"Science Fiction, Classics, Fantasy, Adventure, Fiction, Audiobook, Pulp"
"Captain Hooter teaches ""What To Do While You're High"" in his new book Connoisseur's Guide to the Amsterdam Coffeeshops",Captain Hooter,"May 9, 2018",5.00,1,Paperback,1,
Doña Bárbara,Rómulo Gallegos,"August 11, 1929",3.82,6181,480,570,"Fiction, Classics, Spanish Literature, Historical Fiction, Magical Realism, Latin American, Latin American Literature"
The Autobiography of Benjamin Franklin,Benjamin Franklin,"January 1, 1791",3.85,92490,176,4212,"Biography, History, Nonfiction, Classics, Autobiography, Memoir, American History"
La versione di Barney,Mordecai Richler,"January 1, 1997",4.16,13844,490,1041,"Fiction, Canada, Canadian Literature, Humor, Contemporary, Classics, Literary Fiction"
This Rough Magic,Mary  Stewart,"January 1, 1964",4.06,10634,388,781,"Mystery, Fiction, Romance, Gothic, Romantic Suspense, Suspense, Greece"
