title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
Carry Me Down,M.J. Hyland,"January 1, 2006",3.30,3287,336,354,"Fiction, Ireland, Coming Of Age, Contemporary, Irish Literature, Young Adult, Literary Fiction"
Sacrificed: A Cozy Witch Mystery Short Story Book Set,Greta Star,"December 14, 2016",3.27,11,68,3,
A Hero of Our Time,Mikhail Lermontov,"January 1, 1840",4.11,64956,169,2971,"Classics, Fiction, Russia, Russian Literature, Literature, 19th Century, Novels"
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,"September 12, 2007",4.05,286212,230,29160,"Young Adult, Fiction, Contemporary, Realistic Fiction, Humor, Banned Books, Book Club"
Rana,Mo Yan,"January 1, 2009",3.81,5607,400,676,"China, Fiction, Historical Fiction, Asia, Nobel Prize, Chinese Literature, Historical"
Воскресение,Leo Tolstoy,"January 1, 1899",4.17,28886,576,2328,"Classics, Fiction, Russian Literature, Russia, Literature, Novels, 19th Century"
The Setting Sun,Osamu Dazai,"January 1, 1947",3.97,44665,175,4755,"Fiction, Classics, Japan, Japanese Literature, Historical Fiction, Novels, Literature"
Gentlemen Prefer Blondes: The Intimate Diary of a Professional Lady,Anita Loos,"November 15, 1925",3.61,7561,77,1166,"Classics, Fiction, Humor, Romance, Audiobook, Chick Lit, 20th Century"
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"November 25, 2009",3.93,163938,274,22645,"Fiction, Mystery, Book Club, Literary Fiction, Thriller, Contemporary, Poland"
A Crown of Feathers: Stories,Isaac Bashevis Singer,"January 1, 1973",4.13,655,342,51,"Short Stories, Fiction, Jewish, Literature, Nobel Prize, Literary Fiction, Poland"
Heroes,Robert Cormier,"August 10, 1998",3.39,4757,136,468,"Young Adult, Historical Fiction, Fiction, School, War, Historical, Classics"
Felix Holt: The Radical,George Eliot,"January 1, 1866",3.72,4375,676,264,"Classics, Fiction, Victorian, 19th Century, Historical Fiction, Literature, British Literature"
Success: Three Years in the Life of a Province,Lion Feuchtwanger,"January 1, 1930",4.32,358,Textbook,31,"Fiction, Historical Fiction, German Literature, Classics, Germany, Novels, Literary Fiction"
The Young Desire It,Kenneth  Mackenzie,"January 1, 1937",3.66,150,345,24,"Fiction, Australia, Classics, Coming Of Age, 20th Century"
Generals Die in Bed,Charles Yale Harrison,"January 1, 1930",3.83,1696,208,187,"Fiction, Historical Fiction, War, World War I, Classics, School, Historical"
Oeuvres complètes: 101 titres La Comédie humaine,Honoré de Balzac,"January 1, 1836",4.31,172,16928,6,"Classics, Fiction, France, French Literature"
Intimacy On The Plate: 209 Aphrodisiac Recipes to Spice Up Your Love Life at Home Tonight,Olga Petrenko,"August 18, 2017",4.15,39,386,14,"Cookbooks, Cooking, Nonfiction"
Bad Luck and Trouble,Lee Child,"April 2, 2007",4.22,104684,378,4444,"Thriller, Fiction, Mystery, Crime, Audiobook, Action, Suspense"
Sons,Pearl S. Buck,"June 1, 1932",3.86,7605,229,567,"Fiction, Historical Fiction, China, Classics, Asia, Literature, Audiobook"
Gösta Berling's Saga,Selma Lagerlöf,"January 1, 1891",3.63,6801,368,585,"Classics, Fiction, Swedish Literature, Sweden, Nobel Prize, Scandinavian Literature, Historical Fiction"
The Midnight Library,Matt Haig,"August 13, 2020",3.98,2523659,288,252031,"Fiction, Fantasy, Book Club, Audiobook, Contemporary, Magical Realism, Science Fiction"
Thomas Jefferson: The Art of Power,Jon Meacham,"November 13, 2012",4.05,43551,759,2547,"History, Biography, Nonfiction, Presidents, American History, Politics, Biography Memoir"
Jew Süss,Lion Feuchtwanger,"January 1, 1925",4.29,714,424,46,"Fiction, Historical Fiction, Classics, German Literature, Historical, Germany, Jewish"
Between Sky & Sea,Herz Bergner,"January 1, 1946",3.58,48,240,5,"Fiction, Australia"
Travel as Transformation: Conquer the Limits of Culture to Discover Your Own Identity,Gregory V. Diehl,"October 29, 2016",3.81,315,160,56,"Travel, Nonfiction, Self Help, Personal Development"
An Occurrence At Owl Creek Bridge,Ambrose Bierce,"January 1, 1890",4.01,27356,36,1444,"Short Stories, Classics, Fiction, Horror, Historical Fiction, Literature, School"
¿Quién mató a Palomino Molero?,Mario Vargas Llosa,"January 1, 1986",3.59,8071,176,793,"Fiction, Mystery, Crime, Latin American, Spanish Literature, Novels, Latin American Literature"
The Invention of Morel,Adolfo Bioy Casares,"January 1, 1940",3.96,35359,103,4122,"Fiction, Classics, Science Fiction, Spanish Literature, Literature, Fantasy, Latin American"
The Devil's Disciple,George Bernard Shaw,"January 1, 1897",3.75,1617,128,167,"Plays, Classics, Drama, Fiction, Theatre, Historical Fiction, Irish Literature"
The Custom of the Country,Edith Wharton,"January 1, 1913",4.07,16373,370,1999,"Classics, Fiction, Historical Fiction, Literature, American, 20th Century, Novels"
"Love, Anger, Madness: A Haitian Trilogy",Marie Vieux-Chauvet,"January 1, 1968",3.93,708,416,97,"Fiction, Historical Fiction, Short Stories, Classics, Historical, France, 20th Century"
James Madison: A Life Reconsidered,Lynne Cheney,"May 6, 2014",4.00,3490,576,370,"Biography, History, Presidents, American History, Nonfiction, Us Presidents, Politics"
Roadside Picnic,Arkady Strugatsky,"January 1, 1972",4.12,89548,145,7401,"Science Fiction, Fiction, Russia, Classics, Dystopia, Russian Literature, Fantasy"
From Russia with Love,Ian Fleming,"April 8, 1957",3.91,39237,259,1906,"Fiction, Thriller, Espionage, Mystery, Adventure, Classics, Audiobook"
Murphy,Samuel Beckett,"January 1, 1938",3.80,6538,288,582,"Fiction, Classics, Irish Literature, Ireland, Literature, Novels, 20th Century"
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,"September 29, 1995",3.50,690385,560,40374,"Fantasy, Fiction, Book Club, Retellings, Audiobook, Adult, Classics"
Father and I Were Ranchers,Ralph Moody,"January 1, 1950",4.28,16161,260,1611,"Classics, Fiction, Historical Fiction, Childrens, Westerns, Young Adult, School"
The Virgin and the Gipsy & Other Stories,D.H. Lawrence,"January 1, 1930",3.61,1236,240,64,"Fiction, Classics, Short Stories, Literature, British Literature, Literary Fiction, Novels"
The Prisoner of Zenda,Anthony Hope,"January 1, 1894",3.83,22843,140,1493,"Classics, Fiction, Adventure, Historical Fiction, Romance, Fantasy, Novels"
A Desert Drama: Being the Tragedy of the Korosko,Arthur Conan Doyle,"February 1, 1898",3.57,491,176,74,"Classics, Fiction, Adventure, Historical Fiction, Mystery, Novels, Travel"
A Perfect Day for Bananafish,J.D. Salinger,"January 1, 1948",4.26,13338,18,790,"Short Stories, Classics, Fiction, American, School, Literature, 20th Century"
Midnight,Dean R. Koontz,"January 1, 1989",3.87,28642,496,871,"Horror, Fiction, Thriller, Suspense, Mystery, Science Fiction, Fantasy"
"Love, Aubrey",Suzanne LaFleur,"January 1, 2009",4.23,11642,272,1359,"Middle Grade, Realistic Fiction, Young Adult, Fiction, Contemporary, Childrens, Juvenile"
The Accidental Theorist and Other Dispatches from the Dismal Science,Paul Krugman,"May 6, 1998",3.89,1035,206,63,"Economics, Nonfiction, Politics, Business, Essays, Science, Society"
My Face For the World to See,Alfred Hayes,"January 1, 1958",3.70,1922,130,266,"Fiction, Classics, Novels, Literary Fiction, Literature, American, 20th Century"
Empower Now: True Stories from 14 Young Minority Professionals,Amber Robins,"February 17, 2017",5.00,2,94,0,
The Cabinet of Curiosities,Douglas Preston,"June 3, 2002",4.26,56145,629,3156,"Mystery, Thriller, Fiction, Horror, Mystery Thriller, Suspense, Crime"
We Need to Talk About Kevin,Lionel Shriver,"April 14, 2003",4.08,216538,400,19256,"Fiction, Book Club, Thriller, Contemporary, Horror, Crime, Drama"
A Theft,Saul Bellow,"January 1, 1989",3.06,962,109,119,"Fiction, Novels, American, Literature, New York, Novella, Contemporary"
Down at the Dinghy,J.D. Salinger,"January 1, 1949",3.36,324,Unknown,19,"Short Stories, Fiction, Literature, American"
Freak the Mighty,Rodman Philbrick,"January 1, 1993",4.02,57750,192,5627,"Young Adult, Realistic Fiction, Fiction, Middle Grade, School, Childrens, Read For School"
The Ninth Directive,Adam Hall,"January 1, 1966",4.05,523,288,41,"Espionage, Thriller, Fiction, British Literature, Mystery Thriller"
Strength to Love,Martin Luther King Jr.,"January 1, 1963",4.61,4329,160,535,"Nonfiction, Religion, Theology, History, Philosophy, Christian, Race"
"The Write Prescription: Finding the ""Right"" Spiritual Dosage to Overcome Any Obstacle",Amber Robins,"October 12, 2016",4.50,2,124,0,
Extremely Loud & Incredibly Close,Jonathan Safran Foer,"January 1, 2005",3.97,436711,326,27202,"Fiction, Contemporary, Book Club, Historical Fiction, Novels, Literary Fiction, Adult"
The Pact,Jodi Picoult,"April 22, 1998",4.03,329133,512,12620,"Fiction, Romance, Contemporary, Chick Lit, Drama, Mystery, Book Club"
The Thing on the Doorstep,H.P. Lovecraft,"January 1, 1937",4.07,5339,40,484,"Horror, Short Stories, Fiction, Lovecraftian, Classics, Fantasy, Audiobook"
Das siebte Kreuz,Anna Seghers,"September 1, 1942",3.98,3292,416,257,"Fiction, German Literature, Classics, Germany, Historical Fiction, War, World War II"
The Fields of Home,Ralph Moody,"January 1, 1953",4.40,2143,335,165,"Biography, Nonfiction, History, Memoir, Biography Memoir, Historical, Audiobook"
Five Plays: The Robbers / Passion and Politics / Don Carlos / Mary Stuart / Joan of Arc,Friedrich Schiller,"September 1, 1998",4.04,57,733,4,"Plays, Classics, Drama, Literature, Theatre"
The Paul Street Boys,Ferenc Molnár,"January 1, 1906",4.18,25494,208,1451,"Classics, Fiction, School, Hungarian Literature, Childrens, Hungary, Novels"
The Professor's House,Willa Cather,"January 1, 1925",3.78,10282,288,1024,"Fiction, Classics, American, Novels, Literature, Literary Fiction, Historical Fiction"
Tempest,Julie Cross,"January 1, 2011",3.70,13591,413,2018,"Young Adult, Time Travel, Fantasy, Romance, Science Fiction, Paranormal, Fiction"
The Leatherstocking Tales,James Fenimore Cooper,"January 1, 1823",4.11,902,2126,30,"Classics, Fiction, Historical Fiction, Literature, Westerns, Adventure, American"
Empower Now for Women,Amber Robins,"November 2, 2017",5.00,3,90,0,
Te Kaihau/the Windeater,Keri Hulme,"February 1, 1987",3.79,250,239,33,"Short Stories, Fiction, Poetry, Female Authors, Literary Fiction"
The Talented Mr. Ripley,Patricia Highsmith,"November 30, 1955",3.95,120841,271,9342,"Fiction, Classics, Mystery, Thriller, Crime, Mystery Thriller, Book Club"
The Home Ranch,Ralph Moody,"January 1, 1956",4.47,2321,277,173,"Biography, Nonfiction, Westerns, History, Classics, Memoir, Childrens"
The Raj Quartet,Paul Scott,"January 1, 1976",4.49,1050,1985,92,"Fiction, Historical Fiction, India, Historical, Novels, Literature, Classics"
The Spoils of Poynton,Henry James,"May 1, 1896",3.66,1777,252,218,"Classics, Fiction, 19th Century, Literature, American, Romance, Novels"
Time Enough for Love,Robert A. Heinlein,"June 1, 1973",3.97,37211,589,1130,"Science Fiction, Fiction, Science Fiction Fantasy, Time Travel, Fantasy, Classics, Audiobook"
Famous Last Words,Katie Alender,"September 30, 2014",4.14,10755,312,1445,"Mystery, Young Adult, Paranormal, Horror, Thriller, Ghosts, Romance"
Tales Of The Nine: Apothecary,J.L. Lahey,"December 6, 2017",5.00,6,256,0,
The Romance of the Queen Pedauque,Anatole France,"January 1, 1892",3.29,234,214,34,"Fiction, Nobel Prize, France, Classics, Adult Fiction, Humor, French Literature"
Novel without a Name,Duong T Huong,"January 31, 1991",3.81,1449,292,170,"Fiction, War, Historical Fiction, Asia, Asian Literature, Novels, Historical"
Walt Disney's Dumbo,Walt Disney Company,"January 1, 1940",4.32,27311,24,131,"Childrens, Picture Books, Fiction, Classics, Animals, Fantasy, Media Tie In"
"Behind a Mask, Or, a Woman's Power",Louisa May Alcott,"January 1, 1866",3.86,2852,117,486,"Classics, Fiction, Historical Fiction, Mystery, 19th Century, Romance, Audiobook"
Una excursión a los indios ranqueles,Lucio V. Mansilla,"January 1, 1870",4.10,442,440,48,"History, Nonfiction, Classics, Latin American, 19th Century"
Mary Emma & Company,Ralph Moody,"January 1, 1961",4.49,2090,235,163,"Biography, Nonfiction, Classics, Memoir, Childrens, History, Audiobook"
The Secret Magdalene,Ki Longfellow,"January 1, 2005",4.14,4760,448,526,"Historical Fiction, Fiction, Religion, Historical, Spirituality, Literature, Novels"
The Beach,Alex Garland,"October 14, 1996",3.99,100777,436,4755,"Fiction, Travel, Thriller, Adventure, Contemporary, Mystery, Novels"
Fractured,Zelly Jordan,"November 13, 2017",4.36,58,201,42,"Paranormal, Paranormal Romance, Romance, Mystery Thriller"
"Rich Man, Poor Man",Irwin Shaw,"September 17, 1970",4.19,38747,666,622,"Fiction, Classics, Historical Fiction, Novels, Drama, American, Contemporary"
Undone,Karin Slaughter,"July 15, 2009",4.23,86584,436,4266,"Thriller, Mystery, Crime, Fiction, Audiobook, Mystery Thriller, Suspense"
Mission: Subhero,Linda    Armstrong,"June 22, 2017",4.36,866,292,19,"Fiction, Young Adult, Contemporary, Novels, New Adult, Middle Grade, Adventure"
Meshugah,Isaac Bashevis Singer,"January 1, 1994",3.73,495,232,56,"Fiction, Jewish, American, Novels, Holocaust, Literature, 20th Century"
The Nature of Things,Lucretius,"January 1, 56",3.97,14696,304,932,"Philosophy, Poetry, Classics, Nonfiction, Science, History, Ancient"
Little Red Riding Hood,Trina Schart Hyman,"January 1, 1983",4.16,25049,32,888,"Picture Books, Childrens, Fairy Tales, Classics, Fiction, Fantasy, Folklore"
Facundo o Civilización y barbarie,Domingo Faustino Sarmiento,"January 1, 1845",3.51,3157,380,219,"History, Nonfiction, Classics, Politics, Spanish Literature, Biography, Latin American Literature"
Shaking the Nickel Bush,Ralph Moody,"January 1, 1962",4.23,1583,236,113,"Biography, Nonfiction, History, Memoir, Westerns, Audiobook, Historical"
"The Grass Harp, Including A Tree of Night and Other Stories",Truman Capote,"January 2, 1956",3.99,6459,272,377,"Fiction, Short Stories, Classics, Southern, American, Literature, Southern Gothic"
The Longest Journey,E.M. Forster,"January 1, 1907",3.47,2869,178,317,"Classics, Fiction, 20th Century, British Literature, Literature, Novels, Literary Fiction"
At the Mountains of Madness,H.P. Lovecraft,"January 1, 1936",3.78,65463,194,5716,"Horror, Fiction, Classics, Science Fiction, Fantasy, Audiobook, Lovecraftian"
"U.S. Taxes for Worldly Americans: The Traveling Expat's Guide to Living, Working, and Staying Tax Compliant Abroad",Olivier Wagner,"February 1, 2017",4.14,139,160,20,"Travel, Finance, Personal Finance, Business, Nonfiction, Economics, Money"
The Birth-Mark,Nathaniel Hawthorne,"March 1, 1843",3.66,5264,48,498,"Short Stories, Classics, Fiction, School, Gothic, Science Fiction, Read For School"
Flipped,Wendelin Van Draanen,"October 9, 2001",4.00,127546,212,11248,"Young Adult, Romance, Fiction, Contemporary, Middle Grade, Realistic Fiction, Childrens"
Sophocles: Philoctetes,Sophocles,"January 1, 410",3.90,5307,Paperback,388,"Plays, Classics, Drama, Fiction, Mythology, Theatre, Tragedy"
A Time to Love and a Time to Die,Erich Maria Remarque,"September 1, 1954",4.44,15586,432,818,"Classics, Fiction, War, Historical Fiction, German Literature, Romance, Germany"
The Tale of Tom Kitten,Beatrix Potter,"January 1, 1907",4.08,9970,57,397,"Childrens, Picture Books, Classics, Fiction, Animals, Cats, Fantasy"
Sulla riva del mare,Abdulrazak Gurnah,"January 1, 2001",3.89,5642,384,657,"Fiction, Africa, Nobel Prize, Tanzania, Literary Fiction, Novels, Historical Fiction"
"Five Dialogues: Euthyphro, Apology, Crito, Meno, Phaedo",Plato,"January 1, 386",4.16,24501,156,765,"Philosophy, Classics, Nonfiction, School, History, College, Politics"
The Dry Divide,Ralph Moody,"January 1, 1963",4.33,1392,230,95,"Biography, Nonfiction, Westerns, Memoir, History, Classics, Childrens"
Family Ties,Clarice Lispector,"July 27, 1960",4.01,5274,160,579,"Short Stories, Fiction, Classics, Brazil, Literature, Portuguese Literature, Female Authors"
White-Jacket: The World in a Man-of-War,Herman Melville,"January 1, 1850",3.80,1001,288,133,"Fiction, Classics, Adventure, Historical Fiction, Literature, American, 19th Century"
A River Runs Through It and Other Stories,Norman Maclean,"January 1, 1976",4.19,30843,217,2418,"Fiction, Short Stories, Classics, Nature, Literature, Historical Fiction, Book Club"
Slouching Towards Bethlehem,Joan Didion,"January 1, 1968",4.18,84690,238,9769,"Nonfiction, Essays, Memoir, Classics, History, Short Stories, Journalism"
The Thin Man,Dashiell Hammett,"December 1, 1934",3.89,38701,201,3196,"Mystery, Fiction, Classics, Crime, Noir, Mystery Thriller, Detective"
Stone Soup,Marcia Brown,"January 1, 1947",4.25,46853,48,917,"Picture Books, Childrens, Fiction, Classics, Food, Folklore, Fairy Tales"
Remedy: How I Cured the Incurable,Matthew J. Murphy,"June 15, 2017",4.30,10,218,6,
Victory,Joseph Conrad,"January 1, 1915",3.84,4329,665,436,"Fiction, Classics, Literature, Novels, British Literature, Literary Fiction, Adventure"
Only Time Will Tell,Jeffrey Archer,"May 12, 2011",4.11,96192,400,6747,"Fiction, Historical Fiction, Audiobook, Historical, Mystery, Thriller, Drama"
Into the Darkest Corner,Elizabeth Haynes,"February 13, 2007",4.07,72100,450,6518,"Thriller, Fiction, Mystery, Mystery Thriller, Suspense, Crime, Psychological Thriller"
Billiards at Half-Past Nine,Heinrich Böll,"January 1, 1959",3.93,4955,280,364,"Fiction, German Literature, Germany, Classics, Literature, War, Novels"
On the Genealogy of Morals,Friedrich Nietzsche,"January 1, 1887",4.12,36447,208,1891,"Philosophy, Nonfiction, Classics, Psychology, German Literature, History, Religion"
The Tale of Benjamin Bunny,Beatrix Potter,"January 1, 1904",4.21,17332,64,474,"Childrens, Classics, Picture Books, Fiction, Animals, Fantasy, Short Stories"
The Broom of the System,David Foster Wallace,"January 6, 1987",3.85,24655,467,2151,"Fiction, Novels, Literature, Literary Fiction, American, Contemporary, Philosophy"
The Crisis,Thomas Paine,"July 4, 1776",4.05,830,96,66,"History, Philosophy, Classics, Politics, Nonfiction, American History, Essays"
Horse of a Different Color: Reminiscences of a Kansas Drover,Ralph Moody,"January 1, 1968",4.36,1258,272,113,"Biography, Nonfiction, Memoir, History, Classics, Westerns, Historical"
The Ramayana: A Shortened Modern Prose Version of the Indian Epic,R.K. Narayan,"January 1, 1957",4.07,13316,192,1052,"Classics, Mythology, India, Religion, Fiction, Poetry, Hinduism"
Dikter,Karin Boye,"January 1, 1942",4.21,417,292,29,"Poetry, Swedish Literature, Classics, Modern Classics"
The Development Alternative: Powerful Strategies for Unparalleled Business Results,Sophia Sanchez,"December 9, 2014",4.50,2,144,1,
Bashan and I,Thomas Mann,"January 1, 1918",3.44,812,248,110,"Classics, Fiction, Germany, German Literature, Animals, Literature, Dogs"
The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,"January 1, 1905",4.17,17117,57,360,"Childrens, Classics, Picture Books, Fiction, Animals, Fantasy, Childrens Classics"
Redburn: His First Voyage,Herman Melville,"January 1, 1849",3.66,993,210,142,"Fiction, Classics, American, 19th Century, Literature, Novels, Literary Fiction"
