title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
The Story of an African Farm,Olive Schreiner,"January 1, 1883",3.52,3139,304,326,"Classics, Fiction, Africa, South Africa, 19th Century, Literature, Victorian"
They Both Die at the End,Adam Silvera,"September 5, 2017",3.75,882241,389,100481,"Romance, Young Adult, LGBT, Fiction, Contemporary, Queer, Audiobook"
The Slave,Isaac Bashevis Singer,"January 1, 1962",4.22,4204,320,424,"Fiction, Historical Fiction, Classics, Jewish, Nobel Prize, Poland, Literature"
I Am the Cheese,Robert Cormier,"January 1, 1977",3.78,17596,214,1914,"Young Adult, Fiction, Mystery, Classics, Thriller, Teen, School"
The Life and Adventures of Santa Claus,L. Frank Baum,"April 12, 1902",3.94,7937,224,1270,"Christmas, Fantasy, Classics, Fiction, Childrens, Holiday, Audiobook"
Zorba the Greek,Nikos Kazantzakis,"January 1, 1946",4.02,59471,335,6671,"Fiction, Classics, Philosophy, Greece, Literature, Novels, Historical Fiction"
A Fall of Marigolds,Susan Meissner,"February 4, 2014",4.09,78371,370,8160,"Historical Fiction, Book Club, Fiction, Audiobook, Romance, Historical, Adult"
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"January 1, 1995",4.29,81101,459,4529,"Science, Nonfiction, Philosophy, Religion, History, Skepticism, Audiobook"
The Black Prince,Iris Murdoch,"January 1, 1973",3.96,7050,408,766,"Fiction, Classics, Literary Fiction, Novels, Literature, 20th Century, Philosophy"
"Take Me to Paris, Johnny",John                 Foster,"January 1, 1993",4.31,67,256,14,"Memoir, Nonfiction, LGBT, Australia, Gay"
"Oakshot Complete Works of Oscar Wilde (Illustrated, Inline Footnotes)",Oscar Wilde,"January 1, 1908",4.47,15458,3799,342,"Classics, Fiction, Poetry, Plays, Short Stories, Literature, Drama"
My Summer in a Garden,Charles Dudley Warner,"January 1, 1870",3.63,198,ebook,39,"Gardening, Nonfiction, Memoir, Nature, Summer, Classics, Biography"
Karina's Silver Shoes,D Leitao,"September 18, 2017",3.37,41,251,25,"Fantasy, Young Adult"
Cat on a Hot Tin Roof,Tennessee Williams,"January 1, 1955",4.06,64821,208,2007,"Plays, Classics, Drama, Fiction, Theatre, American, Literature"
The Graveyard Book,Neil Gaiman,"September 30, 2008",4.15,567749,312,42351,"Fantasy, Young Adult, Fiction, Horror, Middle Grade, Paranormal, Audiobook"
House of Leaves,Mark Z. Danielewski,"February 29, 2000",4.09,204286,709,22979,"Horror, Fiction, Fantasy, Mystery, Thriller, Contemporary, Novels"
Daddy-Long-Legs,Jean Webster,"October 1, 1912",4.13,76394,249,10237,"Classics, Fiction, Young Adult, Romance, Historical Fiction, Novels, Childrens"
No Longer Human,Osamu Dazai,"January 1, 1948",3.94,264175,177,33831,"Classics, Fiction, Japanese Literature, Japan, Literature, Novels, Literary Fiction"
Slade House,David  Mitchell,"October 1, 2015",3.81,70087,233,8653,"Horror, Fiction, Fantasy, Mystery, Paranormal, Thriller, Audiobook"
"Orestea: Agamennone, Coefore, Eumenidi",Aeschylus,"January 1, 459",4.02,47441,557,2251,"Classics, Plays, Drama, Fiction, Mythology, Poetry, Literature"
The Well of Loneliness,Radclyffe Hall,"January 1, 1928",3.77,19812,448,2089,"Classics, Fiction, Queer, LGBT, Lesbian, Romance, Historical Fiction"
The Bumblebee Flies Anyway,Robert Cormier,"January 1, 1983",3.81,1300,241,69,"Young Adult, Fiction, Realistic Fiction, Classics, Childrens, Illness, Novels"
The Girl Who Chased the Moon,Sarah Addison Allen,"March 16, 2010",3.97,64001,288,7469,"Fiction, Magical Realism, Fantasy, Romance, Chick Lit, Contemporary, Book Club"
The Last Founding Father: James Monroe and a Nation's Call to Greatness,Harlow Giles Unger,"September 1, 2009",3.94,10986,388,480,"Biography, Presidents, History, Nonfiction, American History, Us Presidents, Politics"
The Feast of the Goat,Mario Vargas Llosa,"January 1, 2000",4.35,43620,475,4216,"Fiction, Historical Fiction, Spanish Literature, Novels, Latin American, Literature, Nobel Prize"
Josephus-Trilogie: Der jüdische Krieg/Die Söhne/Der Tag wird kommen,Lion Feuchtwanger,"January 1, 1959",4.56,149,1429,5,"Historical Fiction, Fiction, Classics, Historical"
