title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
Darkfever,Karen Marie Moning,"October 31, 2006",4.05,191007,309,12985,"Fantasy, Urban Fantasy, Paranormal, Romance, Fae, Paranormal Romance, Adult"
Emperor of Thorns,Mark  Lawrence,"August 1, 2013",4.22,58099,434,3221,"Fantasy, Fiction, Dark Fantasy, Epic Fantasy, Audiobook, Science Fiction, High Fantasy"
Nothing Lasts Forever,Roderick Thorp,"January 1, 1979",3.51,3462,245,531,"Fiction, Thriller, Mystery, Crime, Adventure, Action, Christmas"
Hewhay Hall,Susan Roebuck,"April 18, 2012",4.19,31,154,14,
Nightwatching,John Zunski,"December 15, 2014",3.67,55,220,10,Horror
The Wide Game,Michael  West,"June 23, 2003",3.91,233,269,38,"Horror, Mystery, Paranormal, Suspense, Supernatural, Romance, Fantasy"
Her,Felicia  Johnson,"May 22, 2013",4.27,476,478,122,"Mental Health, Young Adult, Mental Illness, Fiction, Psychology, Realistic Fiction, Dark"
Boy Next Door,Emma     Clark,"November 5, 2013",3.00,1264,200,239,"Dark, Abuse, Dark Romance, BDSM, Erotica, Romance, Mental Illness"
Hillary: Tail of the Dog,Angel Gelique,"December 31, 2012",3.76,427,243,138,"Horror, Dark, Abuse, Fiction, Suspense, Splatterpunk, Ebooks"
Scorn of Angels,John Patrick Kennedy,"March 10, 2015",4.27,288,285,32,"Fantasy, Paranormal, Angels, Mythology, Fiction, Angels and Demons, Demons"
Christine,Stephen  King,"April 29, 1983",3.86,266175,360,6846,"Horror, Fiction, Thriller, Fantasy, Supernatural, Paranormal, Mystery"
Caligatha,Matt Spire,"October 18, 2015",3.80,418,369,13,"Science Fiction, Dystopia, Fiction, Fantasy"
Kazungul,Marcus L. Lukusa,"November 14, 2014",4.27,85,178,7,"Fantasy, Epic"
In Her Footsteps,Ruth Harrow,"January 1, 2018",3.96,2344,308,75,"Thriller, Psychological Thriller, Fiction"
Black Creek,Dan   Kemp,"June 11, 2018",4.26,23,459,12,
My Dirty California,Jason Mosberg,"August 30, 2022",3.92,337,432,77,"Thriller, Fiction, Mystery, Mystery Thriller, Audiobook, Crime, Suspense"
Quick and Quirky Stories and Photos,Lorin Lee Cary,"June 3, 2024",4.36,22,111,7,
Chimaera and Other Stories,Steven  Bruce,"October 31, 2024",4.94,31,102,11,Horror
Redemption,Regina M. Joseph,"December 16, 2021",4.27,90,356,8,
Gothic Tales,Elizabeth Gaskell,"January 1, 2000",3.80,3136,367,295,"Classics, Gothic, Horror, Short Stories, Fiction, Victorian, 19th Century"
Fairytales for Wilde Girls,Allyse Near,"June 1, 2013",4.19,1190,432,254,"Fantasy, Young Adult, Fairy Tales, Paranormal, Fiction, Romance, Gothic"
Dividers,Travis Adams Irish,"September 30, 2014",3.71,113,608,32,"Fiction, Thriller"
Skin Food,Type A,"October 30, 2017",3.86,49,85,15,"Horror, Zombies"
The Mystery of Edwin Drood,Charles Dickens,"January 1, 1870",3.66,13288,432,1157,"Classics, Fiction, Mystery, 19th Century, Victorian, Literature, Historical Fiction"
Poseidon’s Children,Michael  West,"March 1, 2012",3.53,448,311,69,"Horror, Fantasy, Mythology, Urban Fantasy, Mermaids, Fiction, Greek Mythology"
Dagon and Other Macabre Tales,H.P. Lovecraft,"October 28, 1986",4.06,7516,448,280,"Horror, Fiction, Short Stories, Fantasy, Lovecraftian, Classics, Science Fiction"
Killing Sam Knight,John  Cassian,"February 16, 2014",3.99,88,89,40,"Dark, Thriller, Horror, Dark Romance, Crime, Mystery Thriller, Suspense"
Bat Blood: The Devil's Claw,Richard Myerscough,"February 7, 2013",3.78,54,432,8,"Horror, Thriller, Science Fiction, Fiction, Classics, Adult"
The Custer Conspiracy,Lorin Lee Cary,"January 1, 2009",4.44,25,254,8,
The Demons of Emily Eldritch,Martin Adil-Smith,"July 4, 2013",4.69,99,ebook,26,"Horror, Fiction"
Unshackled Demons,Richard Myerscough,"January 1, 2014",4.35,26,456,2,"Horror, Thriller"
The Flies,Ju Ephraime,"October 28, 2015",4.28,32,102,17,
Bournemouth 90,Billy   Morris,"August 28, 2021",4.50,26,192,8,
The Great God Pan,Arthur Machen,"January 1, 1890",3.67,17075,82,1767,"Horror, Classics, Fiction, Fantasy, Gothic, Short Stories, Weird Fiction"
Reheated Cabbage,Irvine Welsh,"January 1, 2009",3.69,2770,288,150,"Fiction, Short Stories, Scotland, Contemporary, Drugs, Humor, Drama"
Y is for Fidelity,Logan Ryan Smith,"October 31, 2016",4.43,35,326,10,Fiction
No One Has Time For That,M. von Lindenberg,"December 31, 2024",4.71,21,88,13,
The Knife and The Wound It Deals,B.E. Scully,"October 5, 2012",4.07,30,194,8,"Horror, Short Stories"
Genesis,Bernard Beckett,"January 1, 2006",3.90,13892,150,2092,"Science Fiction, Dystopia, Young Adult, Fiction, Post Apocalyptic, Fantasy, Philosophy"
Drive: An Old Castle Novel,Jonathan  Dunne,"May 22, 2024",4.21,72,260,10,"Horror, Suspense, Mystery, Paranormal, Occult, Thriller, Gothic"
Necromancer,Graeme Ing,"August 9, 2014",4.07,94,323,23,"Fantasy, Dystopia, Horror, Magic, Young Adult, Romance, Fiction"
Tagged: The Apocalypse,Joseph M. Chiron,"November 1, 2011",3.31,376,120,71,"Horror, Zombies, Post Apocalyptic, Thriller, Dystopia, Paranormal, Apocalyptic"
In the Lake of the Woods,Tim O'Brien,"January 1, 1994",3.76,24527,303,2040,"Fiction, Mystery, Historical Fiction, Book Club, War, Mystery Thriller, Thriller"
Departures: Book One in the Hard Turn Series,J.G.   Wallace,"July 8, 2023",4.58,19,290,3,
Best Little Witch-House in Arkham,Mark McLaughlin,"January 1, 2013",4.49,39,220,14,Horror
1Q84,Haruki Murakami,"August 28, 2009",3.95,342994,944,27254,"Fiction, Fantasy, Magical Realism, Japan, Science Fiction, Japanese Literature, Contemporary"
Closer,Dennis Cooper,"April 28, 1989",3.64,4621,131,660,"Fiction, Queer, Horror, LGBT, Gay, Novels, Contemporary"
Mysterious Skin: A Novel,Scott Heim,"January 1, 1995",4.17,12897,292,1243,"Fiction, LGBT, Queer, Contemporary, Gay, Mystery, Young Adult"
Skull Full of Kisses,Michael  West,"January 1, 2009",4.16,75,212,12,"Horror, Short Stories, Collections"
When Angels Fall,Lachelle Redd,"November 13, 2013",4.28,36,136,20,
Henry and June: From the Unexpurgated Diary of Anaïs Nin,Anaïs Nin,"January 1, 1986",3.94,13871,274,1165,"Nonfiction, Memoir, Classics, Biography, Erotica, Romance, France"
The V Girl: A Coming of Age Story,Mya Robarts,"June 20, 2015",3.95,16982,340,1811,"Romance, Coming Of Age, Young Adult, Dystopia, Love, Fiction, War"
The Sexy Part of the Bible,Kola Boof,"June 17, 2011",3.71,429,275,43,"Fiction, Science Fiction, Contemporary, Race, African Literature, Womens"
This Book Is Full of Spiders,David  Wong,"October 2, 2012",4.26,34746,406,2819,"Horror, Fiction, Humor, Fantasy, Science Fiction, Comedy, Audiobook"
"Kiss Me, Judas",Will Christopher Baer,"January 1, 1998",3.81,4668,316,305,"Fiction, Mystery, Noir, Crime, Thriller, Contemporary, Novels"
The Book of Lies,Aleister Crowley,"January 1, 1913",3.81,4312,196,223,"Occult, Philosophy, Nonfiction, Religion, Thelema, Poetry, Spirituality"
Magnolias in Paradise,Leonard Seet,"October 1, 2016",3.76,1851,290,5,Fiction
Soft,Rupert Thomson,"January 1, 1998",3.53,748,352,41,"Fiction, Mystery, Novels, Crime, Suspense, Adult Fiction, British Literature"
Violin,Anne Rice,"January 1, 1997",3.35,20107,289,762,"Fiction, Horror, Fantasy, Paranormal, Supernatural, Vampires, Gothic"
Death's Master,Tanith Lee,"February 1, 1979",4.22,1552,348,127,"Fantasy, Fiction, High Fantasy, Science Fiction, Dark Fantasy, Horror, LGBT"
Heartsick,Chelsea Cain,"September 4, 2007",3.93,43716,326,3363,"Mystery, Thriller, Fiction, Crime, Mystery Thriller, Horror, Suspense"
Waiting for Godot,Samuel Beckett,"January 1, 1951",3.84,224797,109,11320,"Plays, Classics, Fiction, Drama, Theatre, Literature, Philosophy"
We Disappear,Scott Heim,"January 1, 2008",3.59,1319,293,145,"Fiction, Mystery, LGBT, Gay, Gay Fiction, Dark, Literary Fiction"
The Croning,Laird Barron,"May 1, 2012",3.71,6530,245,872,"Horror, Fiction, Fantasy, Lovecraftian, Weird Fiction, Paranormal, Audiobook"
JPod,Douglas Coupland,"January 1, 2006",3.71,20369,464,1066,"Fiction, Canada, Humor, Contemporary, Comedy, Novels, Literature"
A Decent Ride,Irvine Welsh,"April 16, 2015",3.90,3735,496,276,"Fiction, Scotland, Contemporary, Novels, Humor, Audiobook, Ebooks"
The Mezzanine,Nicholson Baker,"October 15, 1988",3.82,10606,135,1516,"Fiction, Novels, Contemporary, Literature, Literary Fiction, Classics, American"
The Virgin Suicides,Jeffrey Eugenides,"January 1, 1993",3.78,422850,250,33525,"Fiction, Classics, Contemporary, Literary Fiction, Young Adult, Coming Of Age, Mental Health"
Teatro Grottesco,Thomas Ligotti,"January 1, 2006",4.09,6002,312,719,"Horror, Short Stories, Fiction, Weird Fiction, Fantasy, Lovecraftian, American"
The Last Watch,Sergei Lukyanenko,"January 1, 2006",4.12,14712,370,468,"Fantasy, Urban Fantasy, Fiction, Horror, Russia, Vampires, Paranormal"
Delusion's Master,Tanith Lee,"January 1, 1981",4.18,1142,208,78,"Fantasy, Fiction, High Fantasy, Dark Fantasy, Science Fiction, Sci Fi Fantasy, Adult"
The Crow Road,Iain Banks,"January 1, 1992",4.09,24535,501,1174,"Fiction, Mystery, Scotland, Contemporary, Thriller, Crime, Novels"
Lady Oracle,Margaret Atwood,"September 27, 1976",3.68,15850,346,1087,"Fiction, Canada, Literary Fiction, Contemporary, Feminism, Canadian Literature, Literature"
Grimscribe: His Lives and Works,Thomas Ligotti,"January 1, 1991",4.12,2003,230,187,"Horror, Short Stories, Fiction, Weird Fiction, Fantasy, Lovecraftian, Gothic"
The Talented Mr. Ripley,Patricia Highsmith,"November 30, 1955",3.95,121512,249,9383,"Fiction, Classics, Mystery, Thriller, Crime, Mystery Thriller, Book Club"
