title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
To Kill a Mockingbird,Harper Lee,"July 11, 1960",4.26,6959944,323,134590,"Classics, Fiction, Historical Fiction, School, Literature, Young Adult, Historical"
Pride and Prejudice,Jane Austen,"January 28, 1813",4.30,4871818,400,151048,"Classics, Romance, Fiction, Historical Fiction, Historical, Literature, Audiobook"
1984,George Orwell,"November 4, 1948",4.20,5558936,368,160695,"Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels"
Jane Eyre,Charlotte Brontë,"October 19, 1847",4.16,2351695,532,82749,"Classics, Fiction, Romance, Gothic, Historical Fiction, Literature, Historical"
The Great Gatsby,F. Scott Fitzgerald,"April 10, 1925",3.93,5987400,180,132831,"Classics, Fiction, School, Historical Fiction, Romance, Literature, Novels"
Animal Farm,George Orwell,"August 17, 1945",4.02,4631938,141,138655,"Classics, Fiction, Dystopia, Fantasy, School, Politics, Literature"
The Count of Monte Cristo,Alexandre Dumas,"January 1, 1844",4.33,1039623,1276,43372,"Classics, Fiction, Historical Fiction, Adventure, Literature, France, Historical"
The Lord of the Rings,J.R.R. Tolkien,"January 1, 1959",4.54,736357,1216,16755,"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, High Fantasy, Epic Fantasy"
Little Women,Louisa May Alcott,"September 30, 1868",4.17,2487613,449,66778,"Classics, Fiction, Historical Fiction, Young Adult, Romance, Historical, Book Club"
The Picture of Dorian Gray,Oscar Wilde,"July 1, 1890",4.14,1917128,272,100877,"Classics, Fiction, Horror, Gothic, Fantasy, Literature, Dark Academia"
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"September 21, 1937",4.30,4505807,366,89995,"Fantasy, Classics, Fiction, Adventure, Young Adult, Audiobook, High Fantasy"
Wuthering Heights,Emily Brontë,"November 24, 1847",3.90,2192900,464,114496,"Classics, Fiction, Romance, Gothic, Historical Fiction, Literature, Audiobook"
Hamlet,William Shakespeare,"January 1, 1601",4.03,1064923,289,30272,"Classics, Plays, Fiction, Shakespeare, Drama, School, Literature"
Fahrenheit 451,Ray Bradbury,"January 1, 1953",3.97,2884827,249,98477,"Classics, Fiction, Science Fiction, Dystopia, School, Literature, Audiobook"
Lord of the Flies,William Golding,"September 17, 1954",3.70,3234582,182,68751,"Classics, Fiction, Young Adult, School, Dystopia, Literature, Read For School"
Crime and Punishment,Fyodor Dostoevsky,"January 1, 1866",4.29,1104011,671,53813,"Classics, Fiction, Russia, Russian Literature, Literature, Philosophy, Novels"
