title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
The Catcher in the Rye,J.D. Salinger,"July 16, 1951",3.80,3928944,277,104493,"Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels"
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"January 1, 1818",3.91,1930781,260,97162,"Classics, Horror, Fiction, Science Fiction, Gothic, Fantasy, School"
The Diary of a Young Girl,Anne Frank,"June 25, 1947",4.20,4234773,283,49625,"Classics, Nonfiction, History, Biography, Memoir, Historical, Holocaust"
Romeo and Juliet,William Shakespeare,"January 1, 1590",3.74,2844278,281,38882,"Classics, Plays, Fiction, Romance, School, Shakespeare, Drama"
Dracula,Bram Stoker,"May 26, 1897",4.02,1497553,488,64630,"Classics, Horror, Fiction, Fantasy, Gothic, Vampires, Audiobook"
Sense and Sensibility,Jane Austen,"October 30, 1811",4.09,1308984,409,35992,"Classics, Fiction, Romance, Historical Fiction, Jane Austen, Literature, Audiobook"
A Christmas Carol,Charles Dickens,"December 19, 1843",4.09,947845,184,40025,"Classics, Fiction, Christmas, Fantasy, Audiobook, Literature, Historical Fiction"
Great Expectations,Charles Dickens,"January 1, 1861",3.80,880825,544,26121,"Classics, Fiction, Literature, Historical Fiction, School, Novels, Classic Literature"
Les Misérables,Victor Hugo,"March 31, 1862",4.21,849447,1463,25915,"Classics, Fiction, Historical Fiction, Literature, France, Historical, Novels"
Gone with the Wind,Margaret Mitchell,"June 30, 1936",4.31,1261467,1037,27386,"Classics, Historical Fiction, Fiction, Romance, Historical, War, Literature"
The Adventures of Huckleberry Finn,Mark Twain,"January 1, 1885",3.83,1343449,327,26190,"Classics, Fiction, Historical Fiction, Adventure, Literature, Young Adult, School"
The Secret Garden,Frances Hodgson Burnett,"August 1, 1911",4.17,1309031,331,35114,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Audiobook"
Persuasion,Jane Austen,"December 20, 1817",4.15,787753,249,42371,"Classics, Fiction, Romance, Jane Austen, Historical Fiction, Audiobook, Historical"
A Tale of Two Cities,Charles Dickens,"November 26, 1859",3.88,1019480,489,27570,"Classics, Fiction, Historical Fiction, Literature, Historical, School, Novels"
Harry Potter and the Sorcerer's Stone,J.K. Rowling,"June 26, 1997",4.47,11537960,309,197164,"Fantasy, Fiction, Young Adult, Harry Potter, Magic, Audiobook, Childrens"
The Little Prince,Antoine de Saint-Exupéry,"April 6, 1943",4.33,2518068,96,87355,"Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult"
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"December 27, 1871",4.06,613988,239,18331,"Classics, Fantasy, Fiction, Childrens, Young Adult, Literature, Adventure"
Emma,Jane Austen,"December 23, 1815",4.05,995847,474,43967,"Classics, Fiction, Romance, Historical Fiction, Jane Austen, Audiobook, Literature"
Of Mice and Men,John Steinbeck,"February 25, 1937",3.90,2870994,107,67969,"Classics, Fiction, School, Historical Fiction, Literature, Read For School, Novels"
The Odyssey,Homer,"January 1, 801",3.84,1209365,541,27130,"Classics, Fiction, Poetry, Mythology, Fantasy, School, Literature"
Brave New World,Aldous Huxley,"January 1, 1932",3.98,2100881,288,62875,"Classics, Fiction, Science Fiction, Dystopia, Literature, Novels, School"
The Grapes of Wrath,John Steinbeck,"April 14, 1939",4.03,1003824,496,30427,"Classics, Fiction, Historical Fiction, Literature, Novels, School, Historical"
Macbeth,William Shakespeare,"January 1, 1623",3.89,1032250,214,26902,"Classics, Plays, Fiction, Shakespeare, School, Drama, Read For School"
Anna Karenina,Leo Tolstoy,"January 1, 1878",4.10,942866,964,43931,"Classics, Fiction, Romance, Russia, Historical Fiction, Russian Literature, Literature"
The Chronicles of Narnia,C.S. Lewis,"January 1, 1956",4.28,713025,767,13673,"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Adventure"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"February 1, 1962",4.20,785196,325,19658,"Classics, Fiction, Psychology, Literature, Novels, Mental Health, School"
Anne of Green Gables,L.M. Montgomery,"January 1, 1908",4.33,1126934,320,48938,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Audiobook, Middle Grade"
The Scarlet Letter,Nathaniel Hawthorne,"March 16, 1850",3.44,927001,279,24216,"Classics, Fiction, Historical Fiction, School, Literature, High School, Historical"
Catch-22,Joseph Heller,"November 10, 1961",3.99,892213,453,27884,"Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels"
War and Peace,Leo Tolstoy,"January 1, 1869",4.17,369455,1392,21044,"Classics, Fiction, Historical Fiction, Russia, Russian Literature, Literature, War"
The Old Man and the Sea,Ernest Hemingway,"September 1, 1952",3.81,1331346,96,51641,"Classics, Fiction, Literature, Novels, American, School, Adventure"
Slaughterhouse-Five,Kurt Vonnegut Jr.,"March 31, 1969",4.10,1496345,275,50521,"Classics, Fiction, Science Fiction, Historical Fiction, War, Literature, Novels"
Rebecca,Daphne du Maurier,"August 1, 1938",4.25,734306,449,52017,"Classics, Fiction, Mystery, Gothic, Romance, Book Club, Thriller"
Don Quixote,Miguel de Cervantes Saavedra,"January 1, 1615",3.91,308518,1023,15156,"Classics, Fiction, Literature, Spanish Literature, Historical Fiction, Adventure, Novels"
The Three Musketeers,Alexandre Dumas,"July 1, 1844",4.10,348924,625,11345,"Classics, Fiction, Historical Fiction, Adventure, France, Literature, Historical"
Lolita,Vladimir Nabokov,"September 1, 1955",3.87,956392,368,51366,"Classics, Fiction, Literature, Russia, Novels, Romance, Russian Literature"
The Adventures of Tom Sawyer,Mark Twain,"January 1, 1876",3.92,1027323,244,17179,"Classics, Fiction, Adventure, Historical Fiction, Young Adult, Literature, Childrens"
The Outsiders,S.E. Hinton,"April 24, 1967",4.15,1630544,208,59385,"Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Historical Fiction"
A Midsummer Night’s Dream,William Shakespeare,"January 1, 1595",3.94,583070,298,15915,"Classics, Plays, Shakespeare, Fiction, Fantasy, Drama, School"
A Clockwork Orange,Anthony Burgess,"January 1, 1962",4.00,777454,240,25996,"Classics, Fiction, Science Fiction, Dystopia, Horror, Literature, Novels"
The Brothers Karamazov,Fyodor Dostoevsky,"January 1, 1880",4.39,395120,796,25799,"Classics, Fiction, Russia, Philosophy, Russian Literature, Literature, Novels"
The Iliad,Homer,"January 1, 801",3.93,516146,614,17314,"Classics, Poetry, Fiction, Mythology, Literature, Fantasy, Greek Mythology"
A Tree Grows in Brooklyn,Betty  Smith,"August 18, 1943",4.30,518423,496,33458,"Classics, Fiction, Historical Fiction, Book Club, Young Adult, Coming Of Age, Historical"
All Quiet on the Western Front,Erich Maria Remarque,"January 1, 1928",4.11,525968,296,23722,"Classics, Fiction, Historical Fiction, War, Historical, Literature, School"
The Importance of Being Earnest,Oscar Wilde,"February 14, 1895",4.17,409226,89,17843,"Classics, Plays, Fiction, Drama, Humor, School, Literature"
Tess of the D’Urbervilles,Thomas Hardy,"January 1, 1891",3.84,304693,518,13705,"Classics, Fiction, Romance, Literature, Historical Fiction, 19th Century, Victorian"
Treasure Island,Robert Louis Stevenson,"January 28, 1882",3.85,545584,352,19875,"Classics, Fiction, Adventure, Historical Fiction, Young Adult, Childrens, Pirates"
East of Eden,John Steinbeck,"January 1, 1952",4.44,657393,601,46249,"Classics, Fiction, Historical Fiction, Literature, Book Club, Novels, Literary Fiction"
Mansfield Park,Jane Austen,"July 2, 1814",3.86,383048,488,18701,"Classics, Fiction, Romance, Jane Austen, Historical Fiction, Literature, Audiobook"
"Moby-Dick or, The Whale",Herman Melville,"October 18, 1851",3.57,621394,720,28435,"Classics, Fiction, Literature, Adventure, Historical Fiction, Novels, Audiobook"
Watership Down,Richard  Adams,"November 1, 1972",4.09,508436,478,20306,"Classics, Fiction, Fantasy, Young Adult, Animals, Adventure, Childrens"
Flowers for Algernon,Daniel Keyes,"April 1, 1966",4.24,809439,311,48325,"Fiction, Classics, Science Fiction, Young Adult, Psychology, Literature, School"
One Hundred Years of Solitude,Gabriel García Márquez,"January 1, 1967",4.12,1118687,417,60603,"Classics, Fiction, Magical Realism, Fantasy, Literature, Historical Fiction, Novels"
Madame Bovary,Gustave Flaubert,"January 1, 1856",3.71,379469,329,20903,"Classics, Fiction, France, Literature, French Literature, Romance, 19th Century"
Night,Elie Wiesel,"January 1, 1956",4.38,1377140,120,43149,"Nonfiction, Classics, History, Memoir, School, Holocaust, Biography"
The Good Earth,Pearl S. Buck,"March 2, 1931",4.01,262005,418,12768,"Classics, Fiction, Historical Fiction, China, Book Club, Literature, Historical"
Much Ado About Nothing,William Shakespeare,"January 1, 1598",4.06,260184,249,7692,"Classics, Plays, Shakespeare, Fiction, Drama, Romance, School"
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"January 1, 1320",4.09,174669,798,8104,"Classics, Poetry, Fiction, Literature, Philosophy, Religion, Fantasy"
The Holy Bible: King James Version,Anonymous,"January 1, 1611",4.45,321655,1590,9912,"Religion, Classics, Nonfiction, Christian, Philosophy, Christianity, History"
Northanger Abbey,Jane Austen,"December 20, 1817",3.85,459847,260,27478,"Classics, Fiction, Romance, Jane Austen, Gothic, Historical Fiction, Audiobook"
"The Lion, the Witch and the Wardrobe",C.S. Lewis,"October 16, 1950",4.24,3176451,206,42446,"Fantasy, Classics, Fiction, Young Adult, Childrens, Middle Grade, Adventure"
Memoirs of a Geisha,Arthur Golden,"September 27, 1997",4.16,2121062,503,39776,"Fiction, Historical Fiction, Classics, Romance, Historical, Japan, Book Club"
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,"October 12, 1979",4.22,2034462,216,57109,"Science Fiction, Fiction, Classics, Humor, Fantasy, Audiobook, Comedy"
Dune,Frank Herbert,"June 1, 1965",4.29,1650180,658,84331,"Science Fiction, Fiction, Fantasy, Classics, Audiobook, Science Fiction Fantasy, Space Opera"
The Metamorphosis,Franz Kafka,"January 1, 1915",3.91,1464203,201,73550,"Classics, Fiction, Philosophy, Fantasy, Short Stories, Literature, Horror"
The Crucible,Arthur Miller,"January 22, 1953",3.61,468418,143,15697,"Classics, Plays, Fiction, Historical Fiction, School, Drama, Read For School"
Atlas Shrugged,Ayn Rand,"October 10, 1957",3.69,408686,1168,21669,"Fiction, Classics, Philosophy, Politics, Literature, Science Fiction, Novels"
"Sherlock Holmes: The Complete Novels and Stories, Volume I",Arthur Conan Doyle,"January 1, 1927",4.47,27388,1059,740,"Classics, Mystery, Fiction, Short Stories, Crime, Detective, Literature"
Siddhartha,Hermann Hesse,"October 1, 1922",4.08,888480,152,35276,"Classics, Fiction, Philosophy, Spirituality, Religion, Literature, Buddhism"
Heart of Darkness,Joseph Conrad,"January 1, 1899",3.43,563828,188,25178,"Classics, Fiction, Literature, Historical Fiction, Africa, School, Novels"
The Fellowship of the Ring,J.R.R. Tolkien,"July 29, 1954",4.41,3183636,398,54801,"Fantasy, Classics, Fiction, Adventure, Audiobook, High Fantasy, Epic Fantasy"
Charlotte’s Web,E.B. White,"October 15, 1952",4.21,2065138,184,27374,"Classics, Fiction, Childrens, Fantasy, Young Adult, Middle Grade, Animals"
Twenty Thousand Leagues Under the Sea,Jules Verne,"January 1, 1869",3.89,279266,269,12204,"Classics, Science Fiction, Fiction, Adventure, Fantasy, France, Audiobook"
The Bell Jar,Sylvia Plath,"January 14, 1963",4.05,1250305,294,89049,"Classics, Fiction, Feminism, Mental Health, Psychology, Literary Fiction, Literature"
The Kite Runner,Khaled Hosseini,"May 29, 2003",4.36,3528940,371,115629,"Fiction, Historical Fiction, Classics, Contemporary, Book Club, Historical, Novels"
The Stranger,Albert Camus,"May 19, 1942",4.03,1437784,123,80075,"Classics, Fiction, Philosophy, France, Literature, Novels, French Literature"
Uncle Tom’s Cabin,Harriet Beecher Stowe,"March 20, 1852",3.92,244167,438,11012,"Classics, Fiction, Historical Fiction, Literature, Historical, Novels, American"
The Godfather,Mario Puzo,"March 10, 1969",4.40,469083,428,15721,"Fiction, Classics, Crime, Thriller, Historical Fiction, Mystery, Novels"
Aesop’s Fables,Aesop,"January 1, 561",4.05,130153,352,3022,"Classics, Fiction, Short Stories, Childrens, Fantasy, Mythology, Literature"
The Scarlet Pimpernel,Emmuska Orczy,"January 1, 1905",4.07,142506,182,8780,"Classics, Historical Fiction, Fiction, Romance, Adventure, Historical, Mystery"
The Giver,Lois Lowry,"April 26, 1993",4.12,2837603,208,89458,"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School"
The Sound and the Fury,William Faulkner,"January 1, 1929",3.86,197648,366,11358,"Classics, Fiction, Literature, Novels, American, Southern Gothic, Literary Fiction"
The Woman in White,Wilkie Collins,"November 26, 1859",4.02,167512,672,11498,"Classics, Mystery, Fiction, Gothic, Horror, 19th Century, Victorian"
The Canterbury Tales,Geoffrey Chaucer,"January 1, 1400",3.53,239169,504,5142,"Classics, Fiction, Poetry, Literature, School, Medieval, Short Stories"
"The Call of the Wild, White Fang and Other Stories",Jack London,"January 1, 1903",4.05,22794,400,272,"Classics, Fiction, Short Stories, Adventure, Literature, Animals, Young Adult"
Their Eyes Were Watching God,Zora Neale Hurston,"January 1, 1937",3.99,391372,238,24818,"Classics, Fiction, Historical Fiction, School, Book Club, African American, Literature"
The Fall of the House of Usher and Other Tales,Edgar Allan Poe,"January 1, 1960",4.17,75006,400,814,"Classics, Horror, Fiction, Short Stories, Gothic, Mystery, Literature"
Bleak House,Charles Dickens,"January 1, 1853",4.02,115084,1017,6327,"Classics, Fiction, Literature, 19th Century, Historical Fiction, Victorian, Novels"
The Wonderful Wizard of Oz,L. Frank Baum,"May 17, 1900",4.00,516652,154,21661,"Classics, Fantasy, Fiction, Childrens, Young Adult, Audiobook, Adventure"
The Awakening,Kate Chopin,"January 1, 1899",3.69,229454,195,13464,"Classics, Fiction, Feminism, School, Literature, Historical Fiction, Read For School"
American Psycho,Bret Easton Ellis,"March 6, 1991",3.80,368516,399,26443,"Fiction, Horror, Classics, Thriller, Crime, Contemporary, Novels"
Winnie-the-Pooh,A.A. Milne,"October 14, 1926",4.38,397563,161,9190,"Classics, Childrens, Fiction, Fantasy, Animals, Audiobook, Middle Grade"
Oliver Twist,Charles Dickens,"January 1, 1838",3.88,431158,608,12799,"Classics, Fiction, Historical Fiction, Literature, Novels, 19th Century, Classic Literature"
David Copperfield,Charles Dickens,"November 1, 1850",4.05,261294,882,12220,"Classics, Fiction, Literature, Historical Fiction, Audiobook, 19th Century, Novels"
"The Metamorphosis, In the Penal Colony, and Other Stories: The Great Short Works of Franz Kafka",Franz Kafka,"January 1, 1915",4.09,21125,352,629,"Fiction, Classics, Short Stories, Literature, Philosophy, Horror, German Literature"
Gulliver’s Travels,Jonathan Swift,"January 1, 1726",3.59,300935,306,9089,"Classics, Fiction, Fantasy, Adventure, Literature, Satire, Novels"
Alice in Wonderland,Jane Carruth,"January 1, 1865",4.03,397181,96,5740,"Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature"
The Complete Grimm's Fairy Tales,Jacob Grimm,"December 20, 1812",4.23,222098,880,6195,"Classics, Fantasy, Fiction, Fairy Tales, Short Stories, Childrens, Mythology"
The Call of the Wild,Jack London,"January 1, 1903",3.92,477664,172,18554,"Classics, Fiction, Adventure, Young Adult, Animals, Historical Fiction, Literature"
North and South,Elizabeth Gaskell,"January 1, 1855",4.15,185053,521,12110,"Classics, Fiction, Romance, Historical Fiction, Historical, 19th Century, Victorian"
The Jungle Books,Rudyard Kipling,"January 1, 1895",4.01,89245,368,1458,"Classics, Fiction, Fantasy, Childrens, Adventure, Short Stories, Literature"
Candide,Voltaire,"January 1, 1759",3.76,304399,129,14319,"Classics, Fiction, Philosophy, France, Literature, French Literature, Humor"
Requiem for a Dream,Hubert Selby Jr.,"January 1, 1978",4.11,67428,279,2375,"Fiction, Classics, Thriller, Contemporary, Mystery, Crime, Novels"
The Time Machine,H.G. Wells,"January 1, 1895",3.89,570280,118,19843,"Classics, Science Fiction, Fiction, Time Travel, Fantasy, Dystopia, Audiobook"
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"January 1, 1886",3.83,675020,139,30235,"Classics, Horror, Fiction, Gothic, Mystery, Science Fiction, Fantasy"
Trainspotting,Irvine Welsh,"January 1, 1993",4.11,181722,431,5089,"Fiction, Contemporary, Classics, Scotland, Novels, Drugs, Crime"
Fight Club,Chuck Palahniuk,"August 17, 1996",4.18,649663,224,27249,"Fiction, Classics, Thriller, Contemporary, Novels, Mystery, Adult"
The Return of the King,J.R.R. Tolkien,"October 20, 1955",4.58,1056576,404,26181,"Fantasy, Fiction, Classics, Adventure, High Fantasy, Audiobook, Epic Fantasy"
Green Eggs and Ham,Dr. Seuss,"August 12, 1960",4.32,852821,64,12557,"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor"
Oedipus Rex,Sophocles,"January 1, 430",3.73,239577,75,8275,"Classics, Plays, Fiction, Drama, School, Mythology, Read For School"
Journey to the Center of the Earth,Jules Verne,"November 25, 1864",3.85,227725,240,10687,"Classics, Science Fiction, Fiction, Adventure, Fantasy, Audiobook, France"
The Zombie Room,R.D. Ronald,"July 26, 2012",3.94,42868,218,465,"Thriller, Mystery, Fiction, Crime, Book Club, Contemporary, Mystery Thriller"
Lunar Park,Bret Easton Ellis,"August 16, 2005",3.65,31060,404,1557,"Fiction, Horror, Thriller, Mystery, Contemporary, Novels, Bret Easton Ellis"
Mrs. Dalloway,Virginia Woolf,"March 14, 1925",3.77,362086,194,25911,"Classics, Fiction, Literature, Feminism, Novels, Literary Fiction, British Literature"
The Wasp Factory,Iain Banks,"February 16, 1984",3.76,111521,184,7852,"Fiction, Horror, Thriller, Contemporary, Mystery, Classics, Scotland"
Factotum,Charles Bukowski,"January 1, 1975",3.92,76578,205,3202,"Fiction, Classics, Novels, Literature, American, Poetry, Contemporary"
A Wrinkle in Time,Madeleine L'Engle,"January 1, 1962",3.97,1295101,211,44383,"Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade"
The Moonstone,Wilkie Collins,"January 1, 1868",3.91,99628,528,6811,"Classics, Mystery, Fiction, Crime, Victorian, Historical Fiction, 19th Century"
Invisible Monsters,Chuck Palahniuk,"September 17, 1999",3.99,152399,304,7985,"Fiction, Contemporary, Thriller, Horror, Novels, Mystery, Humor"
Things Fall Apart,Chinua Achebe,"January 1, 1958",3.75,417025,215,23801,"Fiction, Classics, Historical Fiction, Africa, School, Literature, Nigeria"
Beowulf,Unknown,"January 1, 1000",3.50,349790,259,13734,"Classics, Poetry, Fiction, Fantasy, Mythology, School, Literature"
The Alchemist,Paulo Coelho,"January 1, 1988",3.92,3627521,182,150297,"Fiction, Classics, Fantasy, Philosophy, Self Help, Book Club, Novels"
Skagboys,Irvine Welsh,"April 19, 2012",4.07,18050,548,879,"Fiction, Thriller, Contemporary, Mystery, Scotland, Crime, Drugs"
Vanity Fair,William Makepeace Thackeray,"January 1, 1847",3.81,133688,867,5121,"Classics, Fiction, Historical Fiction, Literature, 19th Century, Romance, Victorian"
The Adventures of Sherlock Holmes,Arthur Conan Doyle,"October 14, 1892",4.30,328846,389,10982,"Classics, Mystery, Fiction, Short Stories, Crime, Detective, Audiobook"
In Cold Blood,Truman Capote,"January 17, 1966",4.09,738081,343,29589,"Nonfiction, Classics, True Crime, Crime, Mystery, History, Book Club"
Othello,William Shakespeare,"January 1, 1603",3.89,440549,319,13606,"Classics, Plays, Shakespeare, Fiction, Drama, School, Theatre"
Black Beauty,Anna Sewell,"November 24, 1877",4.00,300243,245,8011,"Classics, Fiction, Childrens, Animals, Young Adult, Horses, Historical Fiction"
The Trial,Franz Kafka,"January 1, 1925",3.94,403480,255,22329,"Classics, Fiction, Philosophy, Literature, German Literature, Novels, Dystopia"
A Little Princess,Frances Hodgson Burnett,"January 1, 1905",4.23,332074,242,11772,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical"
The Handmaid's Tale,Margaret Atwood,"April 17, 1985",4.15,2467694,320,125099,"Fiction, Classics, Dystopia, Science Fiction, Feminism, Book Club, Fantasy"
Murder on the Orient Express,Agatha Christie,"January 1, 1934",4.20,744357,274,50170,"Mystery, Classics, Fiction, Agatha Christie, Crime, Mystery Thriller, Audiobook"
Antigone,Sophocles,"January 1, 442",3.69,179239,80,8661,"Classics, Plays, School, Fiction, Drama, Mythology, Read For School"
The Hound of the Baskervilles,Arthur Conan Doyle,"January 1, 1902",4.14,392981,256,15305,"Classics, Mystery, Fiction, Crime, Detective, Mystery Thriller, Audiobook"
