title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
The Sun Also Rises,Ernest Hemingway,"October 22, 1926",3.79,498734,189,24633,"Classics, Fiction, Literature, Historical Fiction, Novels, American, Book Club"
North and South,Elizabeth Gaskell,"January 1, 1855",4.15,184944,521,12092,"Classics, Fiction, Romance, Historical Fiction, Historical, 19th Century, Victorian"
Charlotte’s Web,E.B. White,"October 15, 1952",4.21,2063803,184,27340,"Classics, Fiction, Childrens, Fantasy, Young Adult, Middle Grade, Animals"
The Invisible Man,H.G. Wells,"February 2, 1897",3.63,219419,192,12038,"Classics, Science Fiction, Fiction, Horror, Fantasy, Audiobook, Literature"
Gulliver’s Travels,Jonathan Swift,"January 1, 1726",3.59,300809,306,9074,"Classics, Fiction, Fantasy, Adventure, Literature, Satire, Novels"
Vanity Fair,William Makepeace Thackeray,"January 1, 1847",3.81,133654,867,5114,"Classics, Fiction, Historical Fiction, Literature, 19th Century, Romance, Victorian"
Mrs. Dalloway,Virginia Woolf,"March 14, 1925",3.77,361738,194,25851,"Classics, Fiction, Literature, Feminism, Novels, Literary Fiction, British Literature"
The Crucible,Arthur Miller,"January 22, 1953",3.61,468126,143,15673,"Classics, Plays, Fiction, Historical Fiction, School, Drama, Read For School"
Twenty Thousand Leagues Under the Sea,Jules Verne,"January 1, 1869",3.89,279087,269,12182,"Classics, Science Fiction, Fiction, Adventure, Fantasy, France, Audiobook"
"The Lion, the Witch and the Wardrobe",C.S. Lewis,"October 16, 1950",4.24,3174967,206,42382,"Fantasy, Classics, Fiction, Young Adult, Childrens, Middle Grade, Adventure"
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,"December 27, 1871",4.06,613674,239,18311,"Classics, Fantasy, Fiction, Childrens, Young Adult, Literature, Adventure"
The Chronicles of Narnia,C.S. Lewis,"January 1, 1956",4.28,712692,767,13660,"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Adventure"
Beloved,Toni Morrison,"September 16, 1987",3.98,497058,325,28193,"Fiction, Classics, Historical Fiction, Magical Realism, Historical, Literature, School"
Catch-22,Joseph Heller,"November 10, 1961",3.99,891835,453,27847,"Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels"
Northanger Abbey,Jane Austen,"December 20, 1817",3.85,459491,260,27423,"Classics, Fiction, Romance, Jane Austen, Gothic, Historical Fiction, Audiobook"
Sense and Sensibility,Jane Austen,"October 30, 1811",4.09,1308142,409,35915,"Classics, Fiction, Romance, Historical Fiction, Jane Austen, Literature, Audiobook"
Crime and Punishment,Fyodor Dostoevsky,"January 1, 1866",4.29,1102523,671,53681,"Classics, Fiction, Russia, Russian Literature, Literature, Philosophy, Novels"
The Metamorphosis,Franz Kafka,"January 1, 1915",3.91,1461810,201,73348,"Classics, Fiction, Philosophy, Fantasy, Short Stories, Literature, Horror"
The Complete Fairy Tales,Hans Christian Andersen,"January 1, 1850",4.29,108677,803,848,"Classics, Fantasy, Fiction, Childrens, Fairy Tales, Short Stories, Literature"
The Prince,Niccolò Machiavelli,"January 1, 1532",3.84,387141,144,16416,"Philosophy, Classics, Nonfiction, Politics, History, Political Science, Italy"
The Hitchhiker’s Guide to the Galaxy,Douglas Adams,"October 12, 1979",4.22,2033193,193,57015,"Science Fiction, Fiction, Classics, Humor, Fantasy, Audiobook, Comedy"
A Portrait of the Artist as a Young Man,James Joyce,"December 16, 1916",3.64,165421,329,9463,"Classics, Fiction, Literature, Irish Literature, Ireland, Novels, 20th Century"
Their Eyes Were Watching God,Zora Neale Hurston,"January 1, 1937",3.99,391070,238,24790,"Classics, Fiction, Historical Fiction, School, Book Club, African American, Literature"
Candide,Voltaire,"January 1, 1759",3.76,304253,129,14301,"Classics, Fiction, Philosophy, France, Literature, French Literature, Humor"
The Woman in White,Wilkie Collins,"November 26, 1859",4.02,167413,672,11493,"Classics, Mystery, Fiction, Gothic, Horror, 19th Century, Victorian"
The Awakening,Kate Chopin,"January 1, 1899",3.69,229331,195,13449,"Classics, Fiction, Feminism, School, Literature, Historical Fiction, Read For School"
Tess of the D’Urbervilles,Thomas Hardy,"January 1, 1891",3.84,304561,518,13675,"Classics, Fiction, Romance, Literature, Historical Fiction, 19th Century, Victorian"
Watership Down,Richard  Adams,"November 1, 1972",4.09,508261,478,20280,"Classics, Fiction, Fantasy, Young Adult, Animals, Adventure, Childrens"
The Voyage of the Dawn Treader,C.S. Lewis,"September 15, 1952",4.09,511495,248,14007,"Fantasy, Classics, Fiction, Young Adult, Childrens, Adventure, Christian"
Slaughterhouse-Five,Kurt Vonnegut Jr.,"March 31, 1969",4.10,1495525,275,50431,"Classics, Fiction, Science Fiction, Historical Fiction, War, Literature, Novels"
All Quiet on the Western Front,Erich Maria Remarque,"January 1, 1928",4.11,525464,296,23682,"Classics, Fiction, Historical Fiction, War, Historical, Literature, School"
Mansfield Park,Jane Austen,"July 2, 1814",3.86,382822,488,18664,"Classics, Fiction, Romance, Jane Austen, Historical Fiction, Literature, Audiobook"
War and Peace,Leo Tolstoy,"January 1, 1869",4.17,369218,1392,21016,"Classics, Fiction, Historical Fiction, Russia, Russian Literature, Literature, War"
A Farewell to Arms,Ernest Hemingway,"September 1, 1929",3.82,357254,304,17448,"Classics, Fiction, Historical Fiction, War, Literature, Novels, Romance"
Much Ado About Nothing,William Shakespeare,"January 1, 1598",4.06,260099,249,7677,"Classics, Plays, Shakespeare, Fiction, Drama, Romance, School"
A Wrinkle in Time,Madeleine L'Engle,"January 1, 1962",3.97,1294504,218,44351,"Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade"
As I Lay Dying,William Faulkner,"January 1, 1930",3.72,188986,288,13617,"Classics, Fiction, Literature, Novels, School, American, Southern Gothic"
The Taming of the Shrew,William Shakespeare,"January 1, 1593",3.73,181569,291,6183,"Classics, Plays, Shakespeare, Fiction, Drama, School, Romance"
A Clockwork Orange,Anthony Burgess,"January 1, 1962",4.00,776831,240,25942,"Classics, Fiction, Science Fiction, Dystopia, Horror, Literature, Novels"
The Pearl,John Steinbeck,"January 1, 1947",3.57,276452,96,16748,"Classics, Fiction, Literature, School, Historical Fiction, American, Novels"
Harry Potter and the Sorcerer's Stone,J.K. Rowling,"June 26, 1997",4.47,11530029,309,196951,"Fantasy, Fiction, Young Adult, Harry Potter, Magic, Audiobook, Childrens"
Anne of Avonlea,L.M. Montgomery,"January 14, 1909",4.23,228889,276,12372,"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Audiobook, Romance"
Middlemarch,George Eliot,"January 1, 1872",4.04,181064,912,13783,"Classics, Fiction, Historical Fiction, Literature, 19th Century, Victorian, Novels"
Alice in Wonderland,Jane Carruth,"January 1, 1865",4.03,397157,96,5739,"Classics, Fantasy, Fiction, Childrens, Young Adult, Adventure, Literature"
The Princess Bride,William Goldman,"September 1, 1973",4.27,952654,429,31006,"Fantasy, Classics, Fiction, Romance, Humor, Adventure, Young Adult"
Anne of the Island,L.M. Montgomery,"November 1, 1915",4.28,195805,243,9969,"Classics, Fiction, Young Adult, Historical Fiction, Romance, Childrens, Audiobook"
The Three Musketeers,Alexandre Dumas,"July 1, 1844",4.10,348725,625,11331,"Classics, Fiction, Historical Fiction, Adventure, France, Literature, Historical"
A Room with a View,E.M. Forster,"January 1, 1908",3.89,203423,119,11111,"Classics, Fiction, Romance, Historical Fiction, Italy, Literature, British Literature"
The Giving Tree,Shel Silverstein,"January 1, 1964",4.39,1244249,64,24346,"Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy"
The Importance of Being Earnest,Oscar Wilde,"February 14, 1895",4.17,408975,89,17802,"Classics, Plays, Fiction, Drama, Humor, School, Literature"
Black Beauty,Anna Sewell,"November 24, 1877",4.00,300116,245,7996,"Classics, Fiction, Childrens, Animals, Young Adult, Horses, Historical Fiction"
The Republic,Plato,"January 1, 401",3.97,228141,416,7425,"Philosophy, Classics, Nonfiction, Politics, History, School, Literature"
Journey to the Center of the Earth,Jules Verne,"November 25, 1864",3.85,227545,240,10673,"Classics, Science Fiction, Fiction, Adventure, Fantasy, Audiobook, France"
Night,Elie Wiesel,"January 1, 1956",4.38,1376346,120,43097,"Nonfiction, Classics, History, Memoir, School, Holocaust, Biography"
A Separate Peace,John Knowles,"January 1, 1959",3.60,233479,208,11074,"Classics, Fiction, Young Adult, Historical Fiction, School, Coming Of Age, High School"
Flowers for Algernon,Daniel Keyes,"April 1, 1966",4.24,808440,311,48203,"Fiction, Classics, Science Fiction, Young Adult, Psychology, Literature, School"
The Trial,Franz Kafka,"January 1, 1925",3.94,402919,255,22266,"Classics, Fiction, Philosophy, Literature, German Literature, Novels, Dystopia"
The Complete Grimm's Fairy Tales,Jacob Grimm,"December 20, 1812",4.23,222050,880,6194,"Classics, Fantasy, Fiction, Fairy Tales, Short Stories, Childrens, Mythology"
One Hundred Years of Solitude,Gabriel García Márquez,"January 1, 1967",4.12,1117806,417,60510,"Classics, Fiction, Magical Realism, Fantasy, Literature, Historical Fiction, Novels"
The Good Earth,Pearl S. Buck,"March 2, 1931",4.01,261918,418,12758,"Classics, Fiction, Historical Fiction, China, Book Club, Literature, Historical"
Where the Wild Things Are,Maurice Sendak,"April 9, 1963",4.26,1070991,38,14916,"Childrens, Picture Books, Classics, Fiction, Fantasy, Adventure, Young Adult"
The Hunchback of Notre-Dame,Victor Hugo,"January 1, 1831",4.02,220867,510,9545,"Classics, Fiction, Historical Fiction, France, Gothic, Literature, French Literature"
Othello,William Shakespeare,"January 1, 1603",3.89,440283,319,13581,"Classics, Plays, Shakespeare, Fiction, Drama, School, Theatre"
The Wind in the Willows,Kenneth Grahame,"October 8, 1908",4.02,242758,197,11329,"Classics, Fiction, Childrens, Fantasy, Animals, Young Adult, Middle Grade"
Robinson Crusoe,Daniel Defoe,"April 25, 1719",3.68,333486,320,11711,"Classics, Fiction, Adventure, Literature, Historical Fiction, Novels, 18th Century"
On the Road,Jack Kerouac,"September 5, 1957",3.61,451744,307,23451,"Classics, Fiction, Travel, Literature, Novels, American, Adventure"
For Whom the Bell Tolls,Ernest Hemingway,"October 1, 1940",3.99,320901,471,11155,"Classics, Fiction, Historical Fiction, Literature, War, Novels, American"
A Little Princess,Frances Hodgson Burnett,"January 1, 1905",4.23,331944,242,11752,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical"
Mary Poppins,P.L. Travers,"January 1, 1934",4.00,141544,209,7648,"Classics, Fantasy, Childrens, Fiction, Audiobook, Middle Grade, Young Adult"
Julius Caesar,William Shakespeare,"January 1, 1599",3.71,221311,175,8332,"Classics, Plays, Shakespeare, Fiction, Drama, School, Historical Fiction"
Things Fall Apart,Chinua Achebe,"January 1, 1958",3.75,416746,215,23763,"Fiction, Classics, Historical Fiction, Africa, School, Literature, Nigeria"
Tender Is the Night,F. Scott Fitzgerald,"April 12, 1934",3.77,150791,430,8411,"Classics, Fiction, Literature, Romance, American, Novels, Book Club"
The Lord of the Rings,J.R.R. Tolkien,"January 1, 1959",4.54,736017,1216,16740,"Fantasy, Classics, Fiction, Adventure, Science Fiction Fantasy, High Fantasy, Epic Fantasy"
The Tempest,William Shakespeare,"January 1, 1611",3.78,229402,218,8523,"Classics, Plays, Shakespeare, Fiction, Drama, Fantasy, School"
Treasure Island,Robert Louis Stevenson,"January 28, 1882",3.85,545244,352,19850,"Classics, Fiction, Adventure, Historical Fiction, Young Adult, Childrens, Pirates"
Around the World in Eighty Days,Jules Verne,"January 1, 1872",3.95,285467,252,13664,"Classics, Fiction, Adventure, Science Fiction, France, Travel, Audiobook"
Twelfth Night,William Shakespeare,"January 1, 1623",3.96,195939,222,7399,"Classics, Plays, Shakespeare, Drama, Fiction, School, Romance"
The Alchemist,Paulo Coelho,"January 1, 1988",3.92,3623939,182,150042,"Fiction, Classics, Fantasy, Philosophy, Self Help, Book Club, Novels"
The Heart Is a Lonely Hunter,Carson McCullers,"June 4, 1940",3.99,120480,359,9663,"Fiction, Classics, Book Club, Literature, Historical Fiction, Novels, Southern Gothic"
The Fountainhead,Ayn Rand,"April 15, 1943",3.89,338633,704,15596,"Fiction, Classics, Philosophy, Literature, Novels, Politics, Architecture"
The Unbearable Lightness of Being,Milan Kundera,"January 1, 1984",4.10,550973,314,33981,"Fiction, Classics, Philosophy, Literature, Novels, Romance, Czech Literature"
Rebecca,Daphne du Maurier,"August 1, 1938",4.25,733395,449,51907,"Classics, Fiction, Mystery, Gothic, Romance, Book Club, Thriller"
The Remains of the Day,Kazuo Ishiguro,"May 1, 1989",4.14,366917,258,31760,"Fiction, Historical Fiction, Classics, Literary Fiction, Historical, Book Club, Literature"
Heart of Darkness,Joseph Conrad,"January 1, 1899",3.43,563496,188,25130,"Classics, Fiction, Literature, Historical Fiction, Africa, School, Novels"
Don Quixote,Miguel de Cervantes Saavedra,"January 1, 1615",3.91,308305,1023,15121,"Classics, Fiction, Literature, Spanish Literature, Historical Fiction, Adventure, Novels"
Beowulf,Unknown,"January 1, 1000",3.50,349550,259,13719,"Classics, Poetry, Fiction, Fantasy, Mythology, School, Literature"
Siddhartha,Hermann Hesse,"October 1, 1922",4.08,887723,152,35201,"Classics, Fiction, Philosophy, Spirituality, Religion, Literature, Buddhism"
The War of the Worlds,H.G. Wells,"January 1, 1898",3.83,352981,192,15773,"Classics, Science Fiction, Fiction, Fantasy, Audiobook, Horror, Science Fiction Fantasy"
Far From the Madding Crowd,Thomas Hardy,"January 1, 1874",3.97,167627,433,9911,"Classics, Fiction, Romance, Historical Fiction, Literature, 19th Century, Victorian"
Dune,Frank Herbert,"June 1, 1965",4.29,1648457,658,84181,"Science Fiction, Fiction, Fantasy, Classics, Audiobook, Science Fiction Fantasy, Space Opera"
Bleak House,Charles Dickens,"January 1, 1853",4.02,115019,1017,6320,"Classics, Fiction, Literature, 19th Century, Historical Fiction, Victorian, Novels"
The Brothers Karamazov,Fyodor Dostoevsky,"January 1, 1880",4.39,394471,796,25719,"Classics, Fiction, Russia, Philosophy, Russian Literature, Literature, Novels"
The Phantom of the Opera,Gaston Leroux,"January 1, 1910",3.96,281061,360,15627,"Classics, Fiction, Horror, Gothic, Romance, Mystery, Historical Fiction"
Inferno,Dante Alighieri,"January 1, 1321",4.03,208318,490,10221,"Classics, Poetry, Fiction, Literature, Religion, Fantasy, School"
The Merchant of Venice,William Shakespeare,"January 1, 1596",3.77,204272,249,6944,"Classics, Plays, Shakespeare, Fiction, Drama, School, Literature"
The Scarlet Pimpernel,Emmuska Orczy,"January 1, 1905",4.07,142456,182,8768,"Classics, Historical Fiction, Fiction, Romance, Adventure, Historical, Mystery"
The Jungle,Upton Sinclair,"January 1, 1906",3.78,155641,335,8379,"Classics, Fiction, Historical Fiction, Literature, Politics, School, Banned Books"
Invisible Man,Ralph Ellison,"April 14, 1952",3.92,203503,581,9845,"Classics, Fiction, Literature, Historical Fiction, Race, African American, Novels"
The Two Towers,J.R.R. Tolkien,"November 11, 1954",4.50,1142077,447,27342,"Fantasy, Fiction, Classics, Adventure, Audiobook, High Fantasy, Epic Fantasy"
Paradise Lost,John Milton,"January 1, 1667",3.86,184192,453,7479,"Classics, Poetry, Fiction, Literature, Religion, Philosophy, Fantasy"
The Book Thief,Markus Zusak,"September 1, 2005",4.39,2909037,592,162296,"Historical Fiction, Fiction, Young Adult, Classics, Historical, Book Club, War"
The Giver,Lois Lowry,"April 26, 1993",4.12,2835772,208,89385,"Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School"
The Age of Innocence,Edith Wharton,"October 25, 1920",3.97,198323,293,13450,"Classics, Fiction, Historical Fiction, Romance, Literature, Book Club, American"
A Tree Grows in Brooklyn,Betty  Smith,"August 18, 1943",4.30,518007,496,33392,"Classics, Fiction, Historical Fiction, Book Club, Young Adult, Coming Of Age, Historical"
Uncle Tom’s Cabin,Harriet Beecher Stowe,"March 20, 1852",3.92,244043,438,11005,"Classics, Fiction, Historical Fiction, Literature, Historical, Novels, American"
The Horse and His Boy,C.S. Lewis,"September 6, 1954",3.91,396240,224,15649,"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Adventure"
The Sound and the Fury,William Faulkner,"January 1, 1929",3.86,197544,366,11335,"Classics, Fiction, Literature, Novels, American, Southern Gothic, Literary Fiction"
Death of a Salesman,Arthur Miller,"January 1, 1949",3.59,261279,144,9971,"Classics, Plays, Fiction, Drama, School, Theatre, Literature"
Orlando,Virginia Woolf,"October 11, 1928",3.87,117366,336,11973,"Classics, Fiction, Queer, Historical Fiction, LGBT, Fantasy, Feminism"
Breakfast at Tiffany’s and Three Stories,Truman Capote,"October 28, 1958",3.85,253179,142,14505,"Classics, Fiction, Short Stories, Romance, Book Club, Literature, American"
The Haunting of Hill House,Shirley Jackson,"October 16, 1959",3.81,402535,182,40618,"Horror, Classics, Fiction, Gothic, Mystery, Paranormal, Audiobook"
Waiting for Godot,Samuel Beckett,"January 1, 1951",3.84,224331,109,11245,"Plays, Classics, Fiction, Drama, Theatre, Literature, Philosophy"
The Red Badge of Courage,Stephen Crane,"January 1, 1894",3.30,110648,149,4989,"Classics, Fiction, Historical Fiction, War, Civil War, Literature, Historical"
Shakespeare's Sonnets,William Shakespeare,"January 1, 1609",4.25,113118,488,2279,"Poetry, Classics, Shakespeare, Fiction, Literature, Romance, Plays"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"February 1, 1962",4.20,784818,325,19629,"Classics, Fiction, Psychology, Literature, Novels, Mental Health, School"
The Return of the King,J.R.R. Tolkien,"October 20, 1955",4.58,1055532,385,26109,"Fantasy, Fiction, Classics, Adventure, High Fantasy, Audiobook, Epic Fantasy"
"Walden or, Life in the Woods",Henry David Thoreau,"August 9, 1854",3.77,205496,352,9328,"Classics, Philosophy, Nonfiction, Nature, Memoir, Literature, Biography"
Heidi,Johanna Spyri,"January 1, 1880",4.04,212365,352,7425,"Classics, Fiction, Childrens, Young Adult, Historical Fiction, Middle Grade, Historical"
White Fang,Jack London,"May 1, 1906",4.03,208797,252,7469,"Classics, Fiction, Adventure, Animals, Young Adult, Historical Fiction, Literature"
The Call of the Wild,Jack London,"January 1, 1903",3.92,477348,172,18532,"Classics, Fiction, Adventure, Young Adult, Animals, Historical Fiction, Literature"
Where the Red Fern Grows,Wilson Rawls,"January 1, 1961",4.13,443764,272,16012,"Classics, Fiction, Young Adult, Childrens, Historical Fiction, Middle Grade, School"
Cat’s Cradle,Kurt Vonnegut Jr.,"January 1, 1963",4.15,440556,306,19449,"Fiction, Classics, Science Fiction, Humor, Literature, Novels, Dystopia"
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,"January 1, 1843",4.19,244939,448,1864,"Classics, Horror, Fiction, Short Stories, Poetry, Gothic, Mystery"
Franny and Zooey,J.D. Salinger,"January 1, 1957",3.96,241751,201,13714,"Classics, Fiction, Short Stories, Literature, American, Novels, Literary Fiction"
The Plague,Albert Camus,"June 10, 1947",4.02,319950,308,20471,"Classics, Fiction, Philosophy, France, Literature, French Literature, Novels"
The Glass Menagerie,Tennessee Williams,"January 1, 1945",3.74,144029,104,4504,"Plays, Classics, Fiction, Drama, Theatre, School, Literature"
The Screwtape Letters,C.S. Lewis,"February 1, 1942",4.27,530937,222,21031,"Fiction, Christian, Classics, Religion, Christianity, Theology, Fantasy"
The Outsiders,S.E. Hinton,"April 24, 1967",4.15,1628764,208,59284,"Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Historical Fiction"
The Art of War,Sun Tzu,"January 1, 2005",3.94,579213,170,24090,"Classics, Nonfiction, Philosophy, History, War, Politics, Business"
Ulysses,James Joyce,"February 2, 1922",3.76,139010,783,11289,"Classics, Fiction, Literature, Ireland, Novels, Irish Literature, 20th Century"
The Odyssey,Homer,"January 1, 801",3.84,1208257,541,27039,"Classics, Fiction, Poetry, Mythology, Fantasy, School, Literature"
Fight Club,Chuck Palahniuk,"August 17, 1996",4.18,649123,224,27205,"Fiction, Classics, Thriller, Contemporary, Novels, Mystery, Literature"
Green Eggs and Ham,Dr. Seuss,"August 12, 1960",4.32,852448,64,12551,"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor"
The Shining,Stephen  King,"January 28, 1977",4.28,1725991,497,51722,"Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery"
The Things They Carried,Tim O'Brien,"March 28, 1990",4.15,348379,246,21764,"Fiction, Historical Fiction, Classics, War, Short Stories, School, Historical"
2001: A Space Odyssey,Arthur C. Clarke,"April 28, 1968",4.18,338459,297,10256,"Science Fiction, Fiction, Classics, Audiobook, Space, Science Fiction Fantasy, Fantasy"
