title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
In the Miso Soup,Ryū Murakami,"January 1, 1997",3.61,46900,217,6085,"Horror, Fiction, Japan, Japanese Literature, Thriller, Crime, Mystery"
King Rat,China Miéville,"January 1, 1998",3.56,10058,320,784,"Fantasy, Fiction, Urban Fantasy, Horror, Science Fiction, New Weird, Weird Fiction"
On the Road,Jack Kerouac,"September 5, 1957",3.61,452582,307,23542,"Classics, Fiction, Travel, Literature, Novels, American, Adventure"
Invisible,Paul Auster,"October 27, 2009",3.75,23504,308,1866,"Fiction, Contemporary, American, Novels, Literature, Literary Fiction, The United States Of America"
Anna Dressed in Blood,Kendare Blake,"October 17, 2011",3.91,107787,316,10895,"Horror, Young Adult, Paranormal, Fantasy, Ghosts, Romance, Supernatural"
The 120 Days of Sodom,Marquis de Sade,"January 1, 1785",3.06,15166,376,1805,"Classics, Fiction, Horror, Erotica, France, Philosophy, French Literature"
A Canticle for Leibowitz,Walter M. Miller Jr.,"October 1, 1959",3.99,121018,334,7739,"Science Fiction, Fiction, Post Apocalyptic, Classics, Dystopia, Fantasy, Religion"
Frisk,Dennis Cooper,"January 1, 1991",3.66,4237,240,565,"Fiction, Horror, Queer, LGBT, Gay, Dark, Novels"
Night's Master,Tanith Lee,"November 7, 1978",4.06,3873,208,589,"Fantasy, Fiction, Horror, Short Stories, High Fantasy, Dark Fantasy, Science Fiction"
The Fury of the Fae,Bernie Morris,"March 27, 2014",4.31,35,191,0,
Women,Charles Bukowski,"January 1, 1978",3.80,87249,291,4746,"Fiction, Classics, Novels, Literature, Poetry, American, Contemporary"
The Case of Charles Dexter Ward,H.P. Lovecraft,"May 1, 1941",4.11,23551,128,1395,"Horror, Fiction, Classics, Fantasy, Lovecraftian, Mystery, Science Fiction"
Johnny Got His Gun,Dalton Trumbo,"September 3, 1939",4.21,49453,309,3987,"Fiction, Classics, War, Historical Fiction, Horror, Literature, Novels"
The Book of Illusions,Paul Auster,"September 4, 2002",3.90,26977,288,1811,"Fiction, Mystery, Contemporary, American, Novels, Literary Fiction, The United States Of America"
The Rules of Attraction,Bret Easton Ellis,"September 1, 1987",3.72,52247,283,2762,"Fiction, Contemporary, Dark Academia, Novels, LGBT, Literary Fiction, American"
Sharp Objects,Gillian Flynn,"September 26, 2006",4.00,1244614,254,82441,"Thriller, Mystery, Fiction, Mystery Thriller, Crime, Audiobook, Suspense"
Out,Natsuo Kirino,"July 15, 1997",3.94,49431,400,6056,"Fiction, Thriller, Japan, Mystery, Horror, Japanese Literature, Crime"
Pale Fire,Vladimir Nabokov,"January 1, 1962",4.17,58467,246,5203,"Fiction, Classics, Poetry, Literature, Russia, Novels, Russian Literature"
Glue,Irvine Welsh,"January 1, 2001",3.91,15320,556,421,"Fiction, Contemporary, Scotland, Novels, Drugs, British Literature, Thriller"
The Informers,Bret Easton Ellis,"July 26, 1994",3.40,20097,240,887,"Fiction, Short Stories, Bret Easton Ellis, Contemporary, American, Thriller, Literature"
The Moonstone,Wilkie Collins,"January 1, 1868",3.91,99734,528,6825,"Classics, Mystery, Fiction, Crime, Victorian, Historical Fiction, 19th Century"
Anno Dracula,Kim Newman,"January 1, 1992",3.76,15074,381,1506,"Horror, Fantasy, Vampires, Fiction, Historical Fiction, Alternate History, Steampunk"
The Maze Runner,James Dashner,"October 6, 2009",4.06,1708140,384,72086,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Adventure, Audiobook"
I Am Not a Serial Killer,Dan Wells,"March 30, 2009",3.79,42370,274,5480,"Horror, Young Adult, Thriller, Fiction, Mystery, Fantasy, Crime"
The Goldfinch,Donna Tartt,"September 23, 2013",3.97,1055257,771,90618,"Fiction, Book Club, Contemporary, Literary Fiction, Audiobook, Dark Academia, Mystery"
Black Hole,Charles Burns,"January 12, 2005",3.85,53308,368,3220,"Graphic Novels, Comics, Horror, Fiction, Graphic Novels Comics, Science Fiction, Comix"
