title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
The Trial and Death of Socrates,Plato,"January 1, 401",4.13,46507,58,1749,"Philosophy, Classics, Nonfiction, History, School, Politics, Biography"
The Leopard,Giuseppe Tomasi di Lampedusa,"November 11, 1958",4.01,48220,319,4207,"Fiction, Classics, Historical Fiction, Italy, Italian Literature, Literature, Novels"
Tom's Midnight Garden,Philippa Pearce,"December 31, 1958",4.05,27993,227,1453,"Fantasy, Childrens, Classics, Fiction, Time Travel, Middle Grade, Young Adult"
Space Trilogy: Out of the Silent Planet / Perelandra / That Hideous Strength,C.S. Lewis,"January 1, 1938",4.19,12263,764,640,"Fiction, Science Fiction, Fantasy, Classics, Christian, Christian Fiction, Science Fiction Fantasy"
Kim,Rudyard Kipling,"October 1, 1901",3.70,40295,366,2579,"Classics, Fiction, India, Historical Fiction, Adventure, Literature, Novels"
The Sisterhood of the Traveling Pants,Ann Brashares,"September 11, 2001",3.85,736311,290,9362,"Young Adult, Fiction, Chick Lit, Contemporary, Romance, Teen, Realistic Fiction"
Hard Times,Charles Dickens,"January 1, 1854",3.55,75197,384,5040,"Classics, Fiction, Literature, 19th Century, Historical Fiction, Victorian, Novels"
A Canticle for Leibowitz,Walter M. Miller Jr.,"October 1, 1959",3.99,120747,334,7708,"Science Fiction, Fiction, Post Apocalyptic, Classics, Dystopia, Fantasy, Religion"
My Summer in St. Ives,Don Barr,"January 30, 2018",4.46,432,312,17,"Fiction, Novels, Contemporary, Adventure, Adult, Fantasy, Drama"
Cheaper by the Dozen,Frank B. Gilbreth Jr.,"January 1, 1948",4.00,44954,224,2498,"Classics, Nonfiction, Biography, Memoir, Humor, Childrens, Biography Memoir"
The Spy Who Came In from the Cold,John le Carré,"September 1, 1963",4.09,129358,212,8337,"Fiction, Thriller, Mystery, Espionage, Classics, Mystery Thriller, Historical Fiction"
The Master of Ballantrae,Robert Louis Stevenson,"January 1, 1889",3.70,6550,388,433,"Classics, Fiction, Historical Fiction, Adventure, Literature, Scotland, Historical"
And the Ass Saw the Angel,Nick Cave,"January 1, 1989",3.84,11348,320,755,"Fiction, Horror, Gothic, Southern Gothic, Novels, Music, Literature"
George Bernard Shaw's Plays,George Bernard Shaw,"December 1, 1970",4.01,146,551,11,"Plays, Drama, Classics, Theatre, Literature"
Swallows and Amazons,Arthur Ransome,"January 1, 1930",4.02,32902,315,1567,"Classics, Fiction, Childrens, Adventure, Young Adult, Middle Grade, Historical Fiction"
It,Stephen  King,"September 15, 1986",4.24,1286031,1184,44593,"Horror, Fiction, Thriller, Fantasy, Audiobook, Classics, Mystery"
The Soft Machine,William S. Burroughs,"January 1, 1961",3.43,7102,184,492,"Fiction, Science Fiction, Literature, Classics, Novels, American, Queer"
The Valley of Fear,Arthur Conan Doyle,"January 1, 1914",3.96,56344,218,3624,"Classics, Mystery, Fiction, Crime, Audiobook, Detective, Mystery Thriller"
The Year of the Death of Ricardo Reis,José Saramago,"January 1, 1984",3.99,15209,358,1149,"Fiction, Portugal, Portuguese Literature, Classics, Historical Fiction, Nobel Prize, Literature"
Something Wicked This Way Comes,Ray Bradbury,"September 17, 1962",3.89,155622,293,13369,"Horror, Fantasy, Fiction, Classics, Science Fiction, Book Club, Halloween"
Howl’s Moving Castle,Diana Wynne Jones,"April 1, 1986",4.28,455129,329,40646,"Fantasy, Young Adult, Fiction, Romance, Middle Grade, Classics, Magic"
Poema de Mío Cid,Anonymous,"January 1, 1110",3.45,16023,153,930,"Poetry, Classics, Spanish Literature, Fiction, Medieval, Spain, Literature"
Graceling,Kristin Cashore,"October 1, 2008",4.06,481658,471,28668,"Fantasy, Young Adult, Romance, Fiction, Young Adult Fantasy, Adventure, Magic"
His Last Bow,Arthur Conan Doyle,"October 22, 1917",4.22,47634,242,1596,"Mystery, Classics, Fiction, Crime, Short Stories, Audiobook, Detective"
"Walden or, Life in the Woods",Henry David Thoreau,"August 9, 1854",3.77,205598,352,9347,"Classics, Philosophy, Nonfiction, Nature, Memoir, Literature, Biography"
Meditations,Marcus Aurelius,"January 1, 180",4.28,359293,254,20920,"Philosophy, Nonfiction, Classics, History, Self Help, Psychology, Personal Development"
Cinder,Marissa Meyer,"January 3, 2012",4.12,1019165,390,76881,"Fantasy, Young Adult, Science Fiction, Romance, Dystopia, Retellings, Fiction"
The Cask of Amontillado,Edgar Allan Poe,"November 1, 1846",4.07,89051,24,3119,"Classics, Short Stories, Horror, Fiction, Gothic, School, Mystery"
This Side of Paradise,F. Scott Fitzgerald,"March 26, 1920",3.63,80638,268,5694,"Classics, Fiction, Literature, Novels, American, Romance, Historical Fiction"
Kafka on the Shore,Haruki Murakami,"September 1, 2002",4.11,556433,467,47437,"Fiction, Magical Realism, Fantasy, Japan, Japanese Literature, Contemporary, Novels"
The Corrections,Jonathan Franzen,"September 1, 2001",3.85,199937,653,13097,"Fiction, Contemporary, Literary Fiction, Novels, Book Club, Literature, American"
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,"January 1, 1767",3.72,23059,735,1841,"Classics, Fiction, Literature, 18th Century, Humor, Novels, British Literature"
Lady Chatterley's Lover,D.H. Lawrence,"January 1, 1928",3.50,139344,400,9631,"Classics, Fiction, Romance, Literature, Banned Books, Historical Fiction, Novels"
Go Tell It on the Mountain,James Baldwin,"May 18, 1953",4.06,83876,256,7315,"Fiction, Classics, African American, Race, Religion, Literature, Novels"
Clockwork Angel,Cassandra Clare,"August 31, 2010",4.30,880713,479,47190,"Fantasy, Young Adult, Romance, Paranormal, Steampunk, Historical Fiction, Fiction"
"Tinker, Tailor, Soldier, Spy",John le Carré,"April 1, 1974",4.06,107106,379,6523,"Fiction, Mystery, Thriller, Espionage, Classics, Mystery Thriller, Crime"
"The Cairo Trilogy: Palace Walk, Palace of Desire, Sugar Street",Naguib Mahfouz,"January 1, 1957",4.47,5111,1313,440,"Fiction, Historical Fiction, Egypt, Classics, Africa, Middle East, Literature"
The Tin Drum,Günter Grass,"January 1, 1959",3.95,47002,580,2534,"Fiction, Classics, German Literature, Historical Fiction, Germany, Literature, Magical Realism"
Memoirs of Hadrian,Marguerite Yourcenar,"January 1, 1951",4.21,36708,347,3499,"Historical Fiction, Fiction, Classics, France, Historical, Philosophy, French Literature"
Appointment in Samarra,John O'Hara,"January 28, 1934",3.81,16427,251,1124,"Fiction, Classics, Novels, Literature, American, Literary Fiction, Book Club"
Dombey and Son,Charles Dickens,"January 1, 1848",3.96,16814,880,1143,"Classics, Fiction, Victorian, 19th Century, Literature, British Literature, Historical Fiction"
A Connecticut Yankee in King Arthur's Court,Mark Twain,"January 1, 1889",3.78,108593,316,4496,"Classics, Fiction, Fantasy, Historical Fiction, Humor, Time Travel, Literature"
"Brownout - 666: A journey through sex, love and violence in the ultimate search",John Richard Spencer,"March 29, 2012",4.38,500,501,24,"Fiction, Novels, Contemporary, Drama, Adult, Book Club, Action"
Mistress Suffragette,Diana   Forbes,"March 5, 2017",4.29,4558,320,104,"Historical Fiction, Fiction, New Adult, Historical, Romance, Adult, Young Adult"
A Hora da Estrela,Clarice Lispector,"October 26, 1977",4.11,58243,88,8453,"Fiction, Classics, Brazil, Literary Fiction, Literature, Novels, Novella"
The Lottery and Other Stories,Shirley Jackson,"January 1, 1949",4.01,85191,302,5257,"Short Stories, Horror, Fiction, Classics, Gothic, Audiobook, Literature"
House of Sand and Fog,Andre Dubus III,"January 1, 1999",3.86,136718,384,4977,"Fiction, Book Club, Contemporary, Literary Fiction, Novels, Adult Fiction, Literature"
Beautiful Creatures,Kami Garcia,"December 1, 2009",3.78,622752,563,23595,"Fantasy, Young Adult, Romance, Paranormal, Fiction, Magic, Supernatural"
Time's Arrow,Martin Amis,"September 26, 1991",3.76,18153,165,1669,"Fiction, Historical Fiction, Literary Fiction, Novels, Literature, Holocaust, Fantasy"
Seven Brothers,Aleksis Kivi,"January 1, 1870",3.36,4277,345,227,"Classics, Fiction, Finnish Literature, Historical Fiction, School, Historical, 19th Century"
The Complete Oz,L. Frank Baum,"January 1, 1920",4.24,7680,1314,278,"Fantasy, Classics, Fiction, Childrens, Young Adult, Adventure, Ebooks"
Anne's House of Dreams,L.M. Montgomery,"January 1, 1917",4.19,120744,227,5468,"Classics, Fiction, Young Adult, Historical Fiction, Romance, Childrens, Audiobook"
Rilla of Ingleside,L.M. Montgomery,"January 1, 1921",4.25,57196,277,3760,"Classics, Fiction, Young Adult, Historical Fiction, Romance, Childrens, Historical"
What We Talk About When We Talk About Love,Raymond Carver,"April 20, 1981",4.00,79254,159,7610,"Short Stories, Fiction, Classics, Literature, American, Literary Fiction, Contemporary"
Moll Flanders,Daniel Defoe,"January 1, 1722",3.52,48920,339,2437,"Classics, Fiction, Historical Fiction, Literature, 18th Century, British Literature, Novels"
Adjustment Day,Chuck Palahniuk,"May 1, 2018",3.20,10057,316,1231,"Fiction, Dystopia, Science Fiction, Contemporary, Audiobook, Satire, Horror"
The Gormenghast Novels,Mervyn Peake,"January 1, 1959",4.03,9954,1173,773,"Fantasy, Fiction, Classics, Gothic, Horror, Literature, Novels"
All the King's Men,Robert Penn Warren,"January 1, 1946",4.09,67001,439,3703,"Fiction, Classics, Historical Fiction, Politics, Literature, Novels, Book Club"
A Great and Terrible Beauty,Libba Bray,"December 9, 2003",3.80,225858,403,10798,"Fantasy, Young Adult, Historical Fiction, Fiction, Historical, Paranormal, Romance"
The Complete Sherlock Holmes,Arthur Conan Doyle,"January 1, 1887",4.51,217993,1796,5492,"Classics, Mystery, Fiction, Crime, Short Stories, Audiobook, Detective"
Glamorama,Bret Easton Ellis,"January 1, 1998",3.55,25793,546,1419,"Fiction, Contemporary, Horror, Thriller, Bret Easton Ellis, Novels, American"
Invisible,Paul Auster,"October 27, 2009",3.75,23469,308,1861,"Fiction, Contemporary, American, Novels, Literature, Literary Fiction, The United States Of America"
Sabriel,Garth Nix,"May 1, 1995",4.16,219401,491,11027,"Fantasy, Young Adult, Fiction, Magic, Audiobook, High Fantasy, Adventure"
The Firm,Robin Waterfield,"January 1, 1995",4.07,639220,76,4133,"Fiction, Thriller, Mystery, Crime, Suspense, Mystery Thriller, Legal Thriller"
Lyrical Ballads,William Wordsworth,"January 1, 1798",3.95,13230,118,401,"Poetry, Classics, Romanticism, 18th Century, Literature, Fiction, British Literature"
Hiroshima,John Hersey,"August 31, 1946",4.05,90716,152,5844,"History, Nonfiction, War, Japan, Classics, World War II, Historical"
The Mysterious Affair at Styles,Agatha Christie,"October 1, 1920",4.00,516418,121,21916,"Mystery, Agatha Christie, Fiction, Classics, Crime, Audiobook, Mystery Thriller"
Complete Works,Arthur Rimbaud,"January 1, 1870",4.40,9503,384,320,"Poetry, Classics, France, Fiction, Literature, French Literature, 19th Century"
The Borrowers,Mary Norton,"January 1, 1952",4.03,101572,180,2834,"Fantasy, Childrens, Classics, Fiction, Middle Grade, Young Adult, Adventure"
The Book of Illusions,Paul Auster,"September 4, 2002",3.90,26941,288,1806,"Fiction, Mystery, Contemporary, American, Novels, Literary Fiction, The United States Of America"
The Plot Against America,Philip Roth,"October 5, 2004",3.82,70023,391,6233,"Fiction, Historical Fiction, Alternate History, Literature, Politics, Novels, Science Fiction"
A Fine Balance,Rohinton Mistry,"January 1, 1995",4.38,161222,603,12601,"Fiction, Historical Fiction, India, Book Club, Indian Literature, Literary Fiction, Historical"
Among the Hidden,Margaret Peterson Haddix,"September 1, 1998",3.99,131966,153,7529,"Young Adult, Dystopia, Science Fiction, Fiction, Middle Grade, Childrens, Fantasy"
Don Juan,Lord Byron,"January 1, 1819",3.78,8985,759,414,"Poetry, Classics, Fiction, 19th Century, Literature, Romanticism, British Literature"
Do Androids Dream of Electric Sheep?,Philip K. Dick,"March 1, 1968",4.09,519568,258,25639,"Science Fiction, Fiction, Classics, Dystopia, Cyberpunk, Science Fiction Fantasy, Fantasy"
Holes,Louis Sachar,"August 20, 1998",4.01,1373591,272,30857,"Young Adult, Fiction, Middle Grade, Childrens, Classics, School, Mystery"
Red Dragon,Thomas  Harris,"October 1, 1981",4.07,376670,454,9981,"Horror, Fiction, Thriller, Crime, Mystery, Mystery Thriller, Suspense"
The Body in the Library,Agatha Christie,"February 1, 1942",3.81,130692,191,9280,"Mystery, Agatha Christie, Fiction, Classics, Crime, Mystery Thriller, Audiobook"
The Man in the Iron Mask,Alexandre Dumas,"January 1, 1847",4.00,66420,470,1036,"Classics, Fiction, Historical Fiction, Adventure, France, Historical, Literature"
Kabale und Liebe,Friedrich Schiller,"January 1, 1784",3.06,13398,143,539,"Classics, Plays, School, German Literature, Drama, Fiction, Read For School"
"Poetry, Drama and Prose",W.B. Yeats,"March 19, 2000",4.27,2907,518,30,"Poetry, Classics, Plays, Drama, Fiction, Irish Literature, Literature"
The Insulted and Humiliated,Fyodor Dostoevsky,"January 1, 1861",4.25,25095,460,2206,"Classics, Fiction, Russian Literature, Russia, Novels, Literature, 19th Century"
The Purloined Letter,Edgar Allan Poe,"December 1, 1844",3.61,14241,48,829,"Classics, Short Stories, Mystery, Fiction, Horror, Crime, Detective"
The Tartar Steppe,Dino Buzzati,"January 1, 1940",4.21,43442,198,4426,"Fiction, Classics, Italian Literature, Italy, Literature, Novels, Magical Realism"
The Most Dangerous Game,Richard Connell,"January 19, 1924",3.95,62087,48,3130,"Classics, Short Stories, Fiction, Horror, School, Thriller, Adventure"
Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,"January 1, 1919",4.14,138106,193,10798,"Classics, Fiction, Philosophy, German Literature, Literature, Novels, Germany"
The Great Book of Amber,Roger Zelazny,"December 1, 1999",4.31,27134,1258,1066,"Fantasy, Fiction, Science Fiction, Science Fiction Fantasy, Epic Fantasy, High Fantasy, Classics"
The Communist Manifesto,Karl Marx,"February 21, 1848",3.69,201867,288,13821,"Philosophy, Nonfiction, Politics, Classics, History, Economics, Sociology"
The Four Feathers,A.E.W. Mason,"January 1, 1902",3.92,5277,284,372,"Classics, Fiction, Historical Fiction, Adventure, War, Romance, Africa"
In Search of Lost Time,Marcel Proust,"January 1, 1913",4.34,14234,4211,1062,"Classics, Fiction, France, Literature, Philosophy, French Literature, Novels"
Death with Interruptions,José Saramago,"January 1, 2005",4.01,76248,238,8084,"Fiction, Fantasy, Magical Realism, Portugal, Novels, Literature, Portuguese Literature"
Unwifeable: A Memoir,Mandy Stadtmiller,"April 3, 2018",3.57,3300,321,278,"Memoir, Nonfiction, Mental Health, Biography Memoir, Humor, Womens, Addiction"
The Bridge of San Luis Rey,Thornton Wilder,"November 1, 1927",3.79,38902,160,3257,"Fiction, Classics, Historical Fiction, Literature, Book Club, Novels, American"
The Haunting of Hill House,Shirley Jackson,"October 16, 1959",3.81,403078,182,40677,"Horror, Classics, Fiction, Gothic, Mystery, Paranormal, Audiobook"
The Cat in the Hat,Dr. Seuss,"March 12, 1957",4.20,590933,61,7791,"Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor"
The Fever,Megan Abbott,"June 17, 2014",3.10,26856,307,3334,"Fiction, Mystery, Young Adult, Thriller, Horror, Contemporary, Mystery Thriller"
Cat’s Eye,Margaret Atwood,"October 1, 1988",3.95,73374,462,4935,"Fiction, Contemporary, Literary Fiction, Canada, Classics, Feminism, Novels"
The Castle,Franz Kafka,"January 1, 1926",3.91,76995,328,5179,"Classics, Fiction, Literature, Philosophy, German Literature, Novels, Czech Literature"
The Painted Bird,Jerzy Kosiński,"January 1, 1965",3.90,28621,234,2377,"Fiction, Historical Fiction, Classics, Horror, War, Literature, Holocaust"
Dead Souls,Nikolai Gogol,"January 1, 1842",3.98,97680,464,5285,"Classics, Fiction, Russia, Russian Literature, Literature, Novels, 19th Century"
We the Living,Ayn Rand,"January 1, 1936",3.96,30926,464,1745,"Fiction, Classics, Philosophy, Historical Fiction, Literature, Politics, Russia"
My Sister's Keeper,Jodi Picoult,"April 6, 2004",4.11,1281345,423,40599,"Fiction, Contemporary, Book Club, Chick Lit, Young Adult, Drama, Adult"
Who's Afraid of Virginia Woolf?,Edward Albee,"January 1, 1962",4.06,74045,272,3052,"Plays, Classics, Drama, Fiction, Theatre, American, School"
Bhagavad Gita,Krishna-Dwaipayana Vyasa,"January 1, 401",4.19,82534,221,3826,"Philosophy, Religion, Classics, Spirituality, Poetry, Nonfiction, Hinduism"
The God of Small Things,Arundhati Roy,"April 1, 1997",3.96,330023,321,23258,"Fiction, India, Historical Fiction, Classics, Literary Fiction, Book Club, Contemporary"
Under the Dome,Stephen  King,"November 10, 2009",3.93,326424,1074,18955,"Horror, Fiction, Science Fiction, Thriller, Fantasy, Mystery, Audiobook"
"The Sea, the Sea",Iris Murdoch,"January 1, 1978",3.96,25979,528,2777,"Fiction, Classics, Literary Fiction, Novels, Literature, British Literature, Philosophy"
Uncle Silas,J. Sheridan Le Fanu,"December 1, 1864",3.74,7232,477,683,"Classics, Gothic, Horror, Fiction, Mystery, 19th Century, Victorian"
The Quiet American,Graham Greene,"December 1, 1955",3.98,72689,180,5215,"Fiction, Classics, Historical Fiction, War, Literature, Novels, Asia"
The Legend of Sleepy Hollow,Washington Irving,"January 1, 1820",3.77,156084,108,8945,"Classics, Horror, Fiction, Short Stories, Fantasy, Gothic, Audiobook"
Freckles,Gene Stratton-Porter,"January 1, 1904",4.13,12484,368,972,"Classics, Fiction, Historical Fiction, Young Adult, Romance, Childrens, Historical"
QB VII,Leon Uris,"January 1, 1970",4.20,30497,432,543,"Historical Fiction, Fiction, Holocaust, Historical, War, Mystery, World War II"
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,"April 1, 1970",4.26,103465,509,6333,"History, Nonfiction, Native American, American History, Classics, Historical, Indigenous"
Hatchet,Gary Paulsen,"January 1, 1987",3.80,455777,208,20931,"Fiction, Young Adult, Classics, Adventure, Middle Grade, Survival, Childrens"
Journey to the End of the Night,Louis-Ferdinand Céline,"January 1, 1932",4.18,48506,453,3668,"Fiction, Classics, France, Literature, French Literature, Novels, Philosophy"
The Songs and Sonets of John Donne,John Donne,"January 1, 1633",4.14,370,400,18,"Poetry, Classics, Renaissance, 17th Century, Fiction, British Literature"
