title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
Her Smoke Rose Up Forever,James Tiptree Jr.,"June 1, 1990",4.18,4803,520,576,"Science Fiction, Short Stories, Fiction, Feminism, Speculative Fiction, Fantasy, Science Fiction Fantasy"
The Bridge,Iain Banks,"January 1, 1986",3.87,12831,288,461,"Fiction, Fantasy, Science Fiction, Contemporary, Scotland, Novels, Literature"
Raven's Gate,Anthony Horowitz,"June 1, 2005",3.90,28997,270,1769,"Fantasy, Young Adult, Horror, Fiction, Adventure, Paranormal, Mystery"
The End of the Affair,Graham Greene,"January 1, 1951",3.90,71650,160,6855,"Fiction, Classics, Romance, Audiobook, Literature, British Literature, Novels"
Shadow's Edge,Brent Weeks,"November 1, 2008",4.25,109832,636,2580,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Magic, Audiobook, Adventure"
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,"January 1, 1798",3.97,63193,77,1918,"Poetry, Classics, Fiction, Fantasy, School, Literature, Gothic"
That Which Should Not Be,Brett J. Talley,"January 1, 2011",3.95,1449,260,264,"Horror, Fantasy, Lovecraftian, Fiction, Paranormal, Weird Fiction, Cthulhu Mythos"
Living Dead Girl,Elizabeth Scott,"September 2, 2008",3.77,34240,170,4885,"Young Adult, Horror, Contemporary, Fiction, Realistic Fiction, Abuse, Teen"
The Raven,Edgar Allan Poe,"January 1, 1845",4.29,172456,64,5027,"Classics, Poetry, Horror, Fiction, Gothic, Short Stories, School"
The Rats in the Walls,H.P. Lovecraft,"March 1, 1924",3.96,12402,42,830,"Horror, Short Stories, Fiction, Classics, Lovecraftian, Fantasy, Gothic"
King Rat,James Clavell,"January 1, 1962",4.20,44921,368,1416,"Historical Fiction, Fiction, War, Classics, Historical, Asia, Japan"
Child of God,Cormac McCarthy,"January 1, 1973",3.81,56592,197,5531,"Fiction, Horror, Southern Gothic, Literature, Novels, Literary Fiction, Gothic"
All the Truth That's in Me,Julie Berry,"August 31, 2013",3.91,15518,274,2882,"Young Adult, Historical Fiction, Mystery, Romance, Historical, Fiction, Thriller"
Beyond the Shadows,Brent Weeks,"December 1, 2008",4.27,104412,689,2686,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Magic, Adventure, Audiobook"
The Death Cure,James Dashner,"October 11, 2011",3.78,506534,325,29803,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Adventure, Post Apocalyptic"
One Thousand and One Ghosts,Alexandre Dumas,"January 1, 1846",3.89,1169,156,141,"Classics, Horror, Gothic, Short Stories, Fiction, France, French Literature"
Gravity’s Rainbow,Thomas Pynchon,"February 28, 1973",4.02,49007,776,5143,"Fiction, Classics, Literature, Science Fiction, Historical Fiction, Novels, American"
The Severed Streets,Paul Cornell,"May 20, 2014",4.01,3534,401,354,"Fantasy, Urban Fantasy, Mystery, Fiction, Crime, Horror, Audiobook"
Cold Cold Heart,Tami Hoag,"January 1, 2014",3.92,18708,389,1647,"Mystery, Thriller, Fiction, Suspense, Crime, Mystery Thriller, Audiobook"
Dark Matter,Michelle Paver,"October 21, 2010",3.95,25321,246,3453,"Horror, Fiction, Historical Fiction, Historical, Mystery, Paranormal, Ghosts"
Le Horla et autres contes fantastiques,Guy de Maupassant,"January 1, 1886",3.87,23976,120,1542,"Classics, Horror, France, Short Stories, Fiction, French Literature, Fantasy"
London Falling,Paul Cornell,"December 6, 2012",3.78,8039,402,940,"Fantasy, Urban Fantasy, Mystery, Horror, Fiction, Crime, Paranormal"
Dagon,H.P. Lovecraft,"July 1, 1917",3.69,13389,15,1000,"Horror, Short Stories, Fiction, Lovecraftian, Classics, Fantasy, Audiobook"
Death with Interruptions,José Saramago,"January 1, 2005",4.01,76552,238,8112,"Fiction, Fantasy, Magical Realism, Portugal, Novels, Literature, Portuguese Literature"
The Scorch Trials,James Dashner,"October 12, 2010",3.90,656319,362,33639,"Young Adult, Dystopia, Science Fiction, Fiction, Fantasy, Adventure, Post Apocalyptic"
La mare au diable,George Sand,"January 1, 1846",3.40,5277,221,378,"Classics, Fiction, France, French Literature, 19th Century, Romance, Roman"
John Dollar,Marianne Wiggins,"January 1, 1989",3.57,686,224,135,"Fiction, Horror, Historical Fiction, Historical, Horror Thriller, Literature, Novels"
Vampire Blood Trilogy,Darren Shan,"January 1, 2003",4.18,5643,511,340,"Fantasy, Young Adult, Vampires, Horror, Paranormal, Fiction, Urban Fantasy"
The Gone World,Tom Sweterlitsch,"February 6, 2018",3.91,30134,400,3618,"Science Fiction, Horror, Fiction, Time Travel, Mystery, Thriller, Audiobook"
Greenwitch,Susan Cooper,"January 1, 1974",4.00,32344,147,1199,"Fantasy, Young Adult, Fiction, Childrens, Middle Grade, Arthurian, Audiobook"
A Season in Hell & Illuminations,Arthur Rimbaud,"January 1, 1873",4.26,3709,240,236,"Poetry, Classics, France, Fiction, French Literature, 19th Century, Literature"
Feed,Mira Grant,"April 10, 2010",3.85,61773,599,7208,"Horror, Zombies, Science Fiction, Fiction, Dystopia, Post Apocalyptic, Young Adult"
The Death of the Detective,Mark  Smith,"January 1, 1974",3.41,161,636,42,"Mystery, Fiction, Crime, Ebooks"
Bruiser,Neal Shusterman,"June 29, 2010",4.03,17711,328,2481,"Young Adult, Fantasy, Paranormal, Fiction, Romance, Contemporary, Realistic Fiction"
Herbert West—Reanimator,H.P. Lovecraft,"June 1, 1922",3.82,8190,35,793,"Horror, Short Stories, Fiction, Classics, Lovecraftian, Science Fiction, Audiobook"
The Dream Cycle of H.P. Lovecraft: Dreams of Terror and Death,H.P. Lovecraft,"January 1, 1934",4.23,7182,387,222,"Horror, Fiction, Fantasy, Short Stories, Classics, Lovecraftian, Anthologies"
Labyrinths: Selected Stories & Other Writings,Jorge Luis Borges,"January 1, 1962",4.44,34068,260,2119,"Fiction, Short Stories, Classics, Magical Realism, Literature, Fantasy, Philosophy"
Daughters of Eve,Lois Duncan,"January 1, 1979",3.62,4261,256,367,"Young Adult, Horror, Fiction, Mystery, Thriller, Banned Books, Suspense"
The Hammer of Thor,Rick Riordan,"October 4, 2016",4.29,131823,459,8754,"Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, LGBT"
The Outsider,H.P. Lovecraft,"January 1, 1926",3.94,6740,66,604,"Horror, Short Stories, Classics, Fiction, Lovecraftian, Fantasy, Gothic"
When Gravity Fails,George Alec Effinger,"December 1, 1986",3.90,8262,288,631,"Science Fiction, Cyberpunk, Fiction, Mystery, Crime, Noir, Speculative Fiction"
The Sword of Summer,Rick Riordan,"October 6, 2015",4.23,243326,491,16811,"Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, Urban Fantasy"
The Bride of Lammermoor,Walter  Scott,"December 16, 1819",3.67,2235,346,228,"Classics, Fiction, Historical Fiction, Gothic, Scotland, 19th Century, Romance"
The Dykemaster,Theodor Storm,"April 1, 1888",3.38,9983,156,448,"Classics, German Literature, Fiction, School, Germany, 19th Century, Literature"
The Black Dahlia,James Ellroy,"September 1, 1987",3.79,98926,348,3622,"Mystery, Fiction, Crime, Noir, Historical Fiction, Thriller, True Crime"
Ghost Stories,Henry James,"January 1, 1898",3.86,1699,344,119,"Horror, Short Stories, Classics, Fiction, Gothic, Ghost Stories, Ghosts"
"The Matrix Comics, Vol. 1",Lana Wachowski,"November 1, 2003",3.79,688,160,44,"Comics, Graphic Novels, Science Fiction, Cyberpunk, Fiction, Comic Book, Graphic Novels Comics"
Before I Go to Sleep,S.J. Watson,"October 1, 2011",3.90,371012,359,26818,"Thriller, Fiction, Mystery, Book Club, Mystery Thriller, Suspense, Crime"
The Blood of Olympus,Rick Riordan,"October 7, 2014",4.43,397641,516,26914,"Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Percy Jackson, Adventure"
Slaves to the Empowered: Volumes of Lageyan Lore,Jeremiah Cain,"January 1, 2009",4.64,11,302,4,Fantasy
The Celestial Selenite Scry,Marlene K. Slade,"September 20, 2010",3.30,20,578,1,"M M Romance, Paranormal"
Grey Dogs,Ian D.G. Sandusky,"October 31, 2010",3.67,156,214,8,"Zombies, Horror, Fiction, Young Adult"
Temperature: Dead + Rising,Adam Santo,"September 25, 2010",4.14,37,192,14,"Zombies, Horror"
Iodine,Haven Kimmel,"August 1, 2008",3.30,1165,240,289,"Fiction, Mental Illness, Adult Fiction, Contemporary, Academia, Literary Fiction, Book Club"
Shatter Kinder,Gori Suture,"February 1, 2011",3.56,9,354,7,
Rhinehoth,Brian E. Niskala,"October 23, 2009",3.94,79,194,27,"Horror, Paranormal, Fantasy, Audiobook, Vampires"
Darker...,Stefan Bourque,"January 1, 2003",4.50,10,280,0,Horror
The Heart of War,Lisa Beth Darling,"November 21, 2010",3.93,235,516,89,"Fantasy, Paranormal Romance, Mythology, Paranormal, Romance, Erotica, Greek Mythology"
Letterbox,Cameron Trost,"June 1, 2011",3.94,17,195,9,Mystery
I Held My Breath as Long as I Could,Kristopher Kelly,"October 1, 2011",3.49,57,210,11,"Horror, Short Stories, Fiction, Contemporary"
Act of Redemption,C.C. Cole,"April 29, 2009",4.42,48,194,17,Fantasy
Dark Waters,L.E. Fitzpatrick,"July 1, 2011",4.31,13,600,4,Fantasy
Scream Catcher,Vincent Zandri,"August 30, 2011",4.05,81,456,19,"Thriller, Fiction, Mystery, Suspense"
Paint Stop Boom,Anna Sarelas,"November 29, 2011",3.53,17,174,3,
Zombie Maelstrom,Bryan Cassiday,"December 9, 2011",3.58,189,252,36,"Zombies, Horror, Post Apocalyptic, Fiction, Science Fiction, Apocalyptic, Dystopia"
The Awakening,Jeffrey Pierce,"January 1, 2011",3.80,121,236,19,"Angels, Horror, Paranormal, Fiction"
At the End of All Things,Stony Graves,"December 8, 2011",3.07,14,284,1,Zombies
Nowhere Hall,Cate Gardner,"September 1, 2011",4.16,19,22,4,Horror
Death Springs Eternal,Robert J. Duperre,"December 27, 2011",4.00,84,348,13,"Horror, Zombies, Fiction"
Days of Vengeance,Tim Kizer,"January 2, 2012",3.02,88,271,18,"Horror, Paranormal"
The Crooked God Machine,Autumn Christian,"December 23, 2011",3.83,538,276,105,"Horror, Science Fiction, Fiction, Fantasy, Dystopia, Bizarro Fiction, Horror Thriller"
Flux,Mark R. Faulkner,"January 2, 2012",3.59,133,288,24,"Horror, Fantasy, Supernatural, Fiction"
Horror for the Holidays,Scott David Aniolowski,"December 1, 2011",4.24,29,294,6,"Holiday, Cthulhu Mythos, Anthologies"
One Blood,Qwantu Amaru,"November 30, 2011",3.56,382,486,87,"Horror, Suspense, Fiction, Thriller, Mystery, Ebooks, Paranormal"
The Penance List,S.C.  Cunningham,"July 1, 2009",4.21,123,502,25,"Erotica, Suspense, Mystery"
Manila Demon,Thomas Maul,"February 27, 2012",3.77,13,300,3,
The Crimson Pact Volume Two,Paul Genesse,"September 1, 2011",3.96,49,584,6,"Anthologies, Horror, Fantasy, Science Fiction"
The Unheards,A.K.  Bansal,"January 1, 2010",3.56,114,209,22,"Horror, Paranormal, Fiction"
Song of the Mourning Dove: Fairy Tales,Victoria Champion,"May 3, 2012",3.75,12,39,1,Horror
Outsider,W. Freedreamer Tinkanesh,"April 7, 2012",3.93,14,223,5,Fantasy
"Allen K’s Inhuman Magazine Issue #5, Fall 2011",Allen Koszowski,"December 1, 2011",4.22,9,208,1,
Halo of the Damned...,Dina Rae,"February 7, 2012",4.27,73,249,48,"Horror, Paranormal, Angels, Paranormal Romance"
I am Morte,Elyse Draper,"May 10, 2012",4.33,21,25,7,
Long-Fangs: The Union of Tribes,Alex  Cook,"January 1, 2012",4.31,16,272,4,
Infatuation: The Story of the Snow Queen,Nathan J.D.L. Rowark,"August 29, 2012",4.00,19,128,5,
Ghost Orchid,J.D. Stroube,"January 1, 2025",4.66,29,Unknown,2,"Horror, Fiction"
The Execution,Sharon Cramer,"February 14, 2012",3.93,911,347,141,"Historical Fiction, Historical, Medieval, Romance, Fiction, Fantasy, Thriller"
Butcher's Winter,Jason Beineke,"August 8, 2012",4.50,2,380,0,
Dark Corners,Michael Bray,"September 18, 2012",4.02,105,226,20,"Horror, Short Stories"
Eden,Matthew Plourde,"September 21, 2010",3.72,262,330,27,"Fantasy, Post Apocalyptic, Christian Fiction, Christian, Ebooks, Fiction, Dystopia"
The House,Roderick Van Brunt,"July 28, 2012",3.41,29,490,3,Horror
Vital Signs,Emily Walker,"October 26, 2012",3.87,15,12,6,"Horror, Short Stories"
