title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
In the Country of Last Things,Paul Auster,"January 1, 1987",3.91,16271,188,1493,"Fiction, Dystopia, Science Fiction, Novels, American, Post Apocalyptic, Literature"
The Underground Railroad,Colson Whitehead,"August 2, 2016",4.06,450575,306,35309,"Historical Fiction, Fiction, Book Club, Historical, Audiobook, Literary Fiction, Race"
The Electric Kool-Aid Acid Test,Tom Wolfe,"January 1, 1968",3.92,79442,416,2755,"Nonfiction, History, Classics, Biography, Journalism, Drugs, Memoir"
Voice of Our Shadow,Jonathan Carroll,"January 1, 1983",3.78,1472,200,101,"Fantasy, Horror, Fiction, Speculative Fiction, Magical Realism, Ghosts, Paranormal"
The Insult,Rupert Thomson,"January 1, 1996",3.64,1450,416,104,"Fiction, Thriller, Mystery, Literary Fiction, Crime, Contemporary, British Literature"
Dracul,Dacre Stoker,"October 2, 2018",4.14,19317,497,3319,"Horror, Historical Fiction, Vampires, Fiction, Gothic, Fantasy, Paranormal"
The Running Man,Richard  Bachman,"May 1, 1982",3.88,172798,317,9791,"Horror, Fiction, Science Fiction, Thriller, Dystopia, Audiobook, Fantasy"
Masks,Fumiko Enchi,"January 1, 1958",3.68,4157,141,485,"Japan, Fiction, Japanese Literature, Classics, Asia, Literature, Literary Fiction"
The Lost World,Michael Crichton,"October 5, 1995",3.88,184374,448,8511,"Science Fiction, Fiction, Thriller, Adventure, Horror, Fantasy, Dinosaurs"
The Most Dangerous Game,Richard Connell,"January 19, 1924",3.95,62174,48,3138,"Classics, Short Stories, Fiction, Horror, School, Thriller, Read For School"
Delta of Venus,Anaïs Nin,"January 1, 1977",3.60,25803,271,2355,"Fiction, Erotica, Short Stories, Classics, Romance, France, Literature"
Songs of a Dead Dreamer,Thomas Ligotti,"January 1, 1986",4.00,2643,275,263,"Horror, Short Stories, Fiction, Weird Fiction, Fantasy, Lovecraftian, American"
Mary Reilly,Valerie Martin,"January 1, 1990",3.67,2950,256,294,"Fiction, Historical Fiction, Horror, Gothic, Mystery, Retellings, Historical"
Ice,Anna Kavan,"January 1, 1967",3.63,12693,158,2263,"Fiction, Science Fiction, Classics, Dystopia, Post Apocalyptic, Fantasy, Novels"
City of Ashes,Cassandra Clare,"March 25, 2008",4.10,1000885,453,40619,"Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fiction, Vampires"
The Library at Mount Char,Scott  Hawkins,"June 16, 2015",4.05,82867,390,14082,"Fantasy, Horror, Fiction, Science Fiction, Audiobook, Mystery, Adult"
Night Film,Marisha Pessl,"August 1, 2013",3.78,96412,640,12982,"Mystery, Horror, Fiction, Thriller, Mystery Thriller, Adult, Suspense"
As I Lay Dying,William Faulkner,"January 1, 1930",3.72,189467,288,13685,"Classics, Fiction, Literature, Novels, School, American, Southern Gothic"
Storm Dancer,Rayne Hall,"January 1, 2011",3.87,193,ebook,64,"Fantasy, Romance, Fiction, Ebooks, Paranormal, Dark Fantasy, Adventure"
Bellman & Black,Diane Setterfield,"November 5, 2013",3.19,20158,320,3867,"Fiction, Historical Fiction, Gothic, Fantasy, Mystery, Horror, Historical"
In the Courts of the Sun,Brian D'Amato,"January 1, 2009",3.27,1151,684,225,"Fiction, Science Fiction, Fantasy, Thriller, Historical Fiction, Time Travel, Historical"
