title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
Childe Harold's Pilgrimage,Lord Byron,"April 1, 1812",3.66,2349,230,185,"Poetry, Classics, Romanticism, Fiction, 19th Century, Travel, English Literature"
Castle of Otranto,Walpole,"January 1, 1764",3.19,43678,128,5048,"Classics, Gothic, Horror, Fiction, Fantasy, 18th Century, Mystery"
Just Listen,Sarah Dessen,"April 6, 2006",4.05,250774,371,9200,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Chick Lit, Teen"
Life of Pi,Yann Martel,"September 11, 2001",3.94,1763833,460,57558,"Fiction, Fantasy, Classics, Book Club, Adventure, Contemporary, Magical Realism"
Passing,Nella Larsen,"January 1, 1929",3.92,82468,141,9054,"Classics, Fiction, Historical Fiction, Audiobook, Race, African American, School"
Red Harvest,Dashiell Hammett,"January 1, 1929",3.94,30088,215,2201,"Mystery, Fiction, Crime, Noir, Classics, Detective, Thriller"
Medea,Euripides,"January 1, 432",3.95,88552,59,4797,"Classics, Plays, Drama, Mythology, Fiction, School, Theatre"
"Typee: A Romance of the South Seas, with sequel: ""The Story of Toby""",Herman Melville,"January 1, 1846",3.56,6102,198,608,"Fiction, Classics, Travel, Adventure, Literature, American, 19th Century"
Les Rois maudits,Maurice Druon,"January 1, 1977",4.55,2929,1620,116,"Historical Fiction, France, Fiction, Classics, Historical, Roman, French Literature"
Walk Two Moons,Sharon Creech,"January 1, 1994",4.00,174154,280,8728,"Young Adult, Fiction, Middle Grade, Childrens, Realistic Fiction, School, Classics"
