title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
Roots: The Saga of an American Family,Alex Haley,"August 17, 1976",4.45,165350,729,4656,"Historical Fiction, Fiction, Classics, Historical, African American, Africa, Race"
Fathers and Sons,Ivan Turgenev,"February 1, 1862",4.00,102758,244,5591,"Classics, Fiction, Russia, Russian Literature, Literature, 19th Century, Novels"
Pale Fire,Vladimir Nabokov,"January 1, 1962",4.17,58324,246,5176,"Fiction, Classics, Poetry, Literature, Russia, Novels, Russian Literature"
Survivor,Chuck Palahniuk,"February 17, 1999",3.93,124533,304,4701,"Fiction, Contemporary, Thriller, Novels, Satire, Humor, Audiobook"
A Farewell to Arms,Ernest Hemingway,"September 1, 1929",3.82,357785,304,17512,"Classics, Fiction, Historical Fiction, War, Literature, Novels, Romance"
Less Than Zero,Bret Easton Ellis,"May 1, 1985",3.61,102215,208,6994,"Fiction, Contemporary, Novels, Classics, American, Literature, Literary Fiction"
The Fall,Albert Camus,"May 16, 1956",4.03,138534,147,9929,"Fiction, Philosophy, Classics, France, Literature, French Literature, Novels"
Wives and Daughters,Elizabeth Gaskell,"January 1, 1866",4.13,51004,679,3445,"Classics, Fiction, Romance, Historical Fiction, Victorian, 19th Century, Literature"
Pet Sematary,Stephen  King,"November 14, 1983",4.09,709792,576,33953,"Horror, Fiction, Thriller, Audiobook, Fantasy, Paranormal, Horror Thriller"
The Return of Sherlock Holmes,Arthur Conan Doyle,"March 1, 1904",4.27,71403,455,2680,"Classics, Mystery, Fiction, Crime, Short Stories, Detective, Audiobook"
Utopia,Thomas More,"January 1, 1516",3.55,84121,113,5255,"Classics, Philosophy, Fiction, Politics, Literature, Dystopia, School"
Cannery Row,John Steinbeck,"January 1, 1943",4.06,156573,181,9675,"Classics, Fiction, Literature, Historical Fiction, American, Novels, Book Club"
The Sneetches and Other Stories,Dr. Seuss,"January 1, 1961",4.31,66019,68,1148,"Picture Books, Childrens, Fiction, Classics, Poetry, Fantasy, Humor"
Filth,Irvine Welsh,"January 1, 1998",3.82,32314,393,1389,"Fiction, Crime, Contemporary, Mystery, Novels, Thriller, Scotland"
Growth of the Soil,Knut Hamsun,"January 1, 1917",4.22,13869,435,1298,"Fiction, Classics, Literature, Nobel Prize, Novels, Scandinavian Literature, Historical Fiction"
The Mill on the Floss,George Eliot,"April 4, 1860",3.84,59529,579,3467,"Classics, Fiction, 19th Century, Victorian, Literature, Historical Fiction, British Literature"
Madeline,Ludwig Bemelmans,"January 1, 1939",4.27,219507,44,2573,"Picture Books, Childrens, Classics, Fiction, France, Poetry, Kids"
James and the Giant Peach,Roald Dahl,"November 1, 1961",4.04,520186,176,10193,"Childrens, Fantasy, Fiction, Classics, Young Adult, Middle Grade, Adventure"
The Virgin Suicides,Jeffrey Eugenides,"January 1, 1993",3.78,421302,250,33381,"Fiction, Classics, Contemporary, Literary Fiction, Young Adult, Coming Of Age, Mental Health"
The Complete Stories,Flannery O'Connor,"November 8, 1971",4.38,41031,555,2372,"Short Stories, Fiction, Classics, Literature, Southern Gothic, Southern, Literary Fiction"
Père Goriot,Honoré de Balzac,"March 1, 1835",3.85,67836,370,3744,"Classics, Fiction, France, French Literature, Literature, 19th Century, Novels"
