Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres
11772078,Madde 22,Joseph Heller,"Heller, Joseph",Niran Elçi,9752731813,9789752731813,3,3.99,İthaki Yayınları,Paperback,618.0,2010.0,1961.0,2025-10-29,2025-10-29,,,read,,,,1,0,"Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels"
199808953,"Harry Potter ve Azkaban Tutsağı (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.","Sevin Okyay, Kutlukhan Kutlu",9750803116,9789750803116,3,4.58,Yapı Kredi Yayınları,Paperback,396.0,2023.0,1999.0,2025-10-20,2025-10-20,,,read,,,,1,0,
18629352,Kral Lear,William Shakespeare,"Shakespeare, William",Özdemir Nutku,9944885851,9789944885850,4,3.91,Türkiye İş Bankası Kültür Yayınları,Paperback,190.0,2011.0,1605.0,2025-10-20,2025-10-20,,,read,,,,1,0,
54745818,Hayaletgören,Friedrich Schiller,"Schiller, Friedrich",,9750743083,9789750743085,3,3.27,Can Yayinlari,Paperback,144.0,2020.0,1787.0,2025-10-13,2025-10-13,,,read,,,,1,0,"Classics, Fiction, Gothic, German Literature, 18th Century, Horror, Romanticism"
45189203,A Game of Thrones,George R.R. Martin,"Martin, George R.R.",,0553593714,9780553593716,2,4.45,Bantam Books,Mass Market Paperback,835.0,2011.0,1996.0,2025-10-06,2025-10-06,,,read,,,,1,0,"Fantasy, Fiction, Epic Fantasy, High Fantasy, Adult, Audiobook, Science Fiction Fantasy"
39945460,İnsan Ne İle Yaşar?,Leo Tolstoy,"Tolstoy, Leo",Orhan Ertuğrul Tekin,6053757659,9786053757658,4,3.98,İthaki Yayınları,Paperback,120.0,2018.0,1885.0,2025-09-29,2025-09-29,,,read,,,,1,0,"Classics, Fiction, Short Stories, Russian Literature, Russia, Philosophy, Roman"
61100916,Küçük Otel,Christina Stead,"Stead, Christina",Bülent O. Doğan,6254059223,9786254059223,2,3.11,Türkiye İş Bankası Kültür Yayınları,Paperback,200.0,2022.0,1973.0,2025-09-28,2025-09-28,,,read,,,,1,0,
41886271,The Sword of Kaigen,M.L. Wang,"Wang, M.L.",,,,3,4.43,Amazon Digital Services,Kindle Edition,651.0,2019.0,2019.0,2025-08-31,2025-08-31,,,read,,,,1,0,"Fantasy, Fiction, High Fantasy, Adult, Audiobook, Epic Fantasy, Book Club"
28931896,"Işığın Anısı (Zaman Çarkı, #14)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,6053753068,9786053753063,4,4.58,İthaki Yayınları,Hardcover,928.0,2017.0,2013.0,2025-08-31,2025-08-31,,,read,,,,1,0,"Fantasy, Fiction, Epic Fantasy, Audiobook, High Fantasy, Science Fiction Fantasy, Epic"
25707551,"Kızıl Gökler Altında Kızıl Denizler (Centilmen Piç, #2)",Scott Lynch,"Lynch, Scott",Cihan Karamancı,6053754641,9786053754640,5,4.25,İthaki Yayınları,Paperback,696.0,2015.0,2007.0,2025-08-20,2025-08-11,,,read,,,,1,0,"Fantasy, Fiction, Audiobook, Adventure, Epic Fantasy, High Fantasy, Pirates"
