title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
Pacific Reaper,Carmen Amato,"March 28, 2017",4.54,193,264,31,"Mystery, Thriller"
The House on Blackstone Moor,Carole Gill,"December 17, 2010",3.58,304,212,67,"Vampires, Horror, Gothic, Paranormal, Fiction, Demons, Romance"
"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness",Anne Bishop,"December 2, 2003",4.39,14339,1204,711,"Fantasy, Romance, Fiction, Dark Fantasy, Magic, Science Fiction Fantasy, High Fantasy"
Bad Bishop,Irene Soldatos,"October 18, 2013",4.00,27,350,9,"Fantasy, Fiction, Historical Fiction"
The Dark Citadel,Jane Dougherty,"October 3, 2013",4.29,48,227,28,Fantasy
Lick the Razor - the Definitive Collection,D.B. Tarpley,"December 9, 2014",4.28,18,241,0,Horror
A Darker Moon,J.S. Watts,"October 6, 2012",4.43,14,162,6,
The Death of Fear,D.B. Tarpley,"December 31, 2014",4.32,22,273,1,
Mortal Showdown,Nik Krasno,"June 1, 2015",3.94,47,250,28,Thriller
Cabello: Mineau,Grea Alexander,"January 26, 2014",3.79,57,ebook,16,"Horror, Fiction, Mystery"
The Pack: Addison,Grea Alexander,"January 3, 2016",4.24,41,ebook,3,"Paranormal, Horror, Werewolves, Fantasy"
Miael: Family,Grea Alexander,"March 11, 2016",3.98,41,ebook,7,"Horror, Thriller"
The Ripper,James G.  Robertson,"January 1, 2021",4.09,22,227,15,"Horror, Audiobook"
Dark Country,Monique Snyman,"May 17, 2022",4.21,99,256,43,"Horror, Thriller, Mystery, Fantasy, Paranormal, Adult, Crime"
How We Fall,Kate Brauning,"March 14, 2014",3.65,739,304,159,"Young Adult, Contemporary, Mystery, Romance, Fiction, Thriller, Mystery Thriller"
The Club Dumas,Arturo Pérez-Reverte,"January 1, 1993",3.81,45294,362,2819,"Fiction, Mystery, Thriller, Historical Fiction, Books About Books, Spain, Mystery Thriller"
The Corrections,Jonathan Franzen,"September 1, 2001",3.85,200197,653,13120,"Fiction, Contemporary, Literary Fiction, Novels, Book Club, Literature, American"
New York,Travis Luedke,"August 8, 2012",3.49,1620,ebook,281,"Paranormal, Vampires, Erotica, Romance, Paranormal Romance, Urban Fantasy, Fantasy"
Unholy Ghosts,Stacia Kane,"May 25, 2010",3.66,16761,339,1771,"Urban Fantasy, Paranormal, Fantasy, Ghosts, Magic, Romance, Witches"
Tempted,Paul Micheals,"October 27, 2013",3.94,17,217,10,
The Death of Love,D.B. Tarpley,"July 14, 2015",4.60,10,298,0,
