Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57301414,Bir Gün Kediler Dünyadan Yok Olsaydı,Genki Kawamura,"Kawamura, Genki",Deniz Topaktaş,"=""6050981531""","=""9786050981537""",3,3.79,Dex Kitap,Paperback,184,2021,2012,2025/02/20,2025/02/20,,,read,,,,1,0
7258999,Ayaşlı ile Kiracıları,Memduh Şevket Esendal,"Esendal, Memduh Şevket",,"=""9754940517""","=""9789754940510""",2,3.65,Bilgi Yayınevi,Paperback,256,1983,1934,2025/01/31,2025/01/31,,,read,,,,1,0
58581203,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",4,4.15,Crown,Kindle Edition,561,2021,2012,2025/01/31,2025/01/11,,,read,,,,1,0
10457185,"Yerdeniz Büyücüsü (Yerdeniz, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",Çiğdem Erkal İpek,"=""9753420579""","=""9789753420570""",4,4.01,Metis Yayınları,Paperback,188,1994,1968,2025/01/31,2025/01/25,,,read,,,,1,0
34876422,Denizi Yitiren Denizci,Yukio Mishima,"Mishima, Yukio",Seçkin Selvi,"=""975073419X""","=""9789750734199""",4,3.83,Can Yayınları,Paperback,152,2017,1963,2025/01/25,2025/01/25,,,read,,,,1,0
55459652,İyi Hissetmek: İlaç Klavuzu İlaveli,David D. Burns,"Burns, David D.",,"=""6056950484""","=""9786056950483""",3,4.06,Psikonet Yayıncılık,Paperback,632,2020,1980,2025/01/25,2025/01/04,,,read,,,,1,0
13561527,"Düş Hançeri (Zaman Çarkı, #11.2)",Robert Jordan,"Jordan, Robert",,"=""9752733565""","=""9789752733565""",3,4.03,İthaki Yayınları,Paperback,616,2007,2005,2025/01/09,2025/01/09,,,read,,,,1,0
57720442,Yabancı,Albert Camus,"Camus, Albert",Ayça Sezen,"=""9750748670""","=""9789750748677""",4,4.03,Can Yayınları,Paperback,112,2021,1942,2025/01/04,2025/01/04,,,read,,,,1,0
13561523,"Düş Hançeri (Zaman Çarkı, #11.1)",Robert Jordan,"Jordan, Robert",,"=""9752733417""","=""9789752733411""",3,3.93,İthaki Yayınları,Paperback,608,2007,2005,2024/12/31,2024/12/31,,,read,,,,1,0
28358913,Monsieur ya da Karanlıklar Prensi (Avignon Beşlisi #1),Lawrence Durrell,"Durrell, Lawrence",Seçkin Selvi,"=""9755104410""","=""9789755104416""",3,3.66,Can Yayınları,Paperback,344,1992,1974,2024/12/31,2024/12/31,,,read,,,,1,0
13635965,"Hercule'ün On İki Görevi (Hercule Poirot, #27)",Agatha Christie,"Christie, Agatha",Çiğdem Öztekin,"=""9752110584""","=""9789752110588""",2,3.76,Altın Kitabevi,Paperback,340,2009,1947,2024/12/31,2024/12/12,,,read,,,,1,0
58705596,Alaycı Kuş,Walter Tevis,"Tevis, Walter",Cihan Karamancı,"=""6257442230""","=""9786257442237""",5,4.16,İthaki Yayınları,Paperback,280,2021,1980,2024/12/24,2024/12/24,,,read,,,,1,0
35168088,Karanlıktan Sonra,Haruki Murakami,"Murakami, Haruki",Ali Volkan Erdemir,"=""6050943214""","=""9786050943214""",4,3.74,Doğan Kitap,Paperback,180,2017,2004,2024/12/21,2024/12/12,,,read,,,,1,0
35917540,"Cennet (İlahi Komedya, #3)",Dante Alighieri,"Alighieri, Dante",,"=""9752118968""","=""9789752118966""",3,3.96,Altın Kitapları,Paperback,212,2014,1321,2024/12/19,2024/12/12,,,read,,,,1,0
8668854,Dokuz Öykü,J.D. Salinger,"Salinger, J.D.",Sevin Okyay,"=""9753630484""","=""9789753630481""",2,4.18,Yapı Kredi Yayınları,,168,2010,1953,2024/12/19,2024/12/12,,,read,,,,1,0
51790792,Küçük Kadınlar,Louisa May Alcott,"Alcott, Louisa May","Cevdet Serbest, Damla Göl","=""6257999405""","=""9786257999403""",3,4.05,Türkiye İş Bankası Kültür Yayınları,Paperback,328,2020,1869,2024/03/12,2024/03/10,,,read,,,,1,0
59144832,Piranesi,Susanna Clarke,"Clarke, Susanna",Berna Kılınçer,"=""6254493985""","=""9786254493980""",5,4.21,Alfa Yayınları,Paperback,286,2021,2020,2024/11/29,2024/11/29,,,read,,,,1,0
60117687,Cadının Yüreği,Genevieve Gornichec,"Gornichec, Genevieve",Ceren Gürein,"=""6258475728""","=""9786258475722""",5,4.04,İthaki Yayınları,Paperback,336,2022,2021,2024/11/28,2024/11/28,,,read,,,,1,0
13561517,Alacakaranlık Kavşağı (Zaman Çarkı #10.2),Robert Jordan,"Jordan, Robert",,"=""9752733166""","=""9789752733169""",3,3.87,İthaki Yayınları,Paperback,520,2006,2003,2024/11/28,2024/11/28,,,read,,,,1,0
13561509,Alacakaranlık Kavşağı (Zaman Çarkı #10.1),Robert Jordan,"Jordan, Robert",,"=""9752733123""","=""9789752733121""",3,3.67,İthaki Yayınları,Paperback,493,2006,2003,2024/11/28,2024/11/28,,,read,,,,1,0
433076,Cruel as the Grave  (Justin de Quincy #2),Sharon Kay Penman,"Penman, Sharon Kay",,"=""0140270760""","=""9780140270761""",4,3.94,Penguin,Mass Market Paperback,256,1999,1998,2024/11/12,2024/11/01,,,read,,,,1,0
234559,"The Queen's Man (Justin de Quincy, #1)",Sharon Kay Penman,"Penman, Sharon Kay",,"=""034542316X""","=""9780345423160""",3,3.87,Fawcett,Mass Market Paperback,288,2000,1996,2024/11/06,2024/11/04,,,read,,,,1,0
18719041,Cthulhu'nun Çağrısı,H.P. Lovecraft,"Lovecraft, H.P.",Dost Körpe,"=""9756902566""","=""9789756902561""",3,4.01,İthaki Yayınları,Paperback,229,2000,1928,2024/10/31,2024/10/24,,,read,,,,1,0
18224252,Sevginin ve Şiddetin Kaynağı,Erich Fromm,"Fromm, Erich","Yurdanur Salman, Nalan İçten","=""9753880197""","=""9789753880190""",3,4.05,Payel Yayınları,Paperback,160,1979,1964,2024/10/31,2024/10/03,,,read,,,,1,0
13561505,"Kışın Yüreği (Zaman Çarkı , #9.2)",Robert Jordan,"Jordan, Robert",,"=""9752732771""","=""9789752732773""",3,3.93,İthaki Yayınları,Paperback,416,2006,2002,2024/10/30,2024/10/27,,,read,,,,1,0
32719308,Pandora,Anne Rice,"Rice, Anne",İlkin İnanç,"=""9758461702""","=""9789758461707""",4,3.80,Martı Yayınları,Paperback,375,2007,1998,2024/10/27,2024/10/11,,,read,,,,1,0
1045592,Gothic Revival (Phaidon Art and Ideas),Phil Baines,"Baines, Phil","Chris Brooks, Anne Béchard-Léauté","=""0714834807""","=""9780714834801""",3,3.50,Phaidon Press,Paperback,448,1999,1999,2024/10/25,2024/10/11,,,read,,,,1,0
13561499,"Kışın Yüreği (Zaman Çarkı , #9.1)",Robert Jordan,"Jordan, Robert",,"=""9752732712""","=""9789752732711""",2,3.78,İthaki Yayınları,Paperback,446,2006,2000,2024/10/22,2024/10/21,,,read,,,,1,0
35917554,"Araf (İlahi Komedya, #2)",Dante Alighieri,"Alighieri, Dante",,"=""975211895X""","=""9789752118959""",4,4.05,Altın Kitapları,Paperback,228,2015,1321,2024/10/17,2024/10/06,,,read,,,,1,0
21425014,"Vittorio (New Tales of the Vampires, #2)",Anne Rice,"Rice, Anne",İlkin İnanç,"=""""","=""9786055872571""",2,3.55,Martı Yayınları,Paperback,308,2009,1999,2024/10/11,2024/10/03,,,read,,,,1,0
11878691,Felsefenin Tesellisi,Alain de Botton,"Botton, Alain de",Banu Tellioğlu,"=""""","=""9789755702063""",1,4.01,Sel Yayıncılık,Paperback,309,2008,2000,2024/10/06,2024/09/30,,,read,,,,1,0
