Title,Author,CallNumber,Subject
"Onun şeytanları","Aksoy, Beyza,","PL249.A37 O56 2023","Turkish fiction"
"Altına tapanlar","Topkaya, Barış,","PL248.T67 A46 2025","Turkish fiction"
"Aylardan kasım günlerden perşembe","Kulin, Ayşe,","PL248 .K85 A95 2025","Turkish fiction"
"Ölüme fısıldayan adam","Yılmaz, Büşra,","PL248.Y51 Y51 2023","Turkish fiction"
"Ruhumu öpmeyi unuttun","Aral, İnci,","PL248.A728 R8 2025","Turkish fiction"
"Kutsal kehanet : Eklopsi II","Haviters, Katia,","PL249.H38 K97 2025","Turkish fiction"
"Ateşpare","Melek, Ceren, 2000-","PL249 .M45 A84 2025 V.1","Turkish fiction"
"Lanetin tarihi","Işık, Sena Nur,","PL248.I81 L26 2022","Turkish fiction"
"Annemin uyurgezer geceleri : roman","Tunç, Ayfer,","PL248.T849 A56 2025","Turkish fiction"
"Açık yaralar ve dikiş izleri","Aksoy, Beyza,","PL249.A37 A18 2024","Turkish fiction"
"Kendi gecesinde","Aral, İnci, 1944-","PL248 .A728 K331 2014","Turkish fiction"
"Frenk sokağı’nda sonbahar","Çağlayan, B. Suat,","PL248 .C13 F879 2025","Turkish fiction"
"Baba oğul hikâyeleri : roman","Erdem, Bahadır, 1966-","PL248 .B34 B33 2025","Turkish fiction"
"Yılmaz öğretmen : roman","Balbay, Mustafa,","PL248 .B35 Y55 2024","Turkish fiction"
"Gökyüzünün cenneti","Işık, Sena Nur,","PL248.I81 G53 2023","Turkish fiction"
"Küllerin kehaneti","Işık, Sena Nur,","PL248.I81 K96 2023","Turkish fiction"
"Güllerin ihaneti","Işık, Sena Nur,","PL248.I81 G561 2022","Turkish fiction"
"Kelepçe","Tan, Canan, 1951-","PL248.T36 K29 2024","Turkish fiction"
"Kırmızı buğday","Büke, Ahmet, 1970-","PL248.B85 K599 2025","Turkish fiction"
"Başkalarının tanrısı : roman","Söğüt, Mine, 1968-","PL248.S556 B37 2024","Turkish fiction"
"İncirlik Yazı","Yazıcıoğlu, Taçlı,","PL248.Y35 I372 2024","Turkish fiction"
"Beş sevim apartmanı : rüya tabirli cinperi yalanları","Söğüt, Mine, 1968-","PL248.S568 B48 2023","Turkish fiction"
"Kırmızı zaman : roman","Söğüt, Mine, 1968-","PL248.S556 K57 2022","Turkish fiction"
"Özgürleşme arzusu : yakıcı istek","Pamukoğlu, Osman, 1947-","PL248.P368 O99 2025","Turkish fiction"
"Siyam IV : Mare","Aksoy, Beyza,","PL249.A37 S61 2025","Turkish fiction"
"Siyam III : Küllerinden","Aksoy, Beyza,","PL249.A37 S60 2025","Turkish fiction"
"Siyam II : Kanbeyaz","Aksoy, Beyza,","PL249.A37 S59 2025","Turkish fiction"
"Yoksa hayat gençken daha mı zor?","Ongun, İpek, 1942-","PL248.O54 Y65 2023","Turkish fiction"
"Son eseri : roman","Adıvar, Halide Edib, 1885-1964,","PL248.A33 S66 2020","Turkish fiction"
"Dağa çıkan kurt","Adıvar, Halide Edib, 1885-1964,","PL248.A3 D34 2022","Turkish fiction"
"Osmancık : cihân devletini kuran irâde, şuûr ve karakter","Buğra, Tarık, 1918-1994,","PL248.B77 O86 2025","Turkish fiction"
"Buz krallığı","Işık, Sena Nur,","PL248.I81 B99 2024","Turkish fiction"
"Karanlıkta bir çatlak","Karaarslan, Reyhan,","PL248.K18 K181 2025","Turkish fiction"
"Arden","Işık, Işıl,","PL249.I81 A67 2025 V.1","Turkish fiction"
"Zeyno'nun oğlu : Roman","Adıvar, Halide Edib, 1885-1964","PL248 .A33 Z49 2021","Turkish fiction"
"Asel","Işık, Sena Nur,","PL248.I81 A81 2023","Turkish fiction"
"Cadı ağacı : roman","Kutlu, Ayla, 1938-","PL248.K8858 C33 2025","Turkish fiction"
"Karadenizin kıyıcığında","Ilgaz, Rıfat,","PL248 .I445 K18 2018","Turkish fiction"
"Dört mevsim sonbahar","Altan, Ahmet, 1950-","PL248 .A48 D67 2013","Turkish fiction"
"Sihirli Mozart","Genç, Göknil,","PL248.G4632 S54 2025","Turkish fiction"
"Yolpalas cinayeti","Adıvar, Halide Edib, 1885-1964.","PL248 .A3 Y65 2021","Turkish fiction"
"Halime kaptan : roman","Ilgaz, Rıfat,","PL248.I445 H35 2025","Turkish fiction"
"Rüzgârlı camlar","Türk, Serkan,","PL248.T93 R99 2025","Turkish fiction"
"Beşerbazın Mârifeti","Çiçekçi, Arlin,","PL249.C56 B55 2025","Turkish fiction"
"O yıl","Altan, Ahmet, 1950-","PL248.A483 O98 2025","Turkish fiction"
"Miras","İşler, Nejat,","PL248.I27 M67 2025","Turkish fiction"
"Ergenlik dönemim","Mishima, Yukio, 1925-1970,","PL833.I7 E675 2025","Turkish fiction"
"Uzun bir kışın en karanlık gecesi","Altuğ, Barbaros,","PL248.A4884 U99 2025","Turkish fiction"
"Kibrit kokusu","Göncü, Özlem,","PL248.G57 K46 2025","Turkish fiction"
"Katıksız","Babaoğlu, Rabia,","PL248.B11 K19 2025","Turkish fiction"
"Yalıda bir gece","Banguoğlu Bilgin, Ülker,","PL248.B364 Y19 2025","Turkish fiction"
"Gecenin örtüsünde güneş lekesi","Oral, Mehmet Mahsum,","PL249.O63 G29 2025","Turkish fiction"
"Özgürlüğü son bilet : kör kuyu","Kara, Şeyma Yol, 1983-","PL248.K37 O99 2025","Turkish fiction"
"Dönemeçte","Buğra, Tarık, 1918-1994.","PL248.B77 D63 2017","Turkish fiction"
"Gençliğim eyvah","Buğra, Tarık, 1918-1994.","PL248.B77 G46 2020","Turkish fiction"
"Bal","Gül, Emre,","PL248.G54 B17 2021","Turkish fiction"
"Av","Rise, M., 1993-","PL248.R59 A94 2022","Turkish fiction"
"Güneşin iki yüzü","Eriş, Bahar,","PL248.E757 G86 2025","Turkish fiction"
"Kızıl kıyamet: armoni elementleri 3","Pendaz, Buse,","PL248 .P39 K62 2021","Turkish fiction"
"Son koleksiyoncu","Aydın, Almila, 1970-","PL248 .A93563 S66 2025","Turkish fiction"
"Yere yakın yıldızlara uzak","Tavuz, Emine,","PL248 .T23 Y47 2025","Turkish fiction"
"Can çıkmazı","Öztürk, Semih,","PL248.O98 O99 2017","Turkish fiction"
"Emare","Arslan, Aslı,","PL249 .A78 E43 2022 V.1","Turkish fiction"
"İs kokan zeytin ağacı 2","Avlamaz, Şule,","PL249.A95 I73 2024","Turkish fiction"
"İzmir'in incisi","İzmirli, Zühal,","PL248.I99 I9 2018","Turkish fiction"
"Dört gün üç gece","Kulin, Ayşe, 1941-","PL248 .K85 D67 2024","Turkish fiction"
"Leyla yokuşu","Yıldız, Ahmed Günbay, 1941-","PL248.Y55 L49 2024","Turkish fiction"
"Benim çiçeklerim ateşte açar","Yıldız, Ahmed Günbay, 1941-","PL248 .Y55 B46 2023","Turkish fiction"
"İntikam mevsimi","Eren, A. Yasemin,","PL249. E67 I61 2021","Turkish fiction"
"Aynada batan güneş","Yıldız, Ahmet Günbay, 1941-","PL248 .Y55 A9 2020","Turkish fiction"
"Teo","Bezmen, Nermin,","PL248.B49 T31 2024","Turkish fiction"
"Figan","Yıldız, Ahmet Günbay, 1941-","PL248.Y55 F5 2022","Turkish fiction"
"Daire 7","Alkoç, Beyza, 1996-","PL249.A45 D134 2022","Turkish fiction"
"Sokak nöbetçileri","Arslan, Aslı,","PL249 .A78 S65 2021","Turkish fiction"
"Vârislerin oyunu: Wisteria 1","Yağmur, Adora,","PL249.Y12 V299 2023","Turkish fiction"
"Efsaneler ve lanetler: hepimiz gökyüzü olmak istedik 4","Kabal, N. G.,","PL249.K327 E27 2024","Turkish fiction"
"Agatha'nın anahtarı: öykü","Ümit, Ahmet, 1960-","PL248.U457 A33 2024","Turkish fiction"
"Sıfır kilometre","Alkoç, Beyza, 1996-","PL249.A45 S573 2024","Turkish fiction"
"Sonsuz gece","Christie, Agatha, 1890-1976,","PR6005.H66 E519 2023","Turkish fiction"
"Tavhane çocukları : roman","Gerger, Adnan, 1958-","PL249 .G47 T38 2022","Turkish fiction"
"Gecede saklı yalnız aşklar","Yıldırım, Adil,","PL249.Y51 G29 2023","Turkish fiction"
"45 saniye: sesimi duyan var mı?","Özkan, Harun,","PL249.O99 A3 2023","Turkish fiction"
"Çiçekler susayınca","Yıldız, Ahmet Günbay, 1941-","PL248.Y55 C5 2023","Turkish fiction"
"Bir gece yolculuğu","Bezmen, Nermin,","PL248 .B49 B42 2023","Turkish fiction"
"Beyaz leke: mahkûmiyet","Arslan, Aslı,","PL249.A78 B57 2024","Turkish fiction"
"Havva'nın cezası","Bezmen, Nermin,","PL248 .B49 H3 2018","Turkish fiction"
"Dert dinleme uzmanı","Ağaoğlu, Adalet, 1929-","PL248 .A31 D47 2024","Turkish fiction"
"Rosalinde ""Alman gelin""","İzmirli, Zühal,","PL248.I99 R78 2015","Turkish fiction"
"Mimoza","Gültekin, Işılsu,","PL249 .G858 M56 2022","Turkish fiction"
"Ötanazi okulu. 2","Atmaca, Maral,","PL249.A86 O832 2024","Turkish fiction"
"Hayatı savunma biçimleri","Ağaoğlu, Adalet, 1929-","PL248.A31 H38 2021","Turkish fiction"
"Ölmek kolaydır sevmekten","Altan, Ahmet, 1950-","PL248.A483 O4 2015","Turkish fiction"
"Karanlık gölgem","Gerçekler, Gülin,","PL249.G36 K18 2024","Turkish fiction"
"Kayıp sabahlar","Yıldız, Ahmed Günbay, 1941-","PL248 .Y55 K39 2022","Turkish fiction"
"Artık özgürsün baba","Develi, Levent,","PL249 .D48 A79 2024","Turkish fiction"
"Bul beni","Alkoç, Beyza, 1996-","PL249 .A45 B93 2024","Turkish fiction"
"Mengene göçmenleri","Bezmen, Nermin,","PL248.B49 M46 2008","Turkish fiction"
"Hayat Hanım","Altan, Ahmet, 1950-","PL248.A483 H39 2023","Turkish fiction"
"Romantik bir Viyana yazı","Ağaoğlu, Adalet, 1929-","PL248 .A31 R66 2021","Turkish fiction"
"Babamdan sonra","Yıldız, Ahmed Günbay, 1941-","PL248 .Y55 B33 2022","Turkish fiction"
"Bir kedi, bir adam, bir ölüm","Livaneli, Zülfü, 1946-","PL248.L5 B57 2024","Turkish fiction"
"Yırtıcı kuşlar zamanı","Ümit, Ahmet, 1960-","PL248.U457 Y519 2024","Turkish fiction"
"Salkım sokak no:3","Aydın, İclal,","PL248.A93 S25 2024","Turkish fiction"
"Üç beş kişi","Ağaoğlu, Adalet, 1929-","PL248 .A31 U23 2020","Turkish fiction"
"Hazan","Kulin, Ayşe,","PL248.K85 H42 2023","Turkish fiction"
"Fantom etkisi: doğa dönüyor","Solaris, Selin,","PL249.S68 F21 2024","Turkish fiction"
"İçimizdeki şeytan","Sabahattin Ali, 1906-1948.","PL248.A38 I25 2020","Turkish fiction"
"Bin hüzünlü haz : roman","Toptaş, Hasan Ali,","PL248.T663 B56 2018","Turkish fiction"
"Ateş","Puluç, Filiz, 1998-","PL249.P85 A86 2022 V.1","Turkish fiction"
"Kar tanesi","Alkoç, Beyza, 1996-","PL249 .A45 K378 2021","Turkish fiction"
"Sonsuzdan bir önce : sen ve sen arasındaki ebedi mücadele","Görücü, Haşim,","PL248.G67 S69 2020","Turkish fiction"
"Yarın yok","Kulin, Ayşe,","PL248.K85 Y37 2023","Turkish fiction"
"Ruh adam : roman","Atsız, 1905-1975,","PL248.A78 R84 2023","Turkish fiction"
"Tutsaklar şehri","Şimşek, Ali Metehan,","PL248.S61 T966 2023","Turkish fiction"
"Aşk hikayesi","Pala, İskender, 1958-","PL248.P35 A85 2023","Turkish fiction"
"Bunu sen oku","Aydın, İclal,","PL248.A93 B94 2023","Turkish fiction"
"Siyam","Aksoy, Beyza,","PL249.A37 S59 2023","Turkish fiction"
"Mirza","İpekeşen, Sultan,","PL248.I64 M67 2023","Turkish fiction"
"Pulsuz mektuplar: kalanların hikâyesi","Gürbüz, Sultan,","PL249.G97 P98 2023","Turkish fiction"
"Bindokuzyüzyetmişsekiz","Türköne, Mümtazer,","PL248.T93 B61 2023","Turkish fiction"
"995 km: roman","Mungan, Murathan, 1955-","PL248 .M864 D65 2023","Turkish fiction"
"Ötanazi okulu. 4","Atmaca, Maral,","PL249 .A86 O832 2023","Turkish fiction"
"Son perde: hayatın içinden","Yıldıran, Alp Doğan, 1927-","PL248.Y51 S69 2018","Turkish fiction"
"Masalcı: şövalyeler, kutsal emanetler ve bilinmeyen İstanbul","Altunay, Erhan,","PL248.A4894 M373 2023","Turkish fiction"
"Kar küresi","Alkoç, Beyza, 1996-","PL249 .A45 K18 2021","Turkish fiction"
"Kan varsa","King, Stephen, 1947-","PS3561.I483 I3 2021","Turkish fiction"
"Kuru kız","Tunç, Ayfer, 1964-","PL248.T849 K25 2023","Turkish fiction"
"Liseden arkadaşlar","Aydemir, Selçuk, 1982-","PL249 .A93 L57 2023","Turkish fiction"
"Kara kitap : roman","Pamuk, Orhan, 1952-","PL248.P34 K53 2023","Turkish fiction"
"Kuzgun : corvus","Puluç, Filiz, 1998-","PL249.P85 K97 2021","Turkish fiction"
"Aşkı bulmanın ve korumanın yolları","Başar, Kürşat, 1963-","PL248 .B373 A85 2007","Turkish fiction"
"Gülünün solduğu akşam: roman","Öz, Erdal, 1935-2006,","PL248.O316 G85 1997","Turkish fiction"
"Ev anası : roman","Özcan, Birgül, 1984-,","PL248.O99 E8 2016","Turkish fiction"
"Hacı Aga : roman","Hidayat, Sadiq, 1903-1951,","PK6561.H43 H319 2017","Turkish fiction"
"Gözyaşı konağı : ada, 1876","İşigüzel, Şebnem,","PL248 .I85 G6 2016","Turkish fiction"
"Son ada","Livaneli, Zülfü, 1946-","PL248 .L5 S66 2016","Turkish fiction"
"Gerçeğin parçaları","Woodrell, Daniel,","PS3573 .O6263 W5619 2016","Turkish fiction"
"Alçak basınç","Tuğrul, Semih, 1918-1977,","PL248 .T8475 A42 2018","Turkish fiction"
"Aylak adam","Atılgan, Yusuf, 1921-1989.","PL248.A873 A95 2007","Turkish fiction"
"Hacı Aga : roman","Hidayat, Sadiq, 1903-1951,","PK6561 .H43 H319 2022","Turkish fiction"
"Aşık kedi : roman","Anar, Özlem,","PL248.A537 A85 2017","Turkish fiction"
"Konstantiniyye oteli","Livaneli, Zülfü, 1946-","PL248.L58 K67 2015","Turkish fiction"
"Aziz Bey hadisesi","Tunç, Ayfer,","PL248.T849 A9 2015","Turkish fiction"
"Afet","Anıl, Mehmet, 1962-","PL248.A656 A34 2017","Turkish fiction"
"Gulyabani","Gürpınar, Hüseyin Rahmi, 1864-1943,","PL248.G84 G8 2017","Turkish fiction"
"Aylaklar","Anday, Melih Cevdet, 1915-2002,","PL248 .A53 A95 2016","Turkish fiction"
"Eski dostum kertenkele","İşigüzel, Şebnem,","PL248 .I775 E8 2010","Turkish fiction"
"Kürk mantolu Madonnna : roman","Sabahattin Ali, 1906-1948","PL248.4.A38 K87 2020","Turkish fiction"
"Sen de gitme triyandafilis","Kutlu, Ayla,","PL248.K875 S46 1990","Turkish fiction"
"Kurt Seyt & Shura","Bezmen, Nermin,","PL248 .B49 K87 2014","Turkish fiction"
"Ayaşlı ile kiracıları : roman","Esendal, Memduh Şevket, 1883-1952,","PL248 .E84 A93 2017","Turkish fiction"
"Kabuk : roman","Kaçar, Zeynep, 1972-","PL248.K3237 K32 2017","Turkish fiction"
"Felâtun Bey ile Râkım Efendi","Ahmet Mithat, 1844-1912.","PL248.A3173 F45 2019","Turkish fiction"
"Benim bütün günahlarım","Türker, Sibel K., 1968-","PL248.T847 B46 2017","Turkish fiction"
"Kuklacı çocuk","Weaver, Eva,","PR6123 .E2245 P86 2014","Turkish fiction"
"Od : bizim Yunus","Pala, İskender, 1958-","PL248.P33 O22 2011","Turkish fiction"
"Saatleri ayarlama enstitüsü","Tanpınar, Ahmet Hamdi, 1901-1962.","PL248 .T36 S23 2021","Turkish fiction"
"Yemen ! Ah Yemen!","Özdemir, Mehmed Niyazi","PL248 .O9346 Y46 2005","Turkish fiction"
"Kılıç yarası gibi","Altan, Ahmet, 1950-","PL248.A483 K54 2006","Turkish fiction"
"Para ağacı","Yaşar, Şermin, 1982-","PL248.Y29 P22 2022","Turkish fiction"
"Düşerken","Tufan, Tarık, 1973-","PL248.T91 D97 2022","Turkish fiction"
"Aşkın -de hali","Yılmaz, Büşra,","PL248.Y51 A83 2022","Turkish fiction"
"Son Ada'nın çocukları","Livaneli, Zülfü, 1946-","PL248 .L5 S6 2022","Turkish fiction"
"Dedemin bakkalı: dünyanın en süper marketi","Yaşar, Şermin, 1982-","PL248.Y29 D4 2022","Turkish fiction"
"Bir aşk masalı : masal : [özgürlük yoksa aşk da yoktur]","Ümit, Ahmet, 1960-","PL248.U458 B573 2022","Turkish fiction"
"Zamir","Günday, Hakan, 1976-","PL248 .G8631 Z36 2021 C.2","Turkish fiction"
"Surnâme: bir Osmanlı mâcerası","Pala, İskender, 1958-","PL248.P33 S96 2022","Turkish fiction"
"Kırmızı pelerin","Budayıcıoğlu, Gülseren,","PL248.B833 K599 2022","Turkish fiction"
"Daha","Günday, Hakan, 1976-","PL248.G8631 D34 2022","Turkish fiction"
"Masal masal içinde","Ümit, Ahmet, 1960-","PL248.U458 M37 2022","Turkish fiction"
"Seyir","Erdoğan, Piraye, 1966-","PL248.E736 S49 2022","Turkish fiction"
"Kayıp tanrılar ülkesi : roman","Ümit, Ahmet, 1960-","PL248 .U457 K39 2022","Turkish fiction"
"Ziyan","Günday, Hakan, 1976-","PL248.G8631 Z59 2022","Turkish fiction"
"Hayal (1983-2013)","Kulin, Ayşe,","PL248.K85 H39 2021","Turkish fiction"
"Veba geceleri : roman","Pamuk, Orhan, 1952-","PL248.P34 V43 2021","Turkish fiction"
"Engereğin gözü","Livaneli, Zülfü, 1946-","PL248.L5 E54 2021","Turkish fiction"
"Balıkçı ve oğlu","Livaneli, Zülfü, 1946-","PL248.L5 B35 2021","Turkish fiction"
"Hazan","Kulin, Ayşe,","PL248.K85 H42 2021","Turkish fiction"
"Madelet : Dünyaya göklerden bakan kız","Başusta, Hüseyin,","PL248.B327 M18 2021","Turkish fiction"
"Unutkan Aşk","Bezmen, Nermin,","PL248 .B49 U68 2020","Turkish fiction"
"Liwornia","Kevin, Kaya.","PL249 .K485 L59 2020","Turkish fiction"
"En hüzünlü Eylül","Balcıgil, Osman,","PL248 .B2675 E64 2020","Turkish fiction"
"İçimizdeki şeytan","Sabahattin Ali, 1906-1948,","PL248.A38 I25 2019","Turkish fiction"
"Kürk mantolu Madonna","Sabahattin Ali, 1906-1948. author.","PL248.4.A38 K87 2019","Turkish fiction"
"Kuyucaklı Yusuf","Sabahattin Ali, 1906-1948,","PL248.S22 K869 2019","Turkish fiction"
"En derin mavide yalnızlığım","Ataşoğlu, Can,","PL249 .A837 E53 2019","Turkish fiction"
"Kalpaklılar","Kocagöz, Samim, 1916-1993","PL248 .K633 K35 2019","Turkish fiction"
"Migrating Texts : Circulating Translations around the Eastern Mediterranean","Booth, Marilyn","XX(2176791.1)","Turkish fiction"
"Yüzen şehir","Verne, Jules, 1828-1905.","PQ2469.V45 T8 2019","Turkish fiction"
"Her yerde kan var","Kulin, Ayşe,","PL248 .K85 H47 2019","Turkish fiction"
"On dakika otuz sekiz saniye","Shafak, Elif, 1971-","PL248 .S282 O53 2019","Turkish fiction"
"Gör beni : iki devrin hikayesi","Kohen, Akilah Azra,","PL249.K644 G67 2019","Turkish fiction"
"Bir gönül meselesi","Kiremitçi, Tuna, 1973-","PL248.K578 B61 2019","Turkish fiction"
"Unutursun: bizi birbirimize düğümleyen yollara rağmen","Aydın, İclal,","PL248.A93 U61 2019","Turkish fiction"
"Kırgınlık","Kaya, Nihan, 1979-","PL248.K389 K58 2019","Turkish fiction"
"Kalbimin can mayası : Bir uzun sonbahardı yaşadığımız","Aydın, İclal,","PL248.A93 K35 2019","Turkish fiction"
"Camdaki kız","Budayıcıoğlu, Gülseren,","PL248.B833 C14 2019","Turkish fiction"
"Bir cihan kafes","Aydın, İclal,","PL248.A93 B57 2019","Turkish fiction"
"Ninatta'nın bileziği","Ümit, Ahmet, 1960-","PL248.U457 N71 2019","Turkish fiction"
"Nefesi tutku olan kadın : Afife Jale","Balcıgil, Osman, 1955-","PL248.B3296 N44 2019","Turkish fiction"
"Kuyudaki silüetler","Bora, Hasan Fazlı,","PL248.F28 K97 2019","Turkish fiction"
"Köleliğe kaçış : Halep-Berlin hattı : Türkiye'deki Suriyelilerin romanı","Balbay, Mustafa,","PL248.B35 K6 2018","Turkish fiction"
"Pera","Babacan, Gökhan,","PL248.B11 P426 2018","Turkish fiction"
"Kuşlar yasına gider : roman","Toptaş, Hasan Ali, 1958-","PL248.T67 K87 2018","Turkish fiction"
"Gulyabani","Gürpınar, Hüseyin Rahmi, 1864-1943,","PL248.G84 G8 2018","Turkish fiction"
"Filler sultanı ile kırmızı sakallı topal karınca : roman","Yaşar Kemal, 1922-2015,","PL248.Y3 F554 2018","Turkish fiction"
"Kuyrukluyıldız altında bir izdivaç","Gürpınar, Hüseyin Rahmi, 1864-1944.","PL248.G84 K89 2018","Turkish fiction"
"Sızı","Tan, Canan,","PL248.T36 S59 2018","Turkish fiction"
"Face to face","Kulin, Ayşe,","PL248.K85 B56 2018","Turkish fiction"
"Fedakârlık: Hikaye","Dönmez, Erkan,","PL248.D68 F43 2018","Turkish fiction"
"Sır : Limbus'un kayıp çocukları","Asar, Alpay,","PL248.A798 S61 2018","Turkish fiction"
"Kibirli yeşil","Yıldırım, Gamze,","PL248.Y51 K462 2018","Turkish fiction"
"Tekvin","Ergin, Arif,","PL248.E675 T26 2018","Turkish fiction"
"Çobanaldatan","Çokuğurluel, Akın,","PL248.C68 C65 2018","Turkish fiction"
"Günahkâr","Gerritsen, Tess,","PS3557 .E687 S56 2018","Turkish fiction"
"Gül yetiştiren adam : roman","Özdenören, Rasim, 1940-","PL248.O9472 G97 2018","Turkish fiction"
"Themis'in ayak sesleri","Karaal, Bedri Kenan,","PL248.K181T383 2018","Turkish fiction"
"Kanuni Sultan Süleyman : Kumandan","Efe, Yiğit Recep,","PL248.E27 K16 2018","Turkish fiction"
"Attila : Kumandan","Efe, Yiğit Recep,","PL248.E27 A88 2018","Turkish fiction"
"Atina'da son mehter: Teselya zaferi","Yılmazer, Hakkı Suat,","PL248.Y51 A87 2018","Turkish fiction"
"Vaveyla","Tuna, Eslem,","PL248.T92 V38 2018","Turkish fiction"
"Bağışla onları : roman","Tarık Dursun K., 1931-","PL248 .T37 B3 1989","Turkish fiction"
"Kördüğüm","Kulin, Ayşe, 1941-","PL248.K85 K673 2018","Turkish fiction"
"Beyaz senden karanlık","Etik, Bülent,","PL248.E84 B57 2018","Turkish fiction"
"Maria Callas: çok gururlu, çok kırılgan","Signorini, Alfonso,","PQ4919 .I354 T7619 2018","Turkish fiction"
"Üç kız kardeş : beni bırakıp gitme bir yere","Aydın, İclal,","PL248.A93 U2 2018","Turkish fiction"
"Melek kanı","Asar, Alpay,","PL248.A798 M519 2018","Turkish fiction"
"İpek sabahlık : bir Suat Derviş romanı","Balcıgil, Osman,","PL248.B3296 I63 2018","Turkish fiction"
"Nar ağacı","Bekiroğlu, Nazan, 1957-","PL248.B437 N37 2018","Turkish fiction"
"Leyla ile Mecnun : roman","Aksak, Burak,","PL248.A37 L49 2018","Turkish fiction"
"Direniş Karatay","Kayabaşı, Selman,","PL248.K39 D59 2018","Turkish fiction"
"Kırlangıç çığlığı","Ümit, Ahmet, 1960-","PL248 .U457 K57 2018 C.2","Turkish fiction"
"Hikâyem paramparça","Serbes, Emrah, 1981-","PL248.S47 H55 2017","Turkish fiction"
"Araba sevdası","Recaizade, Mahmut Ekrem, 1847-1914,","PL248.R43 A73 2017","Turkish fiction"
"Masallar ve çağdaş yorum","Güner, Aysun Ferrah,","GR280 .M37 2017","Turkish fiction"
"Piruze ve oğulları : babaların günahlarını evlatları çeker","Akyüz, Sinan,","PL248 .A394 P578 2017","Turkish fiction"
"Towards Turkish American Literature : Narratives of Multiculturalism in Post-Imperial Turkey","Furlanetto, Elena","XX(2187439.1)","Turkish fiction"
"Elia ile yolculuk","Livaneli, Zülfü, 1946-","PL248.L6 E45 2017","Turkish fiction"
"Buğu","Kaya, Nihan, 1979-","PL248.K389 K23 2017","Turkish fiction"
"Cebeci","Çelik, Hilmi, 1943-2016,","PL248 .C445 C43 2017","Turkish fiction"
"Kılıç yarası gibi","Altan, Ahmet, 1950-","PL248.A483 K55 2017","Turkish fiction"
"Pala Hayriye","Şakacı, Figen, 1971-","PL248.S288 P35 2017","Turkish fiction"
"YerKuşAğı","Gezgin, Deniz, 1981-","PL248.G39 Y47 2017","Turkish fiction"
"Uçan Tabut","Eğilmez, Pınar,","PL248 .E355 U236 2017","Turkish fiction"
"Hayriye Hanım'ı kim çaldı?","Şakacı, Figen, 1971-","PL248.S288 H39 2017","Turkish fiction"
"Kafka oteli : roman","Deliktaş, İlhan,","PL248.D353 K34 2017","Turkish fiction"
"Tanrı'nın formülü","Santos, José Rodrigues dos, 1964-","PQ9319 .A685 F6719 2017","Turkish fiction"
"Abum rabum","Pala, İskender, 1958-","PL248.P33 A28 2017","Turkish fiction"
"Felâtun Bey ile Râkım Efendi","Ahmet Mithat, 1844-1912,","PL248 .A3173 F4 2017","Turkish fiction"
"Şehsuvaroğlu Ali Bey : Babü'z Züveyle'de intikam","Işık, Mehmet,","PL248.I84 S13 2017","Turkish fiction"
"Sarp yokuş : Pir-i Türkistan Sultânul Evliyâ Hoca Ahmed Yesevî","Ata, Çınar,","PL248.A862 S24 2017","Turkish fiction"
"Kül Dağı’ndaki kütüphane","Hawkins, Scott,","PS3608 .A893464 L531 2017","Turkish fiction"
"Müptezeller","Serbes, Emrah, 1981-","PL248.S47 M87 2017","Turkish fiction"
"Dokunmadan","Yıldırım, Nermin, 1980-","PL248.Y483 D65 2017","Turkish fiction"
"Sevgili","Aral, İnci,","PL248.A728 S49 2017","Turkish fiction"
"Bozkurtlar","Atsız, 1905-1975,","PL248.A78 B69 2017","Turkish fiction"
"Deli kurt","Atsız, 1905-1975,","PL248.A78 D45 2017","Turkish fiction"
"Dalkavuklar gecesi : Z Vitamini","Atsız, 1905-1975,","PL248.A78 D35 2017","Turkish fiction"
"Ruh adam : roman","Atsız, 1905-1975,","PL248.A78 R84 2017","Turkish fiction"
"Bir gün bir kral bir çobana rastlar","Durul, Ahmet,","PL248.D96 B61 2017","Turkish fiction"
"Esra : bir kadın iki hayat bir aşk","Göynük, Suna,","PL248.G724 E77 2017","Turkish fiction"
"Akıl tutulması","Sarıünal, Tuğba,","PL248.S27 A31 2017","Turkish fiction"
"Osman: birinci kitap:aşk","Akman, Beyazıt, 1981-","PL248.A31 O83 2016","Turkish fiction"
"Chapter 1: ""Crime Fiction in German: Concepts, Developments and Trends"" from book: Crime Fiction in German","Katharina Hall","XX(2180872.1)","Turkish fiction"
"Dünya kazan ben kepçe : gezi yazıları","Nesin, Aziz, 1915-1995,","PL248 .N43 D86 2016","Turkish fiction"
"Bay Sammler'in gezegeni","Bellow, Saul,","PS3503 .E4488 M419 2016","Turkish fiction"
"Yeşil mürekkep : bir ""Sabahattin Ali"" romanı","Balcıgil, Osman, 1955-","PL248.B3296 Y47 2016","Turkish fiction"
"Bitirgen : bir uzun hikaye","Şakacı, Figen, 1971-,","PL248.S288 B58 2016","Turkish fiction"
"Sadık Bey : roman","Kür, Pınar, 1943-","PL248.K786 S33 2016","Turkish fiction"
"Özgürlüğün elli tonu","James, E. L.,","PR6110.A4555 F58 2016","Turkish fiction"
"Lupu","Göztürk, Özge,","PL248 .G79 L8 2016","Turkish fiction"
"Vaka","Özkan, Harun,","PL248.O99 V134 2016","Turkish fiction"
"Cimri cömert","Tüzünoğlu, Melida, 1984-","PL248.T996 C573 2016","Turkish fiction"
