title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
Charlotte Löwensköld,Selma Lagerlöf,"January 1, 1925",3.94,592,315,45,"Classics, Swedish Literature, Nobel Prize, Fiction, Sweden, Scandinavian Literature, Historical Fiction"
The Island of Dr. Moreau,H.G. Wells,"January 1, 1896",3.73,136727,104,8310,"Classics, Science Fiction, Fiction, Horror, Fantasy, Audiobook, Literature"
Curtain,Agatha Christie,"June 7, 1975",4.10,50778,215,3583,"Mystery, Agatha Christie, Fiction, Crime, Classics, Detective, Mystery Thriller"
Adult Coloring Book with COLOR BY NUMBER or NOT,C.R. Gilbert,"February 9, 2016",5.00,1,124,1,
Patient Zero,Jonathan Maberry,"March 3, 2009",4.00,31496,421,2527,"Horror, Zombies, Thriller, Fiction, Science Fiction, Audiobook, Fantasy"
As I Crossed a Bridge of Dreams,Lady Sarashina,"January 1, 1050",3.87,1313,148,170,"Japan, Classics, Japanese Literature, Nonfiction, History, Memoir, Poetry"
"Arsène Lupin, Gentleman-Thief",Maurice Leblanc,"June 10, 1907",3.85,16976,279,1251,"Classics, Mystery, Fiction, Crime, Short Stories, France, Detective"
Pedro Páramo,Juan Rulfo,"March 19, 1955",4.05,103072,161,11012,"Fiction, Classics, Magical Realism, Spanish Literature, Latin American, Literature, Novels"
The Complete Adventures of Peter Rabbit,Beatrix Potter,"January 1, 1982",4.46,15512,96,111,"Classics, Childrens, Picture Books, Fiction, Animals, Fantasy, Short Stories"
Verso il paradiso,Hanya Yanagihara,"January 11, 2022",3.73,56143,767,8317,"Fiction, Historical Fiction, Literary Fiction, LGBT, Contemporary, Dystopia, Queer"
Norwegian Wood: Tokyo Blues,Haruki Murakami,"September 4, 1987",3.99,742094,384,60952,"Fiction, Romance, Japan, Japanese Literature, Contemporary, Classics, Novels"
V.,Thomas Pynchon,"August 1, 1963",3.97,25585,640,1645,"Fiction, Classics, Literature, Novels, American, Contemporary, Literary Fiction"
Omoo: A Narrative of Adventures in the South Seas,Herman Melville,"January 1, 1847",3.51,1141,271,119,"Fiction, Classics, Adventure, American, Literature, 19th Century, Travel"
Night and Day,Virginia Woolf,"October 20, 1919",3.76,10191,496,796,"Classics, Fiction, Romance, Literature, 20th Century, Novels, Feminism"
Illuminati Council and Modern Illuminism,Nathan Westerville,"January 1, 2017",3.70,10,32,3,
The Complete Short Stories of Nathaniel Hawthorne,Nathaniel Hawthorne,"January 1, 1959",4.19,68,615,8,"Classics, Short Stories, Literature"
Metà di un sole giallo,Chimamanda Ngozi Adichie,"September 12, 2006",4.34,186214,456,14896,"Fiction, Historical Fiction, Africa, Nigeria, Book Club, War, Historical"
The Myth of Sisyphus and Other Essays,Albert Camus,"January 1, 1942",4.21,65927,212,2886,"Philosophy, Nonfiction, Classics, Essays, France, Literature, French Literature"
Det går an,Carl Jonas Love Almqvist,"January 1, 1839",3.18,2515,111,174,"Classics, Swedish Literature, Fiction, Feminism, Romance, Sweden, 19th Century"
Brand Identity Breakthrough: How to Craft Your Company's Unique Story to Make Your Products Irresistible,Gregory V. Diehl,"May 20, 2016",3.88,311,258,36,"Business, Entrepreneurship, Nonfiction, Design, Self Help, Leadership"
Speak,Laurie Halse Anderson,"October 22, 1999",4.05,635296,202,34478,"Young Adult, Fiction, Contemporary, Realistic Fiction, Mental Health, Coming Of Age, Banned Books"
Kiss the Girls,James  Patterson,"January 1, 1994",4.01,355674,481,4893,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Suspense, Audiobook"
Cat and Mouse,Günter Grass,"January 1, 1961",3.49,7448,191,510,"Fiction, German Literature, Classics, Germany, Literature, Nobel Prize, Novels"
"Kleiner Mann, was nun?",Hans Fallada,"January 1, 1932",4.02,6541,311,597,"Fiction, German Literature, Classics, Germany, Historical Fiction, Literature, 20th Century"
The Cave,José Saramago,"January 1, 2000",3.90,16814,307,1574,"Fiction, Portugal, Literature, Portuguese Literature, Novels, Nobel Prize, Dystopia"
"The Fisherman & His Soul, The Star-Child, and Other Stories",Oscar Wilde,"February 28, 2014",4.33,33,118,1,Classics
Master and Commander:  20 Volume Set,Patrick O'Brian,"June 17, 2000",4.76,1357,Hardcover,141,"Historical Fiction, Fiction, Adventure, Literature, Novels, Military Fiction, Classics"
The Mandarins,Simone de Beauvoir,"October 21, 1954",4.19,6517,752,576,"Fiction, Classics, Philosophy, France, Feminism, French Literature, Novels"
The Book of Disquiet,Fernando Pessoa,"January 1, 1982",4.39,38403,544,4365,"Fiction, Classics, Poetry, Philosophy, Portugal, Literature, Portuguese Literature"
The ‘Real World’ Guide to Digital Filmmaking,Kevin B. DiBacco,"August 3, 2017",5.00,1,Kindle,1,
My First Summer in the Sierra,John Muir,"January 1, 1911",4.05,7508,160,715,"Nature, Nonfiction, Travel, Memoir, Classics, Adventure, Biography"
