title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
Running Scarred,Jackie Williams,"January 1, 2011",3.70,569,293,55,"Romance, Military Fiction, Contemporary Romance, Military Romance, Contemporary, Disability, Beauty and The Beast"
Beat the Reaper,Josh Bazell,"January 7, 2009",3.78,17108,415,2634,"Fiction, Thriller, Mystery, Crime, Humor, Audiobook, Book Club"
The Street of Crocodiles,Bruno Schulz,"January 1, 1933",3.96,14551,160,1742,"Fiction, Short Stories, Classics, Polish Literature, Poland, Magical Realism, School"
The Hangman's Daughter,Oliver Pötzsch,"March 13, 2008",3.75,79204,448,6648,"Historical Fiction, Mystery, Fiction, Historical, Thriller, Book Club, Germany"
Anathem,Neal Stephenson,"September 9, 2008",4.17,76109,937,5863,"Science Fiction, Fiction, Fantasy, Philosophy, Audiobook, Speculative Fiction, Science Fiction Fantasy"
In a Glass Darkly,J. Sheridan Le Fanu,"January 1, 1872",3.84,6036,384,498,"Horror, Classics, Gothic, Short Stories, Fiction, Fantasy, 19th Century"
Tree of Smoke,Denis Johnson,"September 4, 2004",3.61,15722,614,1737,"Fiction, Historical Fiction, War, Novels, Literary Fiction, Literature, Historical"
The Largesse of the Sea Maiden,Denis Johnson,"January 16, 2018",3.94,9849,207,1359,"Short Stories, Fiction, Literary Fiction, American, Audiobook, Literature, Contemporary"
Sandman Slim,Richard Kadrey,"July 21, 2009",3.95,37451,388,3324,"Fantasy, Urban Fantasy, Horror, Fiction, Paranormal, Supernatural, Mystery"
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,"May 1, 1974",4.26,154927,387,14083,"Science Fiction, Fiction, Fantasy, Classics, Dystopia, Science Fiction Fantasy, Book Club"
Dark Rooms,Lili Anolik,"March 1, 2015",3.14,3486,336,386,"Mystery, Fiction, Thriller, Mystery Thriller, Dark Academia, Contemporary, Young Adult"
The Drowned World,J.G. Ballard,"June 30, 1962",3.47,21028,198,1859,"Science Fiction, Fiction, Dystopia, Post Apocalyptic, Classics, Fantasy, Novels"
The Fuck-Up,Arthur Nersesian,"January 1, 1997",3.59,11845,296,573,"Fiction, Contemporary, Humor, Novels, Literary Fiction, Young Adult, Coming Of Age"
Invisible Cities,Italo Calvino,"November 3, 1972",4.09,98990,165,8933,"Fiction, Classics, Fantasy, Short Stories, Magical Realism, Italian Literature, Literature"
Melmoth the Wanderer,Charles Robert Maturin,"January 1, 1820",3.73,5670,659,501,"Gothic, Classics, Horror, Fiction, 19th Century, Literature, Fantasy"
We Need to Talk About Kevin,Lionel Shriver,"April 14, 2003",4.08,217261,400,19291,"Fiction, Book Club, Thriller, Contemporary, Horror, Crime, Drama"
You Will Know Me,Megan Abbott,"July 26, 2016",3.43,45314,345,4715,"Fiction, Mystery, Thriller, Mystery Thriller, Contemporary, Audiobook, Adult"
Children of the Corn,Stephen  King,"March 1, 1977",3.90,14300,50,856,"Horror, Short Stories, Fiction, Thriller, Mystery, Classics, Audiobook"
Hunger,Knut Hamsun,"January 1, 1890",4.03,66273,134,5622,"Fiction, Classics, Literature, Novels, Scandinavian Literature, 19th Century, Nobel Prize"
Shining in Crimson,Robert S.  Wilson,"January 1, 2011",3.68,375,234,69,"Vampires, Horror, Fantasy, Paranormal, Dystopia, Thriller, Urban Fantasy"
Meditation on Space-Time,Leonard Seet,"September 24, 2012",4.07,42,236,11,"Fiction, Philosophy, Literature"
Exacting Essence,James Wymore,"May 12, 2013",3.88,34,Paperback,17,"Young Adult, Urban Fantasy"
That's Not the Wind Out In the Trees: A Collection of Short Stories by Buster Wellman,Buster Wellman,"October 31, 2014",4.00,19,99,3,Horror
A Bedtime Story,L.C. Moon,"December 10, 2014",3.61,757,314,359,"Dark Romance, Dark, BDSM, Erotica, Abuse, Romance, Mafia Romance"
The Yeti,Mike  Miller,"September 27, 2013",3.57,49,416,6,Horror
The Russian Sleep Experiment,Holly Ice,"August 11, 2015",3.57,279,130,28,"Horror, Thriller, Short Stories, Graphic Novels, Audiobook, Supernatural, Paranormal"
Morningstar Ascendant,Nicholas Galante,"August 18, 2016",4.41,17,366,4,Fantasy
The Devil's Missal,Cathy Dobson,"July 19, 2019",4.10,62,200,16,"Horror, Fiction"
The Quest for Freedom,Matthew D. Devitt,"July 5, 2025",4.36,122,434,90,"Fantasy, Fiction, Epic Fantasy"
World's End,Mark Chadbourn,"January 1, 1999",3.75,1294,557,141,"Fantasy, Urban Fantasy, Fiction, Mythology, Horror, Adventure, Dragons"
Children of Paranoia,Trevor Shane,"September 8, 2011",3.70,719,384,138,"Thriller, Fiction, Dystopia, Young Adult, Science Fiction, Suspense, Romance"
The Barn,Brandon Swarrow,"January 1, 2007",4.40,47,72,26,
Born Slippy,Tom Lutz,"January 14, 2020",3.91,106,313,35,"Fiction, Noir"
Mad Love,Lynessa Layne,"November 15, 2020",4.34,220,ebook,15,"Romance, Thriller"
Spiderstalk,D. Nathan Hilliard,"September 1, 2013",4.17,252,468,43,"Horror, Thriller, Fiction, Mystery, Fantasy, Science Fiction"
Apocalypstick,Gregory Carrico,"January 6, 2012",3.20,183,68,31,"Horror, Short Stories, Ebooks, Post Apocalyptic, Fiction, Apocalyptic"
Wake the Wicked,Christian Baloga,"December 21, 2012",3.48,75,206,13,"Horror, Short Stories, Fiction, Banned Books, Bizarro Fiction, Anthologies"
Billy's Experiment: An Old Castle Novel,Jonathan  Dunne,"July 19, 2022",4.23,296,420,43,"Horror, Mystery, Suspense, Thriller, Paranormal, Occult, Fiction"
Crazy Daisy: An Old Castle Novel,Jonathan  Dunne,"December 23, 2022",4.12,240,407,31,"Horror, Mystery, Suspense, Thriller, Gothic, Paranormal, Occult"
Growth of the Soil,Knut Hamsun,"January 1, 1917",4.22,13930,435,1303,"Fiction, Classics, Literature, Nobel Prize, Novels, Scandinavian Literature, Historical Fiction"
"Journal of the Alleda: A Self-financed Circumnavigation, 1991 to 1993",Philip Corridan,"February 1, 1995",5.00,6,194,0,
Changes,Jim  Butcher,"April 6, 2010",4.51,123883,438,5408,"Fantasy, Urban Fantasy, Fiction, Mystery, Audiobook, Paranormal, Magic"
Coulro,Brandon Swarrow,"February 1, 2015",4.24,25,130,6,Horror
Kelland,Paul G. Bens Jr.,"September 1, 2009",4.35,79,251,38,"Horror, M M Romance, Paranormal, Contemporary, Fantasy, Dark Fantasy, Book Club"
