title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
The Traveling Vampire Show,Richard Laymon,"April 1, 2000",3.82,9602,400,752,"Horror, Vampires, Fiction, Coming Of Age, Fantasy, Paranormal, Thriller"
The Basketball Diaries,Jim Carroll,"June 1, 1978",3.99,31803,224,779,"Nonfiction, Memoir, Biography, Drugs, Autobiography, Addiction, Biography Memoir"
Nachtstücke,E.T.A. Hoffmann,"January 1, 1816",3.76,723,430,59,"Short Stories, Horror, Classics, German Literature, Fiction, Germany, 19th Century"
The Moon and the Sun,Vonda N. McIntyre,"September 1, 1997",3.61,2325,432,291,"Fantasy, Historical Fiction, Fiction, Science Fiction, Historical Fantasy, Historical, Romance"
The Remains of the Day,Kazuo Ishiguro,"May 1, 1989",4.14,368856,258,32000,"Fiction, Historical Fiction, Classics, Literary Fiction, Historical, Book Club, Literature"
Almost Transparent Blue,Ryū Murakami,"July 9, 1976",3.29,13837,126,1460,"Fiction, Japan, Japanese Literature, Horror, Contemporary, Asia, Classics"
Pretty Girl-13,Liz Coley,"March 19, 2013",4.03,8160,344,1147,"Young Adult, Mystery, Thriller, Contemporary, Fiction, Horror, Crime"
The Monk,Matthew Gregory Lewis,"January 1, 1796",3.86,34738,385,3883,"Classics, Gothic, Horror, Fiction, 18th Century, Fantasy, Literature"
Pedigree Crush with a Twisted Gene,Katherine Black,"July 12, 2016",4.77,39,313,8,
One Hundred Years of Solitude,Gabriel García Márquez,"January 1, 1967",4.12,1120897,417,60845,"Classics, Fiction, Magical Realism, Fantasy, Literature, Historical Fiction, Novels"
Leverage,Katherine Black,"June 7, 2017",4.27,116,271,40,Thriller
The Stepford Wives,Ira Levin,"September 1, 1972",3.89,57417,123,6203,"Horror, Fiction, Classics, Science Fiction, Thriller, Mystery, Feminism"
Diary of a Drug Fiend,Aleister Crowley,"January 1, 1922",3.79,3471,384,199,"Fiction, Occult, Drugs, Classics, Philosophy, Thelema, Novels"
A Head Full of Ghosts,Paul Tremblay,"June 2, 2015",3.78,108100,287,14258,"Horror, Fiction, Thriller, Mystery, Audiobook, Paranormal, Adult"
The Tombs of Atuan,Ursula K. Le Guin,"January 1, 1970",4.14,137531,180,7342,"Fantasy, Fiction, Young Adult, Classics, Science Fiction Fantasy, Audiobook, High Fantasy"
Post Office,Charles Bukowski,"January 1, 1971",3.92,141003,162,7087,"Fiction, Classics, Novels, Literature, American, Humor, Contemporary"
Odd Thomas,Dean Koontz,"December 9, 2003",4.00,277181,446,9005,"Horror, Fiction, Fantasy, Mystery, Thriller, Paranormal, Supernatural"
Doctor Faustus,Thomas Mann,"January 1, 1947",4.08,14134,535,1045,"Fiction, Classics, German Literature, Literature, Germany, Music, Novels"
The Piano Teacher,Elfriede Jelinek,"January 1, 1983",3.62,16882,288,2199,"Fiction, Classics, Nobel Prize, German Literature, Contemporary, Novels, Literary Fiction"
A Certain Age,Tama Janowitz,"June 17, 1999",3.41,791,336,73,"Fiction, Chick Lit, New York, Literary Fiction, Contemporary, Novels, Satire"
Insanity Never Sleeps II the Resurrection,Anthony Hulse,"January 12, 2012",4.78,92,383,4,
Valley of the Dolls,Jacqueline Susann,"February 1, 1966",3.87,78711,448,7088,"Fiction, Classics, Chick Lit, Romance, Book Club, Contemporary, Historical Fiction"
"Nip the Buds, Shoot the Kids",Kenzaburō Ōe,"January 1, 1958",3.80,5556,189,590,"Fiction, Japan, Japanese Literature, Asia, Nobel Prize, Classics, War"
The Screwtape Letters,C.S. Lewis,"February 1, 1942",4.27,532941,223,21173,"Fiction, Christian, Classics, Religion, Christianity, Theology, Fantasy"
The Tin Drum,Günter Grass,"January 1, 1959",3.95,47050,580,2535,"Fiction, Classics, German Literature, Historical Fiction, Germany, Literature, Magical Realism"
Nowhere Boulevard,Katherine Black,"June 30, 2005",4.45,110,224,47,Fiction
Fledgling,Octavia E. Butler,"September 8, 2005",3.79,40334,310,6048,"Fantasy, Horror, Fiction, Vampires, Science Fiction, Paranormal, Audiobook"
The Tunnel,Ernesto Sabato,"January 1, 1948",4.02,97421,140,8807,"Fiction, Classics, Spanish Literature, Literature, Novels, Latin American, Latin American Literature"
Legion,William Peter Blatty,"January 1, 1983",3.68,13887,269,1078,"Horror, Fiction, Mystery, Thriller, Paranormal, Crime, Supernatural"
The Black Company,Glen Cook,"May 15, 1984",3.93,55398,319,3060,"Fantasy, Fiction, Dark Fantasy, Epic Fantasy, High Fantasy, Audiobook, Military Fiction"
After Dark,Haruki Murakami,"January 1, 2004",3.74,191854,191,16026,"Fiction, Japan, Magical Realism, Japanese Literature, Contemporary, Fantasy, Novels"
The Forest of Hands and Teeth,Carrie Ryan,"March 10, 2009",3.60,87552,336,9129,"Young Adult, Zombies, Horror, Fantasy, Dystopia, Fiction, Post Apocalyptic"
Cujo,Stephen  King,"January 1, 1981",3.80,325626,432,10935,"Horror, Fiction, Thriller, Audiobook, Suspense, Animals, Horror Thriller"
The Black Angel,John Connolly,"May 31, 2005",4.16,11261,576,623,"Thriller, Mystery, Crime, Fiction, Horror, Supernatural, Paranormal"
The Masque of the Red Death,Edgar Allan Poe,"May 1, 1842",4.05,48198,129,2829,"Classics, Horror, Short Stories, Fiction, Gothic, Mystery, Fantasy"
The Driver's Seat,Muriel Spark,"January 1, 1970",3.58,14415,103,2241,"Fiction, Classics, Mystery, Novella, Thriller, Literary Fiction, 20th Century"
Momo,Michael Ende,"January 1, 1973",4.34,98358,304,7362,"Fantasy, Fiction, Classics, Childrens, German Literature, Young Adult, Middle Grade"
The Grownup,Gillian Flynn,"June 17, 2014",3.55,155812,64,18211,"Fiction, Short Stories, Horror, Thriller, Mystery, Mystery Thriller, Audiobook"
Tales of H.P. Lovecraft,H.P. Lovecraft,"January 1, 1935",4.19,6617,352,247,"Horror, Short Stories, Fiction, Classics, Fantasy, Science Fiction, Gothic"
The Bad Beginning,Lemony Snicket,"September 30, 1999",4.03,575616,162,25317,"Fiction, Fantasy, Young Adult, Childrens, Middle Grade, Mystery, Audiobook"
The Name of the Rose,Umberto Eco,"September 1, 1980",4.14,399406,552,15985,"Fiction, Historical Fiction, Mystery, Classics, Historical, Literature, Italy"
Twilight Watch,Sergei Lukyanenko,"January 1, 2004",4.13,19204,405,566,"Fantasy, Urban Fantasy, Fiction, Horror, Vampires, Russia, Paranormal"
The Birds: Short Stories,Daphne du Maurier,"January 1, 1952",4.06,15403,248,1905,"Short Stories, Horror, Classics, Fiction, Gothic, Mystery, Thriller"
If You Could See Me Now,Peter Straub,"January 1, 1977",3.58,2419,336,158,"Horror, Fiction, Thriller, Mystery, Suspense, Paranormal, Supernatural"
The Night Watch,Sarah Waters,"February 2, 2006",3.71,33575,506,2588,"Historical Fiction, Fiction, LGBT, Historical, Queer, War, World War II"
The World According to Garp,John Irving,"April 24, 1978",4.11,240196,610,7666,"Fiction, Classics, Literature, Contemporary, Novels, Literary Fiction, Humor"
The Contortionist's Handbook,Craig Clevenger,"January 1, 2002",3.97,11490,199,609,"Fiction, Thriller, Crime, Contemporary, Mystery, Noir, Novels"
The Girl Who Loved Tom Gordon,Stephen  King,"April 6, 1999",3.64,181010,264,9014,"Horror, Fiction, Thriller, Suspense, Audiobook, Mystery, Fantasy"
The Doré Illustrations for Dante's Divine Comedy,Gustave Doré,"June 1, 1976",4.33,4402,144,102,"Art, Poetry, Classics, Nonfiction, Religion, Literature, History"
The Mirror of Her Dreams,Stephen R. Donaldson,"September 12, 1986",3.93,14106,654,485,"Fantasy, Fiction, Science Fiction Fantasy, Romance, Science Fiction, Epic Fantasy, High Fantasy"
Generation X: Tales for an Accelerated Culture,Douglas Coupland,"January 1, 1991",3.74,30463,211,1457,"Fiction, Contemporary, Canada, Novels, Literature, Short Stories, Classics"
The Silent Land,Graham Joyce,"November 1, 2010",3.65,5229,262,935,"Fiction, Horror, Fantasy, Mystery, Paranormal, Thriller, Magical Realism"
Grendel,John Gardner,"August 12, 1971",3.69,42897,174,3250,"Fiction, Fantasy, Classics, Mythology, School, Literature, Retellings"
Satantango,László Krasznahorkai,"January 1, 1985",4.07,15899,274,2623,"Fiction, Hungary, Hungarian Literature, Classics, Literature, Novels, Literary Fiction"
The Narrative of Arthur Gordon Pym of Nantucket,Edgar Allan Poe,"July 1, 1838",3.50,15187,288,1680,"Classics, Fiction, Horror, Adventure, Gothic, 19th Century, Fantasy"
The Whisperer in Darkness,H.P. Lovecraft,"August 1, 1931",3.89,6984,76,642,"Horror, Fiction, Short Stories, Lovecraftian, Classics, Science Fiction, Fantasy"
Box of Lies,Mark Laflamme,"October 10, 2010",4.20,30,388,11,"Short Stories, Horror, Fiction, Science Fiction"
Sherry and Narcotics,Nina-Marie Gardner,"March 7, 2011",3.88,139,216,52,"Fiction, Drugs, Drama, Romance, Addiction, Contemporary"
This Brilliant Darkness,Red Tash,"September 6, 2011",3.60,143,236,43,"Fantasy, Horror, Paranormal, Science Fiction, Mystery, Dark Fantasy, Thriller"
Dirge for a Necromancer,Ash Stinson,"February 14, 2012",3.38,16,263,1,"Fiction, Horror, Young Adult, Fantasy"
Snap,Steven Bredice,"January 1, 2012",3.45,47,200,11,Horror
Ever Since,Ralph Hartman,"May 20, 2011",4.80,5,Nook,2,
The Ends Don't Tie with Bunny Rabbits,Jeridel Banks,"August 6, 2012",4.13,8,28,4,
The Albino Album,Chavisa Woods,"January 1, 2013",3.89,102,560,24,"Fiction, LGBT, Queer, Young Adult, Lesbian, Queer Lit, Southern Gothic"
The Thing With Feathers,Anne Sweazy-Kulju,"September 11, 2012",4.33,52,328,20,"Fiction, Drama, Historical Fiction"
Spring Water,John     Fitzgerald,"August 30, 2005",4.30,23,88,4,"Poetry, Fiction"
Strings,Allison M. Dickson,"October 24, 2013",3.78,601,358,98,"Horror, Fiction, Thriller, Ebooks, Amazon, Mystery Thriller, Suspense"
Hear Me Scream,R.M. James,"January 1, 2014",3.91,22,270,13,Post Apocalyptic
Find Virgil,Frank Freudberg,"October 15, 2013",3.99,291,356,73,"Thriller, Fiction, Mystery, Contemporary, Mystery Thriller, Suspense, Ebooks"
Gristle & Bone: Stories,Duncan Ralston,"December 20, 2013",3.97,294,316,65,"Horror, Short Stories, Ebooks, Fiction, Anthologies"
Never To Live,Just B. Jordan,"November 3, 2013",3.88,41,470,14,"Fantasy, Dragons"
Hell Is Coming,N.P. Martin,"October 31, 2014",3.72,320,275,68,"Fantasy, Paranormal, Urban Fantasy, Young Adult, Paranormal Urban Fantasy, Demons, Angels"
Love Hurts: A Speculative Fiction Anthology,Tricia Reeks,"November 25, 2015",3.95,58,260,17,"Fantasy, Anthologies, Science Fiction, Horror, Short Stories"
"The Very Devil, Herself!",Loren Molloy,"March 1, 2016",3.67,46,558,18,"Horror, Vampires"
Rainbirds,Clarissa Goenawan,"March 6, 2018",3.48,7214,323,1128,"Fiction, Mystery, Japan, Contemporary, Literary Fiction, Thriller, Mystery Thriller"
The Dream Virgin: A Ventures Nest Thriller,Don Quine,"May 18, 2018",4.27,11,307,6,
To the Dark Room of Souls,David McMullen-Sullivan,"September 22, 2018",4.48,29,369,8,
Don't Stand so Close,Eric Red,"July 1, 2012",3.86,59,278,14,"Fiction, Horror"
The Ballad of Dinah Caldwell,Kate Brauning,"November 23, 2021",3.57,251,368,60,"Young Adult, Contemporary, LGBT, Thriller, Lesbian, Fantasy, Polyamory"
LS65,Billy   Morris,"September 3, 2023",4.47,19,219,3,
Inferno's Silence,Rainer Meri,"August 31, 2025",4.57,21,410,8,"Horror, Fiction"
Morrow's Con: Opening Gambit,Earl  James,"December 27, 2022",4.67,129,268,85,
River Walk Murder: A Nick Fischer Novel,G.D. Obermiller,"May 24, 2025",4.79,242,357,238,
Murder on the Set: An Amanda Pennyworth Mystery,James  Gilbert,"January 13, 2026",4.75,101,243,52,Mystery
Seemannsgrab für Norderney (Jan de Fries 12),Dirk Trost,"September 30, 2025",4.74,91,351,80,
A Guardian Angel's Journey,Leon W. Poldy,"October 18, 2025",4.70,10,296,5,
Duncan's Diary: Birth of a Serial Killer,Christopher C. Payne,"November 7, 2009",3.44,170,264,45,"Fiction, Horror, Thriller, Suspense, Serial Killer, Crime"
Juggler,Stefan Bourque,"January 14, 2011",4.25,16,444,1,
Online,Seth Blackburn,"October 24, 2011",3.54,48,348,6,Horror
Night of the Wolf,Nathan J.D.L. Rowark,"February 2, 2013",4.00,4,20,0,
Basal Ganglia,Matthew Revert,"November 1, 2013",4.16,109,120,28,"Horror, Bizarro Fiction, Surreal, Fiction, Weird Fiction"
Jagannath,Kerry Alan Denney,"January 26, 2015",4.07,100,377,41,"Science Fiction, Horror, Fantasy, Fiction, Post Apocalyptic, Adventure"
Shoggoth Apocalypse & More Tales Of The Cthulhu Mythos,Mark McLaughlin,"January 27, 2017",3.80,25,68,5,"Lovecraftian, Horror, Cthulhu Mythos"
