title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
The Rook,Daniel O'Malley,"January 11, 2012",4.10,64158,504,8169,"Fantasy, Urban Fantasy, Fiction, Mystery, Paranormal, Science Fiction, Audiobook"
Son of Ereubus,J.S. Chancellor,"October 21, 2010",3.71,282,292,66,"Fantasy, Dark Fantasy, Epic Fantasy, Fantasy Romance, High Fantasy, Adult, Fiction"
Dare Me,Megan Abbott,"May 10, 2012",3.24,30317,290,4115,"Fiction, Young Adult, Mystery, Thriller, Contemporary, Mystery Thriller, Crime"
The Last Werewolf,Glen Duncan,"January 1, 2011",3.45,16860,353,2786,"Horror, Fantasy, Fiction, Werewolves, Paranormal, Urban Fantasy, Supernatural"
Society for Supper,TyCobbsTeeth,"February 19, 2015",4.40,60,308,21,"Horror, Science Fiction, Fiction, Thriller"
Dead Souls,Nikolai Gogol,"January 1, 1842",3.98,97900,464,5313,"Classics, Fiction, Russia, Russian Literature, Literature, Novels, 19th Century"
Enjoy Me,Logan Ryan Smith,"January 11, 2015",3.96,84,234,19,"Horror, Short Stories, Fiction"
Tampa,Alissa Nutting,"July 2, 2013",3.33,60260,266,12305,"Fiction, Horror, Contemporary, Thriller, Dark, Adult, Crime"
Blackbirds,Chuck Wendig,"April 22, 2012",3.76,9865,381,1608,"Fantasy, Urban Fantasy, Horror, Fiction, Paranormal, Thriller, Mystery"
The Starblood Trilogy,Carmilla Voiez,"May 16, 2014",4.04,25,837,10,Horror
Don't Close Your Eyes,Lynessa James,"February 20, 2014",3.75,618,326,76,"Romance, Contemporary, Crime, Suspense, Fiction, Contemporary Romance, Enemies To Lovers"
Forty-Ninth,Boris Pronsky,"October 1, 2021",4.05,135,188,13,"Historical Fiction, Novels, Fiction, Audiobook, Historical, American History, Russian History"
Hugo Read This!,Brandon Swarrow,"January 1, 2009",4.32,25,160,6,
My Eyes Are Black Holes,Logan Ryan Smith,"May 18, 2015",3.60,201,178,30,"Horror, Fiction, Science Fiction, Thriller, Horror Thriller, Dark"
Coin Locker Babies,Ryū Murakami,"October 28, 1980",3.79,9860,393,792,"Fiction, Japan, Japanese Literature, Horror, Contemporary, Novels, Thriller"
Complicated Moonlight,Lynessa Layne,"August 30, 2020",4.34,318,287,18,"Romance, Dark Romance, Thriller"
Sunshine,Robin McKinley,"September 1, 2003",3.84,44238,405,5168,"Fantasy, Vampires, Urban Fantasy, Paranormal, Fiction, Horror, Young Adult"
Ulysses,James Joyce,"February 2, 1922",3.76,139315,783,11347,"Classics, Fiction, Literature, Ireland, Novels, Irish Literature, 20th Century"
Rant: An Oral Biography of Buster Casey,Chuck Palahniuk,"January 1, 2007",3.84,70891,320,3619,"Fiction, Horror, Science Fiction, Contemporary, Novels, Time Travel, Humor"
The Children of Men,P.D. James,"January 1, 1992",3.67,52998,241,4562,"Fiction, Science Fiction, Dystopia, Post Apocalyptic, Thriller, Mystery, Book Club"
The Bachman Books,Richard  Bachman,"January 1, 1986",4.15,75939,704,1308,"Horror, Fiction, Thriller, Short Stories, Science Fiction, Fantasy, Suspense"
Altered Carbon,Richard K. Morgan,"February 28, 2002",4.03,116241,471,7793,"Science Fiction, Fiction, Cyberpunk, Mystery, Audiobook, Thriller, Fantasy"
