title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
The New Centurions,Joseph Wambaugh,"January 1, 1970",3.95,4156,368,152,"Fiction, Crime, Mystery, Thriller, Police, Procedural, Mystery Thriller"
Anil's Ghost,Michael Ondaatje,"March 30, 2000",3.59,19042,311,1610,"Fiction, Historical Fiction, Canada, Literary Fiction, Asia, Literature, Book Club"
No One Writes to the Colonel and Other Stories,Gabriel García Márquez,"January 1, 1961",3.88,15374,170,533,"Fiction, Short Stories, Classics, Magical Realism, Latin American, Literature, Spanish Literature"
John Carter of Mars,Edgar Rice Burroughs,"January 1, 1943",3.83,4673,167,148,"Science Fiction, Fantasy, Fiction, Classics, Adventure, Pulp, Sword and Planet"
The Little Engine That Could,Watty Piper,"January 1, 1930",4.20,117089,48,1898,"Picture Books, Childrens, Classics, Fiction, Trains, Kids, Fantasy"
The Rogue Kingdom: An Espionage Thriller About the US and North Korea,Stephen Steighner,"July 5, 2018",3.63,32,385,1,
The Selected Poems,Federico García Lorca,"January 1, 1936",4.31,9282,186,275,"Poetry, Classics, Spain, Spanish Literature, Fiction, Literature, 20th Century"
The Shadow over Innsmouth,H.P. Lovecraft,"April 1, 1936",4.10,28571,158,2330,"Horror, Fiction, Classics, Fantasy, Lovecraftian, Short Stories, Audiobook"
The Chessmen of Mars,Edgar Rice Burroughs,"November 1, 1922",3.83,8221,5,351,"Science Fiction, Fantasy, Fiction, Classics, Adventure, Pulp, Science Fiction Fantasy"
Spyder Bones,Oliver Phipps,"September 16, 2018",4.77,147,173,72,Love
The Grand Inquisitor,Fyodor Dostoevsky,"January 1, 1879",4.32,7552,32,536,"Classics, Fiction, Philosophy, Russian Literature, Russia, Literature, Short Stories"
La dama de las camelias,Alexandre Dumas fils,"January 1, 1848",4.05,62826,90,5144,"Classics, Romance, Fiction, France, French Literature, Historical Fiction, 19th Century"
Unforgiving Years,Victor Serge,"January 1, 1971",4.07,572,341,85,"Fiction, Russia, Historical Fiction, Russian Literature, Novels, War, 20th Century"
Presumed Innocent,Scott Turow,"August 1, 1987",4.09,126952,496,2965,"Mystery, Fiction, Thriller, Crime, Legal Thriller, Mystery Thriller, Suspense"
Amusing Ourselves to Death: Public Discourse in the Age of Show Business,Neil Postman,"November 25, 1985",4.17,39472,184,5370,"Nonfiction, Philosophy, Sociology, Politics, Psychology, Cultural, Technology"
Reality Check,Veekay,"June 16, 2018",4.00,4,248,3,
The Case of Comrade Tulayev,Victor Serge,"January 1, 1948",4.12,1629,400,209,"Fiction, Russia, Classics, Historical Fiction, Russian Literature, Literature, Novels"
Black Cross,Greg Iles,"January 28, 1995",4.24,13783,556,743,"Historical Fiction, Fiction, Thriller, War, World War II, Historical, Mystery"
Tarzan at the Earth's Core,Edgar Rice Burroughs,"January 1, 1929",3.87,2204,310,117,"Fantasy, Adventure, Fiction, Science Fiction, Classics, Pulp, Action"
The War of the End of the World,Mario Vargas Llosa,"October 1, 1981",4.25,12923,568,1178,"Fiction, Historical Fiction, Literature, Novels, Latin American, Classics, Nobel Prize"
Tarzan the Terrible,Edgar Rice Burroughs,"September 1, 1921",3.81,2784,284,135,"Adventure, Fantasy, Fiction, Classics, Pulp, Science Fiction, Action"
Outland Exile,W. Clark Boutwell,"October 21, 2015",4.32,99,394,57,"Science Fiction, Fantasy, Fiction, Post Apocalyptic"
A Civil Contract,Georgette Heyer,"January 1, 1961",3.88,9811,375,1035,"Romance, Historical Fiction, Regency, Historical Romance, Historical, Fiction, Regency Romance"
Lark Rise to Candleford,Flora Thompson,"January 1, 1939",4.02,5018,537,524,"Classics, Fiction, Historical Fiction, Historical, British Literature, 19th Century, Literature"
Pantaleón y las visitadoras,Mario Vargas Llosa,"May 1, 1973",3.97,13242,392,822,"Fiction, Latin American, Spanish Literature, Humor, Nobel Prize, Novels, Latin American Literature"
Tarzan the Untamed,Edgar Rice Burroughs,"January 1, 1919",3.82,3239,154,139,"Adventure, Fantasy, Fiction, Classics, Pulp, Action, Africa"
Hit the Ground Running,Jeston Texeira,"July 5, 2018",5.00,4,56,0,
The Grass Is Singing,Doris Lessing,"January 1, 1950",3.83,15339,208,1494,"Fiction, Africa, Classics, Historical Fiction, Nobel Prize, South Africa, Literature"
Walkabout,James Vance Marshall,"January 1, 1959",3.50,2830,128,301,"Fiction, Australia, Young Adult, Adventure, Classics, Survival, Childrens"
Strong Motion,Jonathan Franzen,"January 1, 1992",3.54,6235,528,478,"Fiction, Novels, Literary Fiction, Contemporary, Literature, American, The United States Of America"
Aunt Julia and the Scriptwriter,Mario Vargas Llosa,"March 1, 1977",3.96,24024,374,1819,"Fiction, Latin American, Spanish Literature, Nobel Prize, Classics, Novels, Latin American Literature"
Masterman Ready,Frederick Marryat,"January 1, 1841",3.83,237,290,18,"Fiction, Classics, Adventure, Historical Fiction, Nautical, British Literature, Childrens"
Tarzan and the Jewels of Opar,Edgar Rice Burroughs,"July 1, 1916",3.83,4346,264,212,"Adventure, Fiction, Fantasy, Classics, Pulp, Action, Science Fiction"
The Last Child - Part 1,Sean Kerr,"April 21, 2018",4.57,14,187,7,Horror
The Conservationist,Nadine Gordimer,"January 1, 1974",3.31,3379,267,427,"Fiction, Africa, South Africa, Nobel Prize, Novels, Literature, Literary Fiction"
The Twenty-Seventh City,Jonathan Franzen,"January 1, 1988",3.13,5353,528,531,"Fiction, Novels, Literary Fiction, Literature, Contemporary, American, Unfinished"
La ciudad y los perros,Mario Vargas Llosa,"January 1, 1962",4.18,29057,446,1916,"Fiction, Spanish Literature, Classics, Nobel Prize, Latin American, Literature, Latin American Literature"
Tarzan of the Apes and Other Works,Edgar Rice Burroughs,"October 1, 2010",3.43,14,Nook,2,
You Are Going To Die,R.L. George,"March 14, 2018",4.00,4,185,1,
The King of the Fields,Isaac Bashevis Singer,"January 1, 1988",3.61,239,256,35,"Fiction, Poland, Novels, Polish Literature, American, Historical Fiction, Literature"
Foxe's Book of Martyrs,John Foxe,"January 1, 1563",4.27,20009,416,563,"History, Christian, Biography, Nonfiction, Religion, Christianity, Classics"
Kenilworth,Walter  Scott,"October 15, 1993",3.70,1094,541,122,"Classics, Historical Fiction, Fiction, Romance, Historical, 19th Century, Scotland"
The People That Time Forgot,Edgar Rice Burroughs,"January 1, 1918",3.69,2604,100,174,"Science Fiction, Fantasy, Fiction, Classics, Adventure, Pulp, Audiobook"
Machine Intelligence in Design Automation,Rohit Sharma,"March 13, 2018",5.00,4,221,2,
Catherine De Medici,Alexandre Dumas,"January 1, 1845",4.16,297,292,12,"Classics, Historical Fiction, France, French Literature, Historical"
The World's Best Fairy Tales,Belle Becker Sideman,"January 1, 1967",4.37,300,828,27,"Fairy Tales, Fantasy, Classics, Fiction, Short Stories, Childrens, Anthologies"
"Horseman, Pass By",Larry McMurtry,"January 1, 1961",3.93,5630,192,566,"Fiction, Westerns, Historical Fiction, Classics, Coming Of Age, Novels, Literature"
Underworld,Don DeLillo,"October 3, 1997",3.95,34148,827,2820,"Fiction, Novels, Literature, Literary Fiction, Classics, American, Historical Fiction"
Common Sense,Thomas Paine,"January 1, 1776",4.00,40063,104,2635,"History, Nonfiction, Classics, Philosophy, Politics, American History, Historical"
Tarzan and the Lost Empire,Edgar Rice Burroughs,"January 1, 1928",3.76,1642,160,74,"Fantasy, Adventure, Fiction, Classics, Pulp, Action, Science Fiction"
Cold Mountain,Charles Frazier,"January 1, 1997",3.89,250834,449,7200,"Historical Fiction, Fiction, Historical, Romance, Civil War, War, Classics"
Fake Atheism: The Suppression of the Truth and the Atheist Syndrome,Mike A. Robinson,"February 11, 2018",3.00,2,242,1,
