title,author,original_publish_date,rating,number_of_ratings,number_of_pages,number_of_reviews,genres
1984,George Orwell,"November 4, 1948",4.20,5573557,368,161573,"Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels"
Dracula,Bram Stoker,"May 26, 1897",4.02,1500826,488,64893,"Classics, Horror, Fiction, Fantasy, Gothic, Vampires, Audiobook"
A Story of Yesterday,Sergio Cobo,"March 6, 2014",4.53,22191,70,885,"Thriller, Mystery, Spanish Literature, European Literature, Fiction, Magical Realism, Ebooks"
The Shining,Stephen  King,"January 28, 1977",4.28,1730113,497,51969,"Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery"
Interview with the Vampire,Anne Rice,"April 12, 1976",4.02,656977,346,22760,"Horror, Fantasy, Fiction, Vampires, Classics, Paranormal, Gothic"
The Picture of Dorian Gray,Oscar Wilde,"July 1, 1890",4.14,1923242,272,101434,"Classics, Fiction, Horror, Gothic, Fantasy, Literature, Dark Academia"
American Gods,Neil Gaiman,"June 19, 2001",4.10,995711,635,50376,"Fantasy, Fiction, Mythology, Urban Fantasy, Audiobook, Science Fiction, Science Fiction Fantasy"
The Complete Stories and Poems,Edgar Allan Poe,"November 1, 1849",4.40,297930,821,3687,"Classics, Poetry, Horror, Fiction, Short Stories, Gothic, Mystery"
Frankenstein,Mary Wollstonecraft Shelley,"January 1, 1818",3.91,1936657,288,97676,"Classics, Horror, Fiction, Science Fiction, Gothic, Fantasy, School"
Fahrenheit 451,Ray Bradbury,"January 1, 1953",3.97,2893125,249,99035,"Classics, Fiction, Science Fiction, Dystopia, School, Literature, Audiobook"
American Psycho,Bret Easton Ellis,"March 6, 1991",3.80,369633,399,26555,"Fiction, Horror, Classics, Thriller, Crime, Contemporary, Novels"
The Road,Cormac McCarthy,"January 1, 2006",4.00,1055299,241,74744,"Fiction, Science Fiction, Dystopia, Classics, Horror, Post Apocalyptic, Book Club"
Animal Farm,George Orwell,"August 17, 1945",4.02,4644316,141,139455,"Classics, Fiction, Dystopia, Fantasy, School, Politics, Literature"
Lord of the Flies,William Golding,"September 17, 1954",3.70,3240093,182,69028,"Classics, Fiction, Young Adult, School, Dystopia, Literature, Read For School"
Brave New World,Aldous Huxley,"January 1, 1932",3.98,2104793,288,63189,"Classics, Fiction, Science Fiction, Dystopia, Literature, Novels, School"
A Clockwork Orange,Anthony Burgess,"January 1, 1962",4.00,778755,192,26096,"Classics, Fiction, Science Fiction, Dystopia, Horror, Literature, Novels"
Fight Club,Chuck Palahniuk,"August 17, 1996",4.18,650811,224,27348,"Fiction, Classics, Thriller, Contemporary, Novels, Mystery, Adult"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"February 1, 1962",4.20,785962,325,19722,"Classics, Fiction, Psychology, Literature, Novels, Mental Health, School"
Perfume: The Story of a Murderer,Patrick Süskind,"February 26, 1985",4.04,565703,263,34970,"Classics, Fiction, Historical Fiction, Horror, Thriller, Mystery, Crime"
Rebecca,Daphne du Maurier,"August 1, 1938",4.25,736549,441,52240,"Classics, Fiction, Mystery, Gothic, Romance, Book Club, Thriller"
The Beasts of Success,Jasun Ether,"April 11, 2020",4.11,437,445,20,"Fiction, Humor, Satire, Dark Humor"
V for Vendetta,Alan             Moore,"January 14, 1990",4.26,326848,296,8383,"Graphic Novels, Comics, Fiction, Dystopia, Science Fiction, Graphic Novels Comics, Classics"
The Historian,Elizabeth Kostova,"June 14, 2005",3.80,278129,704,19693,"Historical Fiction, Fiction, Fantasy, Horror, Vampires, Mystery, Historical"
Lunar Park,Bret Easton Ellis,"August 16, 2005",3.65,31097,404,1564,"Fiction, Horror, Thriller, Mystery, Contemporary, Novels, Bret Easton Ellis"
Lolita,Vladimir Nabokov,"September 1, 1955",3.87,958091,368,51566,"Classics, Fiction, Literature, Russia, Novels, Romance, Russian Literature"
The Handmaid’s Tale,Margaret Atwood,"April 17, 1985",4.15,2474205,311,125584,"Fiction, Classics, Dystopia, Science Fiction, Feminism, Book Club, Fantasy"
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"July 7, 1971",4.06,382268,204,12214,"Fiction, Classics, Humor, Journalism, Drugs, Novels, Literature"
Rosemary’s Baby,Ira Levin,"March 12, 1967",4.06,161780,308,9632,"Horror, Fiction, Classics, Thriller, Mystery, Fantasy, Paranormal"
Glamorama,Bret Easton Ellis,"January 1, 1998",3.55,25828,546,1425,"Fiction, Contemporary, Horror, Thriller, Bret Easton Ellis, Novels, American"
Eaters of the Dead,Michael Crichton,"March 12, 1976",3.72,47161,208,2509,"Fiction, Historical Fiction, Fantasy, Thriller, Horror, Adventure, Historical"
A Scanner Darkly,Philip K. Dick,"January 1, 1977",4.02,111487,217,5078,"Science Fiction, Fiction, Dystopia, Classics, Science Fiction Fantasy, Cyberpunk, Novels"
The Odyssey,Homer,"January 1, 801",3.84,1212206,541,27342,"Classics, Fiction, Poetry, Mythology, Fantasy, School, Literature"
The Hunger Games,Suzanne Collins,"September 14, 2008",4.35,10044984,374,267205,"Young Adult, Dystopia, Fiction, Fantasy, Science Fiction, Romance, Adventure"
The Time Machine,H.G. Wells,"January 1, 1895",3.89,571106,118,19912,"Classics, Science Fiction, Fiction, Time Travel, Fantasy, Dystopia, Audiobook"
The Call of Cthulhu,H.P. Lovecraft,"February 1, 1928",4.01,120698,43,7201,"Horror, Classics, Fiction, Short Stories, Fantasy, Science Fiction, Lovecraftian"
The Silence of the Lambs,Thomas  Harris,"July 1, 1988",4.26,592843,421,12480,"Horror, Fiction, Thriller, Mystery, Crime, Classics, Mystery Thriller"
Do Androids Dream of Electric Sheep?,Philip K. Dick,"March 1, 1968",4.09,520780,244,25759,"Science Fiction, Fiction, Classics, Dystopia, Cyberpunk, Science Fiction Fantasy, Fantasy"
The Stand,Stephen  King,"October 3, 1978",4.35,844928,1152,35879,"Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic, Thriller, Dystopia"
Coraline,Neil Gaiman,"July 2, 2002",4.13,790276,162,44920,"Fantasy, Horror, Fiction, Young Adult, Middle Grade, Childrens, Audiobook"
The Haunting of Hill House,Shirley Jackson,"October 16, 1959",3.81,404465,182,40838,"Horror, Classics, Fiction, Gothic, Mystery, Paranormal, Audiobook"
Crime and Punishment,Fyodor Dostoevsky,"January 1, 1866",4.29,1107713,671,54148,"Classics, Fiction, Russia, Russian Literature, Literature, Philosophy, Novels"
Wuthering Heights,Emily Brontë,"November 24, 1847",3.90,2204812,464,116158,"Classics, Fiction, Romance, Gothic, Historical Fiction, Literature, Audiobook"
Neverwhere,Neil Gaiman,"September 16, 1996",4.16,564481,370,31805,"Fantasy, Fiction, Urban Fantasy, Audiobook, Science Fiction Fantasy, Horror, Science Fiction"
The Metamorphosis,Franz Kafka,"January 1, 1915",3.91,1469888,201,74105,"Classics, Fiction, Philosophy, Fantasy, Short Stories, Literature, Horror"
The Wasp Factory,Iain Banks,"February 16, 1984",3.76,112022,184,7881,"Fiction, Horror, Thriller, Contemporary, Mystery, Classics, Scotland"
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"January 1, 1886",3.83,676631,139,30347,"Classics, Horror, Fiction, Gothic, Mystery, Science Fiction, Fantasy"
Trainspotting,Irvine Welsh,"January 1, 1993",4.11,182244,431,5114,"Fiction, Contemporary, Classics, Scotland, Novels, Drugs, Crime"
I Am Legend and Other Stories,Richard Matheson,"January 1, 1954",4.00,136960,317,6263,"Horror, Fiction, Science Fiction, Vampires, Short Stories, Fantasy, Post Apocalyptic"
Invisible Monsters,Chuck Palahniuk,"September 17, 1999",3.99,152564,304,8009,"Fiction, Contemporary, Thriller, Horror, Novels, Mystery, Humor"
Requiem for a Dream,Hubert Selby Jr.,"January 1, 1978",4.11,67882,279,2386,"Fiction, Classics, Thriller, Contemporary, Mystery, Crime, Novels"
Factotum,Charles Bukowski,"January 1, 1975",3.92,76674,205,3213,"Fiction, Classics, Novels, Literature, American, Poetry, Contemporary"
Red Dragon,Thomas  Harris,"October 1, 1981",4.07,377202,454,10021,"Horror, Fiction, Thriller, Crime, Mystery, Mystery Thriller, Suspense"
"The Sandman, Vol. 1: Preludes & Nocturnes",Neil Gaiman,"June 29, 1988",4.25,274744,240,9953,"Graphic Novels, Comics, Fantasy, Fiction, Horror, Graphic Novels Comics, Comic Book"
Gone Girl,Gillian Flynn,"May 24, 2012",4.15,3486687,415,171649,"Fiction, Mystery, Thriller, Book Club, Mystery Thriller, Crime, Suspense"
Slaughterhouse-Five,Kurt Vonnegut Jr.,"March 31, 1969",4.10,1498507,275,50712,"Classics, Fiction, Science Fiction, Historical Fiction, War, Literature, Novels"
Let the Right One In,John Ajvide Lindqvist,"May 1, 2004",4.04,121992,513,8730,"Horror, Fiction, Vampires, Fantasy, Paranormal, Thriller, Supernatural"
The Lovely Bones,Alice Sebold,"July 3, 2002",3.86,2472152,327,50080,"Fiction, Mystery, Young Adult, Contemporary, Fantasy, Thriller, Crime"
Skagboys,Irvine Welsh,"April 19, 2012",4.07,18083,548,881,"Fiction, Thriller, Contemporary, Mystery, Scotland, Crime, Drugs"
Heart of Darkness,Joseph Conrad,"January 1, 1899",3.43,564672,188,25268,"Classics, Fiction, Literature, Historical Fiction, Africa, School, Novels"
The Girl With the Dragon Tattoo,Stieg Larsson,"August 1, 2005",4.18,3477369,480,84864,"Fiction, Mystery, Thriller, Crime, Mystery Thriller, Book Club, Suspense"
Something Wicked This Way Comes,Ray Bradbury,"September 17, 1962",3.89,155921,293,13410,"Horror, Fantasy, Fiction, Classics, Science Fiction, Book Club, Halloween"
The Turn of the Screw,Henry James,"January 1, 1898",3.38,182989,121,17321,"Classics, Horror, Fiction, Gothic, Mystery, Audiobook, Literature"
Never Let Me Go,Kazuo Ishiguro,"April 12, 2005",3.85,875545,288,75388,"Fiction, Science Fiction, Dystopia, Book Club, Contemporary, Literary Fiction, Classics"
Battle Royale,Koushun Takami,"April 21, 1999",4.26,86872,624,9771,"Horror, Fiction, Dystopia, Thriller, Science Fiction, Young Adult, Japan"
The Stranger,Albert Camus,"May 19, 1942",4.03,1443774,123,80673,"Classics, Fiction, Philosophy, France, Literature, Novels, French Literature"
House of Leaves,Mark Z. Danielewski,"February 29, 2000",4.09,204879,709,23090,"Horror, Fiction, Fantasy, Mystery, Thriller, Contemporary, Novels"
The Exorcist,William Peter Blatty,"May 1, 1971",4.21,275408,385,13133,"Horror, Fiction, Classics, Thriller, Paranormal, Audiobook, Supernatural"
Oryx and Crake,Margaret Atwood,"April 22, 2003",4.00,290421,389,18791,"Fiction, Science Fiction, Dystopia, Post Apocalyptic, Fantasy, Audiobook, Book Club"
Misery,Stephen  King,"June 8, 1987",4.21,803643,370,38204,"Horror, Fiction, Thriller, Mystery, Audiobook, Suspense, Mystery Thriller"
Night Watch,Sergei Lukyanenko,"January 1, 1998",3.97,45373,455,2511,"Fantasy, Urban Fantasy, Fiction, Horror, Vampires, Paranormal, Russia"
I Am Legend,Richard Matheson,"July 1, 1954",4.05,155744,160,11119,"Horror, Science Fiction, Fiction, Classics, Vampires, Post Apocalyptic, Fantasy"
Beowulf,Unknown,"January 1, 1000",3.50,350298,259,13768,"Classics, Poetry, Fiction, Fantasy, Mythology, School, Literature"
Titus Groan,Mervyn Peake,"January 1, 1946",3.92,24156,396,2585,"Fantasy, Fiction, Classics, Gothic, Audiobook, Science Fiction Fantasy, Novels"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"May 10, 1990",4.25,831676,491,44988,"Fantasy, Fiction, Humor, Audiobook, Comedy, Urban Fantasy, Book Club"
Watership Down,Richard  Adams,"November 1, 1972",4.09,508962,478,20368,"Classics, Fiction, Fantasy, Young Adult, Animals, Adventure, Childrens"
Batman: The Killing Joke,Alan             Moore,"November 16, 1988",4.36,238320,50,7591,"Comics, Graphic Novels, Batman, Fiction, Dc Comics, Graphic Novels Comics, Comic Book"
The Island of Dr. Moreau,H.G. Wells,"January 1, 1896",3.73,137009,160,8349,"Classics, Science Fiction, Fiction, Horror, Fantasy, Audiobook, Literature"
The Trial,Franz Kafka,"January 1, 1925",3.94,404782,255,22488,"Classics, Fiction, Philosophy, Literature, German Literature, Novels, Dystopia"
The Bell Jar,Sylvia Plath,"January 14, 1963",4.04,1254918,294,89633,"Classics, Fiction, Feminism, Mental Health, Psychology, Literary Fiction, Literature"
The Bloody Chamber and Other Stories,Angela Carter,"May 24, 1979",3.90,66106,126,6836,"Short Stories, Fantasy, Horror, Fiction, Gothic, Classics, Fairy Tales"
Framed & Hunted: A True Story of Occult Persecution,Edward        Williams,"August 15, 2023",4.32,6536,427,19,"Book Club, Drama, Mystery Thriller, Novels, Young Adult, Action, Fiction"
Ghost Story,Peter Straub,"January 1, 1979",3.91,83739,567,3804,"Horror, Fiction, Paranormal, Mystery, Ghosts, Thriller, Fantasy"
A Christmas Carol,Charles Dickens,"December 19, 1843",4.09,948993,184,40060,"Classics, Fiction, Christmas, Fantasy, Audiobook, Literature, Historical Fiction"
’Salem’s Lot,Stephen  King,"October 17, 1975",4.10,669257,483,28384,"Horror, Fiction, Vampires, Fantasy, Thriller, Paranormal, Audiobook"
The War of the Worlds,H.G. Wells,"January 1, 1898",3.83,353877,192,15884,"Classics, Science Fiction, Fiction, Fantasy, Audiobook, Horror, Science Fiction Fantasy"
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"April 28, 1985",4.15,228803,351,25607,"Fiction, Historical Fiction, Westerns, Classics, Horror, Literature, Novels"
The Ocean at the End of the Lane,Neil Gaiman,"June 18, 2013",4.01,660815,181,63044,"Fantasy, Fiction, Magical Realism, Horror, Audiobook, Book Club, Young Adult"
The Night Circus,Erin Morgenstern,"September 13, 2011",4.00,1112241,506,119446,"Fantasy, Fiction, Romance, Book Club, Historical Fiction, Magical Realism, Magic"
The Phantom of the Opera,Gaston Leroux,"January 1, 1910",3.96,281879,360,15739,"Classics, Fiction, Horror, Gothic, Romance, Mystery, Historical Fiction"
The Blue Monsoon,Damyanti Biswas,"October 24, 2023",4.21,782,394,227,"Mystery, Thriller, Crime, India, Suspense, Mystery Thriller, Murder Mystery"
The Standoff,Scott Blade,"August 13, 2019",4.43,2532,564,71,"Thriller, Mystery Thriller, Action, Crime, Drama, Fiction, Detective"
Perdido Street Station,China Miéville,"March 1, 2000",3.98,76134,623,6675,"Fantasy, Fiction, Science Fiction, Steampunk, Horror, Urban Fantasy, New Weird"
The Long Walk,Richard  Bachman,"January 1, 1979",4.00,290196,370,25763,"Horror, Fiction, Dystopia, Thriller, Audiobook, Science Fiction, Fantasy"
The Talisman,Stephen  King,"November 8, 1984",4.10,143419,656,5998,"Horror, Fantasy, Fiction, Thriller, Audiobook, Adventure, Mystery"
World War Z: An Oral History of the Zombie War,Max Brooks,"September 12, 2006",4.02,571969,342,32597,"Horror, Fiction, Zombies, Science Fiction, Fantasy, Audiobook, Post Apocalyptic"
SACKING ROBBIE STEVENS,Philip Corridan,"June 8, 2020",4.97,35,Kindle,0,
Beloved,Toni Morrison,"September 16, 1987",3.98,498643,325,28397,"Fiction, Classics, Historical Fiction, Magical Realism, Historical, Literature, School"
The Last Guest House,Caroline Mitchell,"April 16, 2024",3.77,3987,237,249,"Thriller, Novels, Mystery, Mystery Thriller, Suspense, Detective, Fiction"
Mean Spirited,Nick  Roberts,"March 15, 2024",4.23,8044,325,1280,"Horror, Thriller, Fiction, Paranormal, Mystery, Supernatural, Horror Thriller"
The Gunslinger,Stephen  King,"June 1, 1982",3.91,670181,231,29357,"Fantasy, Fiction, Horror, Science Fiction, Audiobook, Westerns, Adventure"
